cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev
11,3.099057231942041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.196752178980226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.9310153475069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.2095114874019055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,271.0472723037499,0.8215388363898284,8.640085925353256e-05,0.0017864819230624133,1.7205299421582658e-07,0.8233253183128908,8.657291224774838e-05,0.00040222107038062437,3.4380321058346965e-08,0.00088292601382593,1.2360172625999375e-07,3.919326140559853,0.0005486705218367524
23,27.433440160110816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,120.21032195407673,0.4337271951846385,6.351918001813358e-05,0.00017947436954476263,7.910839520749364e-08,0.4339066695541832,6.359828841334107e-05,6.342301480632787e-05,1.7805937184639528e-08,0.000517225103385826,1.6407806512682658e-07,2.2959725237561073,0.0007283457953146644
24,10.971140710182512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.732182822604229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.515789762657226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.575202919738724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.355396665345733,0.1287809097947135,3.203308563743902e-05,1.5255024123759883e-05,2.1863773916758523e-08,0.12879616481883724,3.2054949411355775e-05,7.431752212762044e-06,5.338448242574731e-09,0.00016699092615360316,1.0379477801461091e-07,0.741276043361829,0.000460747084530317
26,7.356049070681816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.7236366994528919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.173781290895362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,544.530550605327,1.3840469413691803,0.00018195312490910514,0.001981211316730936,2.7302516334007873e-07,1.386028152685911,0.00018222615007244523,0.0004730758373997143,5.7524706485561226e-08,0.0015671420433653591,3.9147456940143126e-07,6.956574707677789,0.001737763401681734
