cell,flux,tbr,tbr_stdev,"Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Th232(n,fis)","Th232(n,fis)_stdev",heat_eV_src,heat_eV_src_stdev
11,3.0930715525129444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450323.573438012,125.36029674437293
21,6.184809834316444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587323.0494998181,154.45946956216946
12,30.871813604525624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489976.29660840175,121.26829365636215
22,6.199274142469042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541103.0615838756,138.7159486060804
31,270.6862448156026,0.8185992560879858,0.0002045618740037951,0.0038007667438930853,1.320478288593917e-06,16.447330606743044,0.005714200432432887,0.8168226909300003,0.00020391812145227592,0.0017765651579854718,6.437525515191689e-07,0.0003662857043316632,9.624213795336981e-08,9205918.675624233,1756.1720085737377
23,27.405710989205414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403266.20212358446,249.4798437371885
32,120.14850684808401,0.43193471301036035,0.00019765907715953968,0.0021801185838771432,1.2361885629012402e-06,9.43418355481709,0.00534944745530093,0.4317549821403659,0.00019745855916226485,0.00017973086999447223,2.005179972748373e-07,5.3213574245535726e-05,3.973873986550743e-08,2959919.4001117777,1075.343004965602
24,10.96678630853664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71995.1411194886,101.96102201996933
41,1.7317142217089634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24881.303699135045,68.38007067077814
42,12.505959888615388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141311.27137049363,318.19710330262046
25,7.572007673947461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61958.07318172045,67.69230037253303
33,31.35512313228449,0.12829461105077794,0.00010959546719021621,0.0006919865444685831,9.374071415059361e-07,2.994483018611846,0.004056509175219144,0.12827914236667523,0.00010953224613268183,1.5468684102708538e-05,6.322105753438156e-08,5.938173643959987e-06,1.00137678285943e-08,752634.3719047874,562.0239592453223
26,7.3515802730579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42669.386063061196,92.63561784354303
43,0.7228022450361969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9386.930297743715,33.74652039911193
44,7.148118383754777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70591.74937396037,247.23502301438967
total,543.9435239136579,1.378828580149124,0.0005118164183535509,0.006672871872238812,3.4940739930010937e-06,28.87599718017198,0.015120157062952961,1.3768568154370413,0.0005109089267472226,0.0019717647120826524,9.074916063283877e-07,0.0004254374522211589,1.4599464564747155e-07,15813258.486000093,5112.670482713781
