type,x_cm,y_cm,z_cm,radius_cm
Be,-0.17320508,-0.17320508,-0.17320508,0.05
Be,-0.17320508,-0.17320508,-0.05773503,0.05
Be,-0.17320508,-0.17320508,0.05773503,0.05
Be,-0.17320508,-0.17320508,0.17320508,0.05
Be,-0.17320508,-0.05773503,-0.17320508,0.05
Be,-0.17320508,-0.05773503,-0.05773503,0.05
Be,-0.17320508,-0.05773503,0.05773503,0.05
Be,-0.17320508,-0.05773503,0.17320508,0.05
Be,-0.17320508,0.05773503,-0.17320508,0.05
Be,-0.17320508,0.05773503,-0.05773503,0.05
Be,-0.17320508,0.05773503,0.05773503,0.05
Be,-0.17320508,0.05773503,0.17320508,0.05
Be,-0.17320508,0.17320508,-0.17320508,0.05
Be,-0.17320508,0.17320508,-0.05773503,0.05
Be,-0.17320508,0.17320508,0.05773503,0.05
Be,-0.17320508,0.17320508,0.17320508,0.05
Be,-0.05773503,-0.17320508,-0.17320508,0.05
Be,-0.05773503,-0.17320508,-0.05773503,0.05
Be,-0.05773503,-0.17320508,0.05773503,0.05
Be,-0.05773503,-0.17320508,0.17320508,0.05
Be,-0.05773503,-0.05773503,-0.17320508,0.05
Be,-0.05773503,-0.05773503,-0.05773503,0.05
Be,-0.05773503,-0.05773503,0.05773503,0.05
Be,-0.05773503,-0.05773503,0.17320508,0.05
Be,-0.05773503,0.05773503,-0.17320508,0.05
Be,-0.05773503,0.05773503,-0.05773503,0.05
Be,-0.05773503,0.05773503,0.05773503,0.05
Be,-0.05773503,0.05773503,0.17320508,0.05
Be,-0.05773503,0.17320508,-0.17320508,0.05
Be,-0.05773503,0.17320508,-0.05773503,0.05
Be,-0.05773503,0.17320508,0.05773503,0.05
Be,-0.05773503,0.17320508,0.17320508,0.05
Be,0.05773503,-0.17320508,-0.17320508,0.05
Be,0.05773503,-0.17320508,-0.05773503,0.05
Be,0.05773503,-0.17320508,0.05773503,0.05
Be,0.05773503,-0.17320508,0.17320508,0.05
Be,0.05773503,-0.05773503,-0.17320508,0.05
Be,0.05773503,-0.05773503,-0.05773503,0.05
Be,0.05773503,-0.05773503,0.05773503,0.05
Be,0.05773503,-0.05773503,0.17320508,0.05
Be,0.05773503,0.05773503,-0.17320508,0.05
Be,0.05773503,0.05773503,-0.05773503,0.05
Be,0.05773503,0.05773503,0.05773503,0.05
Be,0.05773503,0.05773503,0.17320508,0.05
Be,0.05773503,0.17320508,-0.17320508,0.05
Be,0.05773503,0.17320508,-0.05773503,0.05
