cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev
11,3.073522689797698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.14565835714507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.67627309466008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.158438529271458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,269.6657710677045,0.7971942783126681,9.656707400472853e-05,0.0017333569059138168,1.8799608920108416e-07,0.7989276352185819,9.675507009392962e-05,0.0015195303901647825,1.3302561129999083e-07,0.015984301544094255,2.4189233626241414e-06,69.17001482293196,0.010467580606302259
23,27.38136797394762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,120.14632952526549,0.4233198389242403,6.412864029035784e-05,0.00018132820054084925,7.973053797745333e-08,0.42350116712478114,6.420837082833529e-05,0.00022448578458949072,6.536527974587396e-08,0.009184344825389663,1.7339372937397644e-06,39.744074269284525,0.007503391247916437
24,10.969349484526665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.7314546739111087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.474530257989018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.550217449127948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,30.860755948823275,0.12272655977200841,3.704215512939363e-05,1.5996453199413494e-05,2.1871739821742742e-08,0.12274255622520783,3.706402686921538e-05,2.5362235563033695e-05,1.8498237781476545e-08,0.0028151525213590354,1.1192133214977495e-06,12.182211471302216,0.004843252101098234
26,6.7472291261429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.0886903146287015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.972441326929438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,542.642029819871,1.3432406770089167,0.00019773786942448002,0.0019306815596540794,2.895983670002802e-07,1.345171358568571,0.0001980274677914803,0.0017693784103173069,2.1688912882734133e-07,0.027983798890842952,5.272073977861655e-06,121.0963005635187,0.02281422395531693
