kgU238_per_m3_breeder,N_U238_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron
0.0,0.0,inf,0.860792429306827,0.860792429306827,1.0,0.0,0.0,0.0
0.1,2.0291166003983212e-07,1388755.5042435296,0.860792429306827,0.8607251710837147,0.9999218647599324,8.083007477979738e-06,1.234150745833455e-05,2.0424514936314288e-05
0.5,1.014472681189775e-06,277770.70353028487,0.860792429306827,0.8604582591507697,0.9996117877612767,4.039909505248803e-05,6.170232976617768e-05,0.00010210142481866571
1,2.028731355494815e-06,138897.6034411293,0.860792429306827,0.860129250331353,0.9992295715518688,8.075877664877635e-05,0.0001233916431903493,0.00020415041983912565
10,2.024886936832848e-05,13911.81336088932,0.860792429306827,0.85488989576315,0.9931429072297602,0.0008011474149202938,0.0012315781768431227,0.0020327255917634165
25,5.0462796219402956e-05,5579.427355539986,0.860792429306827,0.8479047218620657,0.9850280892280391,0.0019802491638183173,0.0030692517905965746,0.005049500954414892
50,0.00010039877206752529,2801.965353756875,0.860792429306827,0.8385972295962416,0.9742153869447265,0.003896577312271321,0.006106461274998985,0.010003038587270306
75,0.000149816134536076,1876.1446864958384,0.860792429306827,0.830789498224207,0.9651449872685561,0.005760379001965923,0.00911212761944227,0.014872506621408193
100,0.00019872292102888708,1413.2343528653196,0.860792429306827,0.8238644753994584,0.9571000479905409,0.007577138261450814,0.012086739675475511,0.019663877936926324
150,0.00029503609377697093,950.3240192348013,0.860792429306827,0.8116895625155764,0.9429562050972129,0.011083236074872911,0.017944706337287876,0.029027942412160786
250,0.0004818713417162876,579.9957523303862,0.860792429306827,0.7913807218942951,0.9193630136031432,0.017648916075540793,0.029308413112296375,0.04695732918783717
500,0.0009177571002445747,302.24955215207495,0.860792429306827,0.7528507009357648,0.8746019078513682,0.03197702711736825,0.05581988780430106,0.08779691492166931
750,0.0013139401754433092,209.66748542597125,0.860792429306827,0.723822790593545,0.8408795964625526,0.0440158728362697,0.0799165630592927,0.12393243589556241
999.99,0.0016755949293204273,163.3778408078078,0.860792429306827,0.7004473773591646,0.8137239054521147,0.05431828181539507,0.10191315429234668,0.15623143610774176
2000,0.0028539580666699293,93.93990201834161,0.860792429306827,0.6371786995416552,0.7402234009594602,0.0841608881484967,0.17358364107152235,0.25774452922001906
3000,0.003727799717470749,70.79438533681567,0.860792429306827,0.5985315767913447,0.695326255684342,0.10326213773265872,0.22673250027776345,0.32999463801042217
4000,0.004401663281372333,59.221626996052706,0.860792429306827,0.5720037619395272,0.6645083558647773,0.11652448036386462,0.2677182780204459,0.38424275838431055
