kg_fertile_per_m3_breeder,N_fertile_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,M_subcrit
0.0,0.0,inf,7.138496767787258,7.138496767787258,1.0,0.0,0.0,0.0,0.0,1.0
0.1,2.595272275465166e-07,1095505.6929712764,7.138496767787258,7.132844620056341,0.999208215971124,0.00011346364462448584,1.1848523339578402e-05,0.00012531216796406424,1.2332584503548489e-05,1.000012332736598
0.5,1.297531905037449e-06,219112.77549403097,7.138496767787258,7.110457281993157,0.9960720741766488,0.0005655200835021725,5.924077936882243e-05,0.000624760862870995,6.164492347314564e-05,1.000061648723804
1,2.5948032754276333e-06,109563.66080937524,7.138496767787258,7.0829577780881525,0.9922197919946217,0.0011266221907263497,0.00011847696228838066,0.0012450991530147304,0.00012324511639754887,1.0001232603076284
10,2.5901225812311122e-05,10969.457593185165,7.138496767787258,6.661069708074293,0.9331193842004142,0.010587715043952789,0.0011839368221911403,0.011771651866143928,0.0012248341815191968,1.001226336240064
25,6.45589709466867e-05,4396.510712105824,7.138496767787258,6.151201265721309,0.8616942005883987,0.024414157951687627,0.0029563243127171982,0.027370482264404826,0.0030337207780680737,1.003042952245522
50,0.00012847610898954212,2205.5284184127095,7.138496767787258,5.566288469793809,0.7797563900164389,0.04409616192064347,0.005900724567928343,0.04999688648857181,0.005984911092636987,1.0060209459186538
75,0.00019176093825444595,1475.2009871816724,7.138496767787258,5.149782697734145,0.721409964206013,0.061069367054757864,0.008832929768968432,0.0699022968237263,0.008868421023923488,1.0089477736478594
100,0.00025442279535740106,1110.0372715661533,7.138496767787258,4.827840433107796,0.67631051608703,0.07617681277859392,0.01175276771138197,0.08792958048997589,0.01169313431668152,1.0118314814180682
150,0.00037791402940973363,744.8735559506343,7.138496767787258,4.348510844871664,0.6091633835984192,0.1024871373623721,0.017554928603144816,0.12004206596551692,0.01718926349850677,1.0174899020331172
250,0.0006178118763458514,452.74258345821937,7.138496767787258,3.727481358589804,0.5221661478380445,0.14516535163012692,0.029007997713200263,0.17417334934332718,0.027668299441834514,1.0284556180015025
500,0.0011792465070328464,233.64435408890796,7.138496767787258,2.9166365200719864,0.4085785305995264,0.2222721226528056,0.056763994566919135,0.27903611721972477,0.05156495320323358,1.0543684603151144
750,0.0016916840577856321,160.61161096580412,7.138496767787258,2.4878552967232612,0.3485124918666076,0.2782514724526605,0.08330721518317098,0.3615586876358315,0.07292987808974159,1.0786670569637895
999.99,0.002161252403324216,124.09633490635412,7.138496767787258,2.2117649555939956,0.30983623408988153,0.3227753636117804,0.10870053178404979,0.4314758953958302,0.09228447059756481,1.1016667310498889
2000,0.0037032005081449543,69.32068206192443,7.138496767787258,1.6548570350717133,0.23182150092710269,0.4445099941704643,0.20007430255213826,0.6445842967226025,0.1549899761305994,1.1834179142880246
3000,0.004858646428797342,51.062496281148476,7.138496767787258,1.401453494295099,0.19632333527406104,0.5226115353605365,0.2777605497217345,0.800372085082271,0.20141586521352606,1.2522162117174802
4000,0.005756733698687358,41.93340339076049,7.138496767787258,1.2524520925662468,0.17545039709452348,0.579338684381576,0.34454160172094045,0.9238802861025164,0.2372004704341255,1.310960430939334
