kgU238_per_m3_breeder,N_U238_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,M_subcrit
0.0,0.0,inf,6.826240116469127,6.826240116469127,1.0,0.0,0.0,0.0,0.0,1.0
0.1,2.529722454172585e-07,1051631.412698513,6.826240116469127,6.816836409930393,0.9986224178496086,0.00015860045192632772,3.8035581094428782e-06,0.0001624040100357706,1.8106354637755078e-05,1.0000181066824838
0.5,1.2647635263252636e-06,210337.2552727413,6.826240116469127,6.779713984745375,0.9931842228034871,0.0007886799819990037,1.9017698249763e-05,0.0008076976802487667,9.049445574429165e-05,1.0000905026457318
1,2.5292828431936425e-06,105175.48559451984,6.826240116469127,6.734385985100708,0.9865439642026641,0.0015668043966116894,3.803516320038843e-05,0.0016048395598120778,0.00018089661563153744,1.0001809293451378
10,2.5248951222616712e-05,10529.892884120529,6.826240116469127,6.075977158214199,0.890091332057771,0.01413448711768882,0.00038030534472430406,0.014514792462413124,0.0017938738775897102,1.0017970976441088
25,6.294039965518268e-05,4220.186703427243,6.826240116469127,5.3687443491498525,0.786486302495734,0.03121563380334048,0.0009505346224821697,0.03216616842582265,0.00443212952388692,1.0044518607473414
50,0.00012527884575137208,2116.9513098628136,6.826240116469127,4.663732062220459,0.6832065650560173,0.054207004515332634,0.001900160667886921,0.05610716518321956,0.008719106078192845,1.0087957975702502
75,0.00018702393269560708,1415.8728453413373,6.826240116469127,4.221037028315931,0.6183546075579982,0.07355166294438599,0.0028486680285141224,0.07640033097290011,0.012892026332005703,1.0130604013703792
100,0.0002481840920607336,1065.333613080599,6.826240116469127,3.907699345831543,0.5724526648870361,0.09073344896850656,0.003795900190468616,0.09452934915897518,0.016966149645492923,1.0172589678772246
150,0.00036878256309551044,714.7943808198606,6.826240116469127,3.4808765201999057,0.5099258831815587,0.1210682934092221,0.005686045232748768,0.12675433864197086,0.024854581519336463,1.02548807700708
250,0.000603314165025598,434.36299501126996,6.826240116469127,2.9853781900617036,0.43733858450995866,0.1725037010947189,0.009446426912273357,0.18195012800699226,0.03974789072432801,1.0413931824157203
500,0.0011535010872815445,224.03945565482718,6.826240116469127,2.40889744467694,0.352887886094892,0.2756658386517917,0.018708249212783936,0.2943740878645756,0.07296916879721736,1.0787127745282679
750,0.0016572823181192316,153.93160920267948,6.826240116469127,2.1249802165153473,0.31129584958322465,0.36060839527289706,0.027742746224855692,0.38835114149775274,0.10183451042853946,1.1133805647299224
999.99,0.0021202736581599963,118.87873760481871,6.826240116469127,1.9465542272518033,0.28515759686734526,0.43497992217943277,0.036531811788843925,0.47151173396827667,0.1273702344885489,1.145961368179891
2000,0.0036498087975104588,66.2968011374949,6.826240116469127,1.590593817949754,0.2330117005571273,0.6731756683887847,0.06918909135449514,0.7423647597432799,0.20687470133444935,1.2608348285983568
3000,0.0048052700976869995,48.76983952445799,6.826240116469127,1.427794845511923,0.20916270467357218,0.8566479609515535,0.0980855615506848,0.9547335225022383,0.2634164129666483,1.3576191726285656
4000,0.0057089423625725595,40.00635871793955,6.826240116469127,1.331095967281974,0.19499694481454652,1.0072318401544194,0.12370537936018351,1.1309372195146028,0.306132750331602,1.4411978667070742
