kgU238_per_m3_breeder,N_U238_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,M_subcrit
0.0,0.0,inf,4.256053557512107,4.256053557512107,1.0,0.0,0.0,0.0,0.0,1.0
0.1,1.2792475201026048e-07,2932955.6288964245,4.256053557512107,4.254632081789322,0.9996660108470026,3.3000951569015006e-05,2.225597345196443e-06,3.522654891421145e-05,7.91726417690175e-06,1.0000079173268606
0.5,6.395697819283063e-07,586612.7779118288,4.256053557512107,4.248968605971209,0.9983353236877405,0.0001647764263247401,1.112739999246394e-05,0.00017590382631720405,3.9583175082044684e-05,1.0000395847419719
1,1.279004644169627e-06,293319.9215387546,4.256053557512107,4.241939248830353,0.9966837098050982,0.00032898596853084993,2.22533333351893e-05,0.0003512393018660392,7.91585003868649e-05,1.0000791647669511
10,1.2765809475527873e-05,29356.350802987694,4.256053557512107,4.124100511396455,0.9689963849532041,0.0031946798618174934,0.0002222696907492721,0.0034169495525667656,0.0007901981492685254,1.000790823056184
25,3.181404504228201e-05,11758.779420603234,4.256053557512107,3.9575611057861835,0.9298663779267833,0.007649082301602704,0.000554579544842055,0.008203661846444759,0.00196995170527388,1.0019738400748954
50,6.329595852870966e-05,5892.922293141745,4.256053557512107,3.73781687303739,0.8782353940165982,0.01440148466782298,0.0011055321799838687,0.01550701684780685,0.003922420298984107,1.003937866265559
75,9.445091452064005e-05,3937.636583987916,4.256053557512107,3.5659557891830884,0.8378550084006889,0.020541893687890594,0.0016529003253399313,0.022194794013230525,0.0058587952989017505,1.0058933230724134
100,0.0001252839801635088,2959.9937294110005,4.256053557512107,3.426026127336638,0.8049772121146274,0.026229177611703538,0.002196727291975475,0.028425904903679012,0.007780018215974063,1.0078410215061235
150,0.00018600419080444183,1982.3508748340864,4.256053557512107,3.208397915278895,0.753843407260687,0.03660797569011554,0.00327393182258287,0.03988190751269841,0.011579667809069903,1.0117153274087376
250,0.0003037936404335111,1200.2365911725553,4.256053557512107,2.9131682065836415,0.6844763974931146,0.05470042988085743,0.005387748568840318,0.06008817844969775,0.01902050323883399,1.019389297433466
500,0.0005785958748324087,613.6508784264058,4.256053557512107,2.5082475339983445,0.5893364592584099,0.09135595898455648,0.010450778166864341,0.10180673715142081,0.03680265658021641,1.0382088435268628
750,0.0008283677294193332,418.1223075110231,4.256053557512107,2.283897173938403,0.5366232222118614,0.12120239025322792,0.015227085277756087,0.136429475530984,0.053555908654124934,1.0565864472543398
999.99,0.0010563713576681015,320.3609550112249,4.256053557512107,2.134199546818167,0.5014503501844374,0.14689141021521127,0.01974892767248669,0.16664033788769794,0.0694029522527074,1.0745789516748543
2000,0.001799265147477304,173.71159386679435,4.256053557512107,1.8128278943667766,0.42594104370868685,0.22611185774436607,0.03578894575248667,0.26190080349685274,0.12534892433845476,1.1433130625760068
3000,0.002350174722870792,124.82945113794858,4.256053557512107,1.65315192606562,0.3884236661326171,0.2844936977984759,0.049378969821824506,0.3338726676203004,0.17196880567667788,1.207683969946583
4000,0.0027750090043701333,100.38837977352574,4.256053557512107,1.5532020640661997,0.36493950160113353,0.33146681369706843,0.061234226590203555,0.392701040287272,0.2115780038030307,1.2683562924723029
