kg_fertile_per_m3_breeder,N_fertile_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,M_subcrit
0.0,0.0,inf,6.900138142459891,6.900138142459891,1.0,0.0,0.0,0.0,0.0,1.0
0.1,2.529722454172585e-07,1106909.5437352438,6.900138142459891,6.884843393045766,0.9977834140276106,0.0001608526971104242,3.8121980569643053e-06,0.0001646648951673885,1.843115672796874e-05,1.0000184314964418
0.5,1.2647635263252636e-06,221393.75429097004,6.900138142459891,6.824907007988219,0.9890971553150887,0.0007972590954729482,1.906092262953035e-05,0.0008163200181024785,9.212292571979511e-05,1.0000921314131352
1,2.5292828431936425e-06,110704.28061043583,6.900138142459891,6.752650894007677,0.9786254643882194,0.0015776297456227505,3.812167396503956e-05,0.00161575141958779,0.0001841650540820544,1.0001841989770965
10,2.5248951222616712e-05,11083.754297955005,6.900138142459891,5.796758580217302,0.840093119954663,0.01354181879433393,0.00038118250421626177,0.013923001298550192,0.0018289729156140443,1.0018323241869245
25,6.294039965518268e-05,4442.385877122953,6.900138142459891,4.9086591829035,0.711385639179909,0.028662748898146618,0.0009527876824719469,0.029615536580618565,0.004530547333932444,1.0045511666096822
50,0.00012527884575137208,2228.596403512268,6.900138142459891,4.116434387780661,0.5965727501091966,0.04805694045529326,0.0019049171628836177,0.049961857618176876,0.008948497963475872,1.0090292966057641
75,0.00018702393269560708,1490.6665789753736,6.900138142459891,3.6535114744719217,0.5294838159818999,0.06395385301437358,0.0028562578634914603,0.06681011087786504,0.013279054237736183,1.0134577605702673
100,0.0002481840920607336,1121.7016667069256,6.900138142459891,3.3385105706852514,0.4838324250556347,0.07788651821643829,0.003806718024678074,0.08169323624111637,0.0175333708740335,1.017846276254321
150,0.00036878256309551044,752.7367544384782,6.900138142459891,2.9229489082764313,0.4236073029161708,0.10219140383821794,0.005704719765927243,0.10789612360414519,0.02583922514281221,1.0265246002607735
250,0.000603314165025598,457.5648246237202,6.900138142459891,2.4548844459698675,0.35577323167833047,0.14274098088626402,0.009487653095153323,0.15222863398141734,0.04174895692018112,1.0435678700500026
500,0.0011535010872815445,236.18587726265184,6.900138142459891,1.920448483423411,0.2783202950106117,0.22194666720977324,0.018857631317000058,0.2408042985267733,0.07822390101627211,1.084862149390199
750,0.0016572823181192316,162.39289480896227,6.900138142459891,1.6576980451475403,0.24024128371386097,0.2853815562541117,0.028090641090817603,0.3134721973449293,0.11094337747563099,1.1247877521688334
999.99,0.0021202736581599963,125.49751048792339,6.900138142459891,1.4917893198109067,0.21619702229310522,0.3399181701411079,0.037179886604023035,0.37709805674513097,0.14063347543589455,1.1636478399100172
2000,0.0036498087975104588,70.1516667418504,6.900138142459891,1.1571514288714835,0.16769974817619526,0.5112871770412666,0.07209678175288191,0.5833839587941485,0.2371330329083133,1.3108445418895862
3000,0.0048052700976869995,51.70342112842805,6.900138142459891,1.0016923743810182,0.14516990148604708,0.6433496185026666,0.10479820750160483,0.7481478260042714,0.3090310614214848,1.4472430585045315
4000,0.0057089423625725595,42.47929832171686,6.900138142459891,0.9084180700707922,0.1316521570026049,0.754076048541172,0.1354473636688464,0.8895234122100184,0.364845064108281,1.5744190015559913
