kgU238_per_m3_breeder,N_U238_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron
0.0,0.0,inf,6.826240116469127,6.826240116469127,1.0,0.0,0.0,0.0
0.1,2.529722454172585e-07,1106901.3874813505,6.826240116469127,6.81116542688573,0.9977916555342043,0.00015846564160098493,3.8034892408708634e-06,0.00016226913084185578
0.5,1.2647635263252636e-06,221392.12306813378,6.826240116469127,6.752093933469444,0.9891380640389728,0.0007853958779190466,1.901597725351038e-05,0.000804411855172557
1,2.5292828431936425e-06,110703.46501648168,6.826240116469127,6.680885657045328,0.9787065123781519,0.0015540759741183433,3.802828276809048e-05,0.0015921042568864338
10,2.5248951222616712e-05,11083.672769994779,6.826240116469127,5.739235298487368,0.8407608288845233,0.013327177534753603,0.00037962312490089545,0.0137068006596545
25,6.294039965518268e-05,4442.353286895652,6.826240116469127,4.864530282366047,0.7126222048107833,0.028158610262881734,0.0009463217299183898,0.029104931992800124
50,0.00012527884575137208,2228.5801258626097,6.826240116469127,4.083839759205862,0.5982560955265999,0.04705299213348467,0.0018835929654580051,0.04893658509894268
75,0.00018702393269560708,1490.655738851596,6.826240116469127,3.627274301104629,0.5313722106483469,0.06239048954405728,0.0028119429252793757,0.06520243246933666
100,0.0002481840920607336,1121.6935453460887,6.826240116469127,3.3163711791410213,0.48582691533804623,0.07569686309392279,0.0037314983797977707,0.07942836147372057
150,0.00036878256309551044,752.7313518405817,6.826240116469127,2.905862077460058,0.42568998861456914,0.09855670716704146,0.00554472095798878,0.10410142812503023
250,0.000603314165025598,457.5615970361759,6.826240116469127,2.442896720631853,0.3578685599907437,0.1355468526797722,0.009070951367628963,0.14461780404740116
500,0.0011535010872815445,236.18428093287173,6.826240116469127,1.9133255949083496,0.28028981727323377,0.2029774063369517,0.017343123818075897,0.2203205301550276
750,0.0016572823181192316,162.3918422317702,6.826240116469127,1.652526017753869,0.2420843670246745,0.25187531812057057,0.0249175772451043,0.27679289536567486
999.99,0.0021202736581599963,125.49672977886904,6.826240116469127,1.487685844395132,0.21793634841615234,0.29009748104762023,0.03187874635500734,0.32197622740262755
2000,0.0036498087975104588,70.15129385539346,6.826240116469127,1.1548083875793862,0.16917195526030088,0.3876330984148706,0.05487561874493202,0.4425087171598026
3000,0.0048052700976869995,51.703184180118136,6.826240116469127,0.999989491883976,0.1464919889752165,0.4419305752083883,0.07224821476318402,0.5141787899715723
4000,0.0057089423625725595,42.479129342480455,6.826240116469127,0.9070470816759607,0.13287652737084363,0.4762404699662795,0.08583511134583634,0.5620755813121159
