kgU238_per_m3_breeder,N_U238_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron
0.0,0.0,inf,4.256053557512107,4.256053557512107,1.0,0.0,0.0,0.0
0.1,1.2792475201026048e-07,2932955.6288964245,4.256053557512107,4.254632081789322,0.9996660108470026,3.300069029176334e-05,2.2255797245543094e-06,3.522627001631765e-05
0.5,6.395697819283063e-07,586612.7779118288,4.256053557512107,4.248968605971209,0.9983353236877405,0.00016476990395060748,1.1126959534641831e-05,0.0001758968634852493
1,1.279004644169627e-06,293319.9215387546,4.256053557512107,4.241939248830353,0.9966837098050982,0.0003289599264949327,2.2251571794693876e-05,0.00035121149828962656
10,1.2765809475527873e-05,29356.350802987694,4.256053557512107,4.124100511396455,0.9689963849532041,0.0031921554317031796,0.00022209405365100355,0.0034142494853541833
25,3.181404504228201e-05,11758.779420603234,4.256053557512107,3.9575611057861835,0.9298663779267833,0.007634013978878881,0.0005534870499219833,0.008187501028800864
50,6.329595852870966e-05,5892.922293141745,4.256053557512107,3.73781687303739,0.8782353940165982,0.014344995992026401,0.0011011958181199198,0.015446191810146321
75,9.445091452064005e-05,3937.636583987916,4.256053557512107,3.5659557891830884,0.8378550084006889,0.02042154293772144,0.0016432163206842763,0.022064759258405717
100,0.0001252839801635088,2959.9937294110005,4.256053557512107,3.426026127336638,0.8049772121146274,0.026025114132094466,0.0021796367136283786,0.028204750845722843
150,0.00018600419080444183,1982.3508748340864,4.256053557512107,3.208397915278895,0.753843407260687,0.036184067492461496,0.0032360207796478177,0.03942008827210931
250,0.0003037936404335111,1200.2365911725553,4.256053557512107,2.9131682065836415,0.6844763974931146,0.053660000177142966,0.005285270879736668,0.05894527105687963
500,0.0005785958748324087,613.6508784264058,4.256053557512107,2.5082475339983445,0.5893364592584099,0.0879938169994915,0.010066161766993209,0.09805997876648472
750,0.0008283677294193332,418.1223075110231,4.256053557512107,2.283897173938403,0.5366232222118614,0.11471128611216444,0.014411584889552012,0.12912287100171646
999.99,0.0010563713576681015,320.3609550112249,4.256053557512107,2.134199546818167,0.5014503501844374,0.1366967126857121,0.018378293788190926,0.15507500647390302
2000,0.001799265147477304,173.71159386679435,4.256053557512107,1.8128278943667766,0.42594104370868685,0.1977689795959401,0.03130283989920516,0.22907181949514524
3000,0.002350174722870792,124.82945113794858,4.256053557512107,1.65315192606562,0.3884236661326171,0.23556965636553026,0.040887327356020624,0.27645698372155086
4000,0.0027750090043701333,100.38837977352574,4.256053557512107,1.5532020640661997,0.36493950160113353,0.2613357269280916,0.04827841116382582,0.3096141380919174
