kgU238_per_m3_breeder,N_U238_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron
0.0,0.0,inf,0.860792429306827,0.860792429306827,1.0,0.0,0.0,0.0
0.1,2.0291166003983212e-07,436566.82596392574,0.860792429306827,0.8607268165134573,0.9999237762889917,8.083022930090773e-06,1.234150745833455e-05,2.0424530388425324e-05
0.5,1.014472681189775e-06,87331.18369430017,0.860792429306827,0.8604670378485437,0.9996219861522885,4.03995072182637e-05,6.170232976617768e-05,0.00010210183698444137
1,2.028731355494815e-06,43676.72841059699,0.860792429306827,0.8601481270288409,0.9992515009936775,8.076054900914627e-05,0.0001233916431903493,0.00020415219219949556
10,2.024886936832848e-05,4387.718655264133,0.860792429306827,0.8552398019545057,0.9935494003394143,0.0008014753243295153,0.0012315781768431227,0.002033053501172638
25,5.0462796219402956e-05,1768.4513382419423,0.860792429306827,0.8490831864011534,0.9863971353522444,0.0019830014228374594,0.0030692517905965746,0.005052253213434034
50,0.00010039877206752529,895.3622325678789,0.860792429306827,0.8413605151184412,0.9774255517046848,0.003909417034718668,0.006106461274998985,0.010015878309717653
75,0.000149816134536076,604.3325306765242,0.860792429306827,0.8351961611430225,0.9702642968358627,0.005790933129817256,0.00911212761944227,0.014903060749259525
100,0.00019872292102888708,458.81767973084686,0.860792429306827,0.82992160669169,0.9641367400965685,0.007632846114671147,0.012086739675475511,0.019719585790146658
150,0.00029503609377697093,313.3028287851696,0.860792429306827,0.821021233016947,0.9537969957264765,0.01121065561051297,0.017944706337287876,0.029155361947800846
250,0.0004818713417162876,196.89094802862775,0.860792429306827,0.8070840255191085,0.9376058594858131,0.01799912208905054,0.029308413112296375,0.047307535201346916
500,0.0009177571002445747,109.58203746122135,0.860792429306827,0.783341292415061,0.9100234455429222,0.03327210258099758,0.05581988780430106,0.08909199038529864
750,0.0013139401754433092,80.47906727208586,0.860792429306827,0.7675428582911031,0.8916700846325807,0.04667450277328895,0.0799165630592927,0.12659106583258167
999.99,0.0016755949293204273,65.92801872643648,0.860792429306827,0.7560034765704813,0.8782645511639439,0.05862654529251988,0.10191315429234668,0.16053969958486655
2000,0.0028539580666699293,44.10035453566655,0.860792429306827,0.7294167942385923,0.8473782638004519,0.0963440323377225,0.17358364107152235,0.26992767340924484
3000,0.003727799717470749,36.82461198838268,0.860792429306827,0.7160384001132858,0.8318363123731145,0.12353509616109519,0.22673250027776345,0.35026759643885863
4000,0.004401663281372333,33.18674071474076,0.860792429306827,0.707914743512643,0.8223988959599793,0.14421128516712464,0.2677182780204459,0.41192956318757057
