kg_fertile_per_m3_breeder,N_fertile_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,M_subcrit
0.0,0.0,inf,0.8607879220824931,0.8607879220824931,1.0,0.0,0.0,0.0,0.0,1.0
0.1,2.0291166003983212e-07,1388753.9612907914,0.8607879220824931,0.8607206647871267,0.9999218654285905,8.08320108067714e-06,1.234168022962667e-05,2.042488131030381e-05,1.3999008960349287e-05,1.0000139992049353
0.5,1.014472681189775e-06,277770.3949252075,0.8607879220824931,0.8604537565330095,0.9996117910801128,4.0402325006707735e-05,6.170664864136163e-05,0.00010210897364806937,6.999043505106269e-05,1.000069995334055
1,2.028731355494815e-06,138897.44912950956,0.8607879220824931,0.8601247522419218,0.9992295781300382,8.077088632406467e-05,0.00012340891665594978,0.00020417980298001443,0.00013996934798999835,1.000139988942151
10,2.024886936832848e-05,13911.797913381424,0.8607879220824931,0.8548854688379527,0.9931429646105389,0.00080227671496584,0.0012333018686813404,0.0020355785836471806,0.0013976236329395811,1.0013995797186306
25,5.0462796219402956e-05,5579.421165639547,0.8607879220824931,0.8479003871123738,0.9850282112010347,0.001987195437132748,0.0030799870099327696,0.005067182447065518,0.0034854755236220954,1.0034976665547886
50,0.00010039877206752529,2801.962249725588,0.8607879220824931,0.8385930132981809,0.9742155899090494,0.003923858489178408,0.006149152076044606,0.010073010565223015,0.0069425508619198745,1.006991086837872
75,0.000149816134536076,1876.1426110876023,0.8607879220824931,0.8307853779440675,0.9651452542853519,0.005820809050621483,0.009207625468364488,0.015028434518985972,0.01037160441096679,1.010480301956972
100,0.00019872292102888708,1413.2327917686084,0.8607879220824931,0.8238604380672575,0.9571003692455426,0.007683034626449102,0.012255535128230485,0.019938569754679586,0.013772997342739695,1.0139653419604515
150,0.00029503609377697093,950.3229724496155,0.8607879220824931,0.8116856666164244,0.9429566165992708,0.01131524807313154,0.0183201632757966,0.029635411348928144,0.020494191719609457,1.0209229915191507
250,0.0004818713417162876,579.9951169944206,0.8607879220824931,0.7913770512020183,0.9193635631962052,0.018263098298771166,0.030328025846575655,0.04859112414534682,0.03361948909689416,1.0347890801993471
500,0.0009177571002445747,302.2492254030247,0.8607879220824931,0.7528474266418504,0.8746026835744818,0.03418930964491423,0.05968105592038989,0.09387036556530412,0.06469671249180528,1.0691719075041084
750,0.0013139401754433092,209.66726153922602,0.8607879220824931,0.723819791774076,0.8408805156361256,0.04855699710905207,0.08816059325759124,0.1367175903666433,0.09351151000323661,1.1031579672937386
999.99,0.0016755949293204273,163.37766835067217,0.8607879220824931,0.7004445874007057,0.813724925073448,0.061747099256898225,0.11584996678526435,0.17759706604216258,0.1203005307610531,1.1367518510214953
2000,0.0028539580666699293,93.93980670947774,0.8607879220824931,0.6371764231409737,0.7402246323338982,0.10665998847902959,0.2199859639712847,0.3266459524503143,0.2109331071041393,1.2673196772076176
3000,0.003727799717470749,70.79431574352807,0.8607879220824931,0.5985295809732932,0.6953275779303203,0.14374325621038572,0.3156130822021095,0.45935633841249524,0.28161247722751065,1.3920063591036174
4000,0.004401663281372333,59.22157026055325,0.8607879220824931,0.5720019457586166,0.6645097254324616,0.176085278940499,0.4045560316745344,0.5806413106150334,0.3382417834377379,1.5111259293384447
