kg_fertile_per_m3_breeder,N_fertile_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,M_subcrit
0.0,0.0,inf,5.641132768530785,5.641132768530785,1.0,0.0,0.0,0.0,0.0,1.0
0.1,1.321763506539804e-07,3316621.8702665307,5.641132768530785,5.639923942940361,0.9997857122602809,2.642724157283184e-05,5.818834953385386e-06,3.224607652621722e-05,5.9372549838649915e-06,1.000005937290235
0.5,6.608230084545788e-07,663353.573171465,5.641132768530785,5.635103499611508,0.9989311953526584,0.00013201467066576732,2.909227948912394e-05,0.00016110695015489126,2.9684341016016992e-05,1.0000296852222024
1,1.3214991842398801e-06,331695.03603458207,5.641132768530785,5.629111092812843,0.9978689252298749,0.0002637270962590162,5.8179821570683047e-05,0.0003219069178296993,5.936385253226787e-05,1.0000593673768083
10,1.3188617640581886e-05,33202.35261138716,5.641132768530785,5.527056170896092,0.9797777144563815,0.002585668975208995,0.0005809469792568893,0.003166615954465884,0.0005927787149670749,1.00059313030999
25,3.286223451131987e-05,13302.840383174169,5.641132768530785,5.377299772152405,0.9532304933771141,0.006273734702342727,0.001448836416122337,0.007722571118465063,0.0014784535463904724,1.0014806426077048
50,6.53633072732884e-05,6669.669640436503,5.641132768530785,5.168516481627928,0.9162196129225393,0.012011668917245479,0.0028859905135835413,0.01489765943082902,0.0029456722678867214,1.0029543748880634
75,9.750913959471372e-05,4458.612726190613,5.641132768530785,4.995099800418332,0.885478148694467,0.017343144889639305,0.004311626517756775,0.02165477140739608,0.0044022797724157445,1.004421745533336
100,0.00012930552404679798,3353.0842690676714,5.641132768530785,4.846478568891885,0.8591321579821876,0.02234668799995599,0.0057259074034524795,0.02807259540340847,0.00584875292913059,1.0058831620906408
150,0.00019187249670600756,2247.555811944727,5.641132768530785,4.6004327119160155,0.8155157661914388,0.03156706154478873,0.008521046313186564,0.04008810785797529,0.00871278614546091,1.0087893660118765
250,0.0003130544423724373,1363.1330462463714,5.641132768530785,4.233504861665365,0.7504707007220409,0.047666358568620115,0.013982002146434948,0.06164836071505506,0.014333015206177845,1.0145414378560889
500,0.0005948004197012637,699.815971972605,5.641132768530785,3.6581586758267237,0.6484794501263759,0.07934343024020173,0.026934311874294393,0.10627774211449612,0.02782357531029114,1.0286198827740258
750,0.0008497109808816858,478.710280548016,5.641132768530785,3.300667432751994,0.5851072059790648,0.10363344169406702,0.03899021275943833,0.14262365445350533,0.04060968683147588,1.0423286396308886
999.99,0.0010814369738125454,368.1607514542592,5.641132768530785,3.0474161881979094,0.5402135197380932,0.12333897899835702,0.0502604103948687,0.17359938939322572,0.05277121582228495,1.05571116155227
2000,0.0018301143845827453,202.32816626727998,5.641132768530785,2.472324882121745,0.4382674515150003,0.1774705610701872,0.08914115034640559,0.2666117114165928,0.09618466907188282,1.1064207098291992
3000,0.002379125154560466,147.05174341113272,5.641132768530785,2.177460441777551,0.38599702065595304,0.2117816117321002,0.12078011170178136,0.3325617234338816,0.13283535033509078,1.1531835394655687
4000,0.002798949587730881,119.41353198305917,5.641132768530785,1.992599680672771,0.35322687170004996,0.23656286998805123,0.14742935846308008,0.38399222845113135,0.16422225206348812,1.1964903378547032
