kgU238_per_m3_breeder,N_U238_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,M_subcrit
0.0,0.0,inf,0.860792429306827,0.860792429306827,1.0,0.0,0.0,0.0,0.0,1.0
0.1,2.0291166003983212e-07,436566.82596392574,0.860792429306827,0.8607268165134573,0.9999237762889917,8.083134874876215e-06,1.234167838045322e-05,2.0424813255329432e-05,1.3849179455115099e-05,1.0000138493712576
0.5,1.014472681189775e-06,87331.18369430017,0.860792429306827,0.8604670378485437,0.9996219861522885,4.040230471396992e-05,6.170660239261473e-05,0.00010210890710658465,6.924099320630452e-05,1.0000692457878535
1,2.028731355494815e-06,43676.72841059699,0.860792429306827,0.8601481270288409,0.9992515009936775,8.07717334491671e-05,0.00012340873156393352,0.0002041804650131006,0.00013846972874343713,1.0001384889052645
10,2.024886936832848e-05,4387.718655264133,0.860792429306827,0.8552398019545057,0.9935494003394143,0.0008025848943151393,0.0012332831852675775,0.002035868079582717,0.0013824954761585114,1.0013844094159132
25,5.0462796219402956e-05,1768.4513382419423,0.860792429306827,0.8490831864011534,0.9863971353522444,0.0019898606908548425,0.003079868434842049,0.0050697291256968915,0.003447109663961537,1.0034590333311855
50,0.00010039877206752529,895.3622325678789,0.860792429306827,0.8413605151184412,0.9774255517046848,0.003936436833985059,0.006148665868781938,0.010085102702766996,0.006864024600398991,1.0069114650666413
75,0.000149816134536076,604.3325306765242,0.860792429306827,0.8351961611430225,0.9702642968358627,0.0058509118034292635,0.00920650503947902,0.015057416842908282,0.010251166933819389,1.0103573417733285
100,0.00019872292102888708,458.81767973084686,0.860792429306827,0.82992160669169,0.9641367400965685,0.007738154196283162,0.01225349678665605,0.019991650982939212,0.0136089407035334,1.0137966991643657
150,0.00029503609377697093,313.3028287851696,0.860792429306827,0.821021233016947,0.9537969957264765,0.011442222629872897,0.018315371738508314,0.029757594368381213,0.020237940376667873,1.0206559747623298
250,0.0004818713417162876,196.89094802862775,0.860792429306827,0.8070840255191085,0.9376058594858131,0.018616446317777466,0.030313617334493684,0.04893006365227115,0.03316015410188254,1.0342974632691926
500,0.0009177571002445747,109.58203746122135,0.860792429306827,0.783341292415061,0.9100234455429222,0.0355332483185711,0.059613363166228235,0.09514661148479933,0.06363464767705342,1.0679592079300968
750,0.0013139401754433092,80.47906727208586,0.860792429306827,0.7675428582911031,0.8916700846325807,0.051388793345866254,0.08798841979986008,0.13937721314572632,0.09173771683737195,1.101003552099439
999.99,0.0016755949293204273,65.92801872643648,0.860792429306827,0.7560034765704813,0.8782645511639439,0.06644998675791756,0.11551299363443983,0.1819629803923574,0.1177342817824642,1.1334453774542277
2000,0.0028539580666699293,44.10035453566655,0.860792429306827,0.7294167942385923,0.8473782638004519,0.12115366525929842,0.21828331070003631,0.33943697595933475,0.20477822828122658,1.2575108423385137
3000,0.003727799717470749,36.82461198838268,0.860792429306827,0.7160384001132858,0.8318363123731145,0.169628886170007,0.31133161891503114,0.4809605050850381,0.27173314079722993,1.3731230350021622
4000,0.004401663281372333,33.18674071474076,0.860792429306827,0.707914743512643,0.8223988959599793,0.21359242210186227,0.3965195607060752,0.6101119828079374,0.3248295808062411,1.4811075419952933
