cell,energy low [eV],energy high [eV],nuclide,score,mean,std. dev.,energy mid [eV]
31,0.001,0.0010470399110535467,total,flux,1.5126831784615086e-06,1.4997827106997035e-07,0.0010235199555267732
31,0.0010470399110535467,0.0010962925753390188,total,flux,1.6771957505804817e-06,1.7536742399477446e-07,0.0010716662431962828
31,0.0010962925753390188,0.0011478620805716298,total,flux,1.8415050453627891e-06,2.074786620465312e-07,0.0011220773279553243
31,0.0011478620805716298,0.001201857410743458,total,flux,1.9584449206425754e-06,1.9348183563104904e-07,0.0011748597456575438
31,0.001201857410743458,0.0012583926764438763,total,flux,2.2741582839673757e-06,2.275155737555714e-07,0.0012301250435936672
31,0.0012583926764438763,0.0013175873560142307,total,flux,2.5707698719519554e-06,2.4766877377834074e-07,0.0012879900162290534
31,0.0013175873560142307,0.0013795665480464177,total,flux,2.7619482632821653e-06,2.186764749291901e-07,0.0013485769520303241
31,0.0013795665480464177,0.0014444612357589696,total,flux,3.025534175568687e-06,2.9072208914123036e-07,0.0014120138919026938
31,0.0014444612357589696,0.0015124085638093675,total,flux,2.786507879417855e-06,2.835943280570474e-07,0.0014784348997841684
31,0.0015124085638093675,0.0015835521281275823,total,flux,3.5663005717391088e-06,2.369433884365634e-07,0.0015479803459684748
31,0.0015835521281275823,0.0016580422793833582,total,flux,4.032170745068459e-06,3.1559484354313386e-07,0.0016207972037554702
31,0.0016580422793833582,0.0017360364407285694,total,flux,4.0709377309178395e-06,2.4010885993152966e-07,0.0016970393600559638
31,0.0017360364407285694,0.0018176994404861568,total,flux,4.1844017245772614e-06,2.773880380199874e-07,0.001776867940607363
31,0.0018176994404861568,0.001903203860488707,total,flux,5.312200861008924e-06,3.698737102808966e-07,0.0018604516504874319
31,0.001903203860488707,0.0019927304008028625,total,flux,5.723193883505916e-06,3.959711081542121e-07,0.0019479671306457847
31,0.0019927304008028625,0.0020864682616103273,total,flux,6.3386609269138375e-06,3.827182055988594e-07,0.0020395993312065947
31,0.0020864682616103273,0.0021846155430525253,total,flux,6.137873719681635e-06,3.9824768986009826e-07,0.002135541902331426
