cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr
11,3.265770708654528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.6186059782589854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,33.42016959474634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.446753898396764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,268.76891644919453,0.7993790634438794,0.04822067175827912,0.0018741416352793996,8.123940953010256e-05,0.8012532050791589,0.04830191116780922,0.0018741416352793996,0.0013548535469478928,0.013384651869499994,0.0009191022944020909,57.92036428111314
23,27.164165478674153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,115.11580561077437,0.407403361907224,0.03624307809863963,0.00017724038577973737,5.673827923807581e-05,0.40758060229300375,0.03629981637787771,0.00017724038577973737,0.0001724077592121068,0.007671640497224925,0.0008600660322854887,33.19804030507121
24,5.360716975387362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.520618278538721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,25.56984087907007,0.0915677425548544,0.00985109325781483,1.0566112793862033e-05,6.573617730972092e-06,0.09157830866764827,0.009857666875545802,1.0566112793862033e-05,1.5200070762755061e-05,0.0017821741456198368,0.00015906281356329853,7.71213003768163
26,2.8647259652953343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,502.1160898169912,1.298350167905958,0.09431484311473358,0.002061948133852999,0.00014455130649915047,1.300412116039811,0.09445939442123273,0.002061948133852999,0.0015424613769227547,0.022838466512344755,0.001938231140250878,98.83053462386597
