fertile_kgm3,void_cell,cellfrom,leakage,leakage_stdev
0.1,99,"[22, 23]",0.05025659146557097,3.1152957253804384e-05
0.1,98,[23],0.007544103527786836,8.985408774711067e-06
0.1,total,,0.057800694993357805,3.242289802756715e-05
