cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,heat_eV_src,heat_eV_src_stdev
11,3.0801430232617766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450778.2836399264,40.627284420492366
21,6.159175601297522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586962.8147703325,54.67439301130027
12,30.743603264664547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489450.1270026817,43.37662190259989
22,6.172090521700778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540473.4070939444,44.539058388878956
31,270.01641897073904,0.8044288314459116,6.979642271060696e-05,0.0017494800449515103,1.8643446792790587e-07,0.806178311490863,6.998285717853487e-05,0.001092660979689237,9.561082708792041e-08,0.011435278672961504,1.307628517988915e-06,49.4847017951403,0.005658594698221269,9319460.146050133,550.7340503004635
23,27.382685904271984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407956.3443791384,81.91913086829592
32,120.07998799485019,0.42612516775636516,5.7435022986967406e-05,0.00018080633583804123,8.296174664286036e-08,0.4263059740922032,5.7517984733610265e-05,0.0001604449812831783,4.544656699834018e-08,0.006558080379045385,1.3112198652179145e-06,28.379251716265898,0.0056741357927369675,2981391.003974325,340.519300652622
24,10.956459761873397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72919.26254790823,40.56307814762366
41,1.7303365498934584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25168.273893260633,20.134613507877916
42,12.465790652143898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142662.90537084048,97.03390636188124
25,7.544146083809452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62678.0001376258,33.35806216517532
33,30.824399625513937,0.12339834191672028,3.51410764619086e-05,1.5773209635876044e-05,2.154259547925858e-08,0.12341411512635615,3.516261905738786e-05,1.8014062595623184e-05,1.3709005069502121e-08,0.002010093897449563,8.240830501511877e-07,8.698423531270405,0.003566113704564413,737575.0802882095,197.87970499566748
26,6.7353939808788565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39542.86278812836,29.80529245292172
43,1.0868877390631202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14433.915673117815,16.268600455161437
44,7.968038485684069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88955.27643313174,74.59947009177193
total,542.945558159646,1.353952341118997,0.00016237252215948295,0.0019460595904254277,2.9093881005002477e-07,1.3558984007094224,0.00016266346096953298,0.0012711200235680383,1.547663991557627e-07,0.020003452949456452,3.442931433358017e-06,86.56237704267662,0.01489884419552265,15960407.704042703,1666.032567722734
