cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr
11,3.225086298929147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.451115963462044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,32.2198537268723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.473876995395274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,276.5377898001052,0.8939760700584239,0.0006064042998940125,0.0020574821170531673,2.112226620597939e-06,0.8960335521754771,0.0006085165265146104,0.0020574821170531673,0.00020495992016043987,0.0003514482433287527,2.7667083491123636e-07,1.560085743949758
23,27.310595057282534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,113.083268343635,0.40836136998286277,0.0005235893114775786,0.00017243743401560043,7.063914363078431e-07,0.4085338074168784,0.0005242957029138864,0.00017243743401560043,3.0790798936714984e-05,0.00016935684670989475,1.7712035040242158e-07,0.7517784117795179
24,6.190642873501806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.186806215914608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,25.802962962924266,0.0991736385457371,0.0002514169637609534,1.2815908677078704e-05,3.003841326708147e-07,0.09918645445441418,0.0002517173478936242,1.2815908677078704e-05,3.46150193278519e-06,4.229238191888317e-05,1.4767538155913437e-07,0.18773672471485137
26,2.941988823437174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,507.4239870614593,1.4015110785870237,0.0013814105751325445,0.0022427354597458465,3.119002189576597e-06,1.4037538140467696,0.001384529577322121,0.0022427354597458465,0.00023921222102994005,0.0005630974719575306,6.014665668727923e-07,2.499600880444127
