cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev
11,3.0904794670063613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.181277783409289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.857335421439235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.196556530282761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,273.20249376051555,0.7822732075413252,8.625218746176019e-05,0.001666003076888472,1.5817136744232167e-07,0.7839392106182137,8.641035882920251e-05,0.01276621406359218,1.1118723445590654e-06,0.029848651380425428,4.4626658267466206e-06,132.49875729544806,0.01980986238649831
23,27.930204599509022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,123.15390648769205,0.4208658428731467,5.862824227818616e-05,0.00018437720017168354,7.902695516015792e-08,0.4210502200733184,5.870726923334632e-05,0.0021171775838993794,5.689561277219748e-07,0.017550115720653597,3.3925235518408485e-06,77.9053128310806,0.015059479538470366
24,11.22312083478281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.7703877283164307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.711791858988201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.779449661618742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.915330029372157,0.12343396629131316,3.544836024503189e-05,1.7115501998749377e-05,2.581625272538926e-08,0.1234510817933119,3.547417649775728e-05,0.00026037629112234654,1.8834950046954014e-07,0.005479836287658466,2.144733826460675e-06,24.32510229837056,0.00952051612361658
26,6.988943026949058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.1250019803862858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8.157140813608068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,552.283419983876,1.326573016705785,0.00018032878998497826,0.0018674957790589051,2.630145753278689e-07,1.328440512484844,0.0001805918045603061,0.015143767938613906,1.8691779727505804e-06,0.0528786033887375,9.999923205048145e-06,234.72917242489922,0.04438985804858526
