type,x_cm,y_cm,z_cm,radius_cm
BISO,0,0,0,0.0501
Be,-0.057756,-0.057756,-0.057756,0.0501
Li4SiO4,0.0821495,0.0116495,-0.0093505,0.0201
Li4SiO4,0.0836495,0.0261495,0.0696495,0.0201
Li4SiO4,0.0141495,-0.0823505,0.0756495,0.0201
Li4SiO4,0.0461495,0.0186495,-0.0813505,0.0201
