cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","U238(n,fis)","U238(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.0822747970492745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.42388289443621,0.06242584673670843,0.0,0.0
21,6.150771061715457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.168232839430615,0.0996298432135842,0.0,0.0
12,30.71390047805874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.67420536911771,0.07673006333072753,0.0,0.0
22,6.1678796806228195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.578433463063757,0.07938213462397344,0.0,0.0
31,270.15942140565613,0.820021456050857,0.002437827161099003,0.0,0.0,0.0,0.0,0.8182324116901689,0.00243102629227395,0.0017890443606880307,6.8008688250532626e-06,0.0,0.0,518.6589967892395,0.9138140107198929,0.0,0.0
23,27.436890610982317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.885558697868607,0.13927761255319818,0.0,0.0
32,119.08406786268397,0.42779960169390174,0.0020209893107515768,0.0,0.0,0.0,0.0,0.42761819439895243,0.002018258115192514,0.00018140729494932423,2.7311955590625766e-06,0.0,0.0,165.91265496164436,0.734171435713257,0.0,0.0
24,10.27543628008874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8069718437000386,0.07800069564611084,0.0,0.0
41,1.6686874738548556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33777907128137,0.04444387887425335,0.0,0.0
42,13.61069185363663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.075657766041502,0.1607101389519854,0.0,0.0
25,7.496000652024394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.501063201779936,0.037778725891372156,0.0,0.0
33,30.955199634047204,0.12631861594227914,0.0009811241379928644,0.0,0.0,0.0,0.0,0.12630347944976228,0.0009804248378440736,1.5136492516849285e-05,6.993001487908378e-07,0.0,0.0,41.93088623813087,0.28482445935425443,0.0,0.0
26,6.7478327885107365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2044367706205112,0.05527377858923139,0.0,0.0
43,1.0841757333901463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8151331319421692,0.03166178730634343,0.0,0.0
44,7.972068947589222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.688728051262206,0.12303484298747433,0.0,0.0
total,542.6052992599107,1.374139673687038,0.005439940609843445,0.0,0.0,0.0,0.0,1.3721540855388836,0.005429709245310538,0.001985588148154204,1.0231364532906677e-05,0.0,0.0,890.6626210895594,2.921159254492367,0.0,0.0
