cell,flux,tbr,tbr_stdev,"Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Th232(n,fis)","Th232(n,fis)_stdev",heat_eV_src,heat_eV_src_stdev
11,3.0821985528764486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450923.22041654505,142.95441345930632
21,6.164234576742464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586897.4812756818,153.61503407759756
12,30.76902917074933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489414.4217785837,128.1655923742967
22,6.177135572509926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540593.4445072908,148.94183903354087
31,270.2852317745893,0.807924556992505,0.00023522268512527077,0.011273386051439634,4.552409718202357e-06,48.78413223947345,0.019699969174096287,0.8061746836481628,0.00023455680070964626,0.0017498733443421957,6.658844156245018e-07,0.0010747811547638755,3.207955528565473e-07,9323234.807908218,1546.5297209347045
23,27.462537996809623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407760.1361574259,246.50107187085788
32,121.04436462549802,0.432301342247617,0.00018075958268075982,0.006565695022403051,4.083479541856419e-06,28.412203108759844,0.01767073397984704,0.4321206752721702,0.0001805260067222838,0.00018066697544684527,2.335759584760042e-07,0.00015777172067697506,1.215831939889652e-07,3011087.973605577,1014.4116437177544
24,11.847287941334724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78232.14271171749,166.57570661263438
41,1.1420431862173528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17226.03303964013,52.67075285166039
42,11.178487188114687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117457.89489110759,264.0006717151949
25,7.580620848936473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62830.11584859485,78.8523348042873
33,31.426039946966043,0.12735787178314173,0.00011323063371043864,0.0020557776210846767,2.1438842495334515e-06,8.8961139860138,0.009277384120275749,0.12734207370970693,0.00011316991974341233,1.579807343480415e-05,6.071396702631014e-08,1.775163941829456e-05,3.293092611760219e-08,757808.6902949044,639.9093965254107
26,7.385583232866043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43711.859470216536,104.70236284460287
43,0.726079945192277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9543.636452793244,41.304111798012
44,7.155995524560929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72260.78272692428,194.17223486924922
total,543.4268700839635,1.3675837710232637,0.0005292129015164692,0.01989485869492736,1.0779773509592227e-05,86.09244933424709,0.046648087274219076,1.3656374326300398,0.0005282527271753424,0.001946338393223845,9.601743411268162e-07,0.0012503045148591452,4.753096729631147e-07,15968982.641085222,4923.3068874891105
