cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr
11,3.2239962082428617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.446369629505628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,32.187855082872375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.470769823040871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,275.9019427824418,0.8964821383266603,0.0007724698204159481,0.0020407823339041566,2.1000596826558022e-06,0.8985229206605645,0.0007745698800986039,0.0020407823339041566,0.0030274879478958522,0.005304722324562493,7.039633990836879e-06,23.547767932419493
23,27.138538973775336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,111.87452450494702,0.4070564006459361,0.00044616607634437875,0.0001704746209343311,7.843582256221779e-07,0.40722687526687046,0.0004469504345700009,0.0001704746209343311,0.00044944186898446356,0.002545917619242448,2.9128750543910853e-06,11.301378961041761
24,6.025996425909652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.068318290036541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,25.274234245310037,0.09801222284277131,0.0002948529615640418,1.2572815770970212e-05,3.131974460368013e-07,0.09802479565854227,0.00029516615901007857,1.2572815770970212e-05,4.990394469927934e-05,0.0006326652023847649,2.047806072217255e-06,2.808413419811254
26,2.845684664619913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,504.45823063070196,1.4015507618153678,0.0015134888583243685,0.002223829770609458,3.1976153543147813e-06,1.4037745915859772,0.0015166864736786832,0.002223829770609458,0.003526833761579595,0.008483305146189704,1.200031511744522e-05,37.657560313272505
