cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr
11,1.9437971810017713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,23.694602433711573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,60.749517817664504,0.45935352984449374,0.0002494145732205093,0.004755864433676432,4.935938007838857e-06,0.46410939427817016,0.00025435051122834815,0.004755864433676432,0.0007107778793498153,0.020206396931654116,1.5489245828371755e-05,87.44059109651644
22,0.5183782899088343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,116.55746568297238,0.858378502950513,0.00025247408940279456,0.010324891631121538,4.352830976546003e-06,0.8687033945816345,0.00025682692037934054,0.010324891631121538,0.0015239125695012466,0.03770577457146977,2.6166375140317946e-05,163.16690340356578
23,0.06769340917428826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,203.53145481443335,1.3177320327950066,0.0005018886626233039,0.01508075606479797,9.28876898438486e-06,1.3328127888598047,0.0005111774316076886,0.01508075606479797,0.002234690448851062,0.05791217150312389,4.16556209686897e-05,250.60749450008223
