folder,case,loading_kg_m3,tbr,tbr_std,u238_gamma,u238_gamma_std,u238_fis,u238_fis_std
dcll_900K_Li90.0_wedgeA_U238_0000.01kgm3_4e3x25,A,0.01,1.3566958393028996,0.003197240696501945,2.048340342404814e-06,7.555171804985458e-09,6.144555181309206e-07,2.0120656678278163e-09
dcll_900K_Li90.0_wedgeA_U238_0000.10kgm3_4e3x25,A,0.1,1.3485334800381257,0.0034445946195519913,2.0354412556101323e-05,1.0250948443683574e-07,6.187226571687828e-06,1.5838358290887715e-08
dcll_900K_Li90.0_wedgeA_U238_0001.00kgm3_4e3x25,A,1.0,1.3488717577717955,0.004073910063694665,0.00020377439769547848,9.141987790716401e-07,6.190100790077181e-05,2.105419391201511e-07
dcll_900K_Li90.0_wedgeA_U238_0010.00kgm3_4e3x25,A,10.0,1.3528154971346698,0.004230691665239938,0.002044008645129977,8.449116595503372e-06,0.0006202301082697155,2.0842704732375674e-06
dcll_900K_Li90.0_wedgeA_U238_0025.00kgm3_4e3x25,A,25.0,1.3497268148702484,0.004014861609602751,0.005115451664244396,2.2914200560854262e-05,0.0015443798657366733,4.481022728555102e-06
dcll_900K_Li90.0_wedgeA_U238_0050.00kgm3_4e3x25,A,50.0,1.3560905553099523,0.004000552378167793,0.010362802004006473,3.9087187900529493e-05,0.003087650212876067,8.1092337718692e-06
dcll_900K_Li90.0_wedgeA_U238_0075.00kgm3_4e3x25,A,75.0,1.3439102618747985,0.004706227304655631,0.015459491897819144,7.176520125021017e-05,0.004617877470279007,1.553790005910198e-05
dcll_900K_Li90.0_wedgeA_U238_0100.00kgm3_4e3x25,A,100.0,1.3411204890437964,0.004209768641727724,0.020667727976983352,8.802750722498382e-05,0.006158429746750114,2.0904969607186917e-05
dcll_900K_Li90.0_wedgeA_U238_0150.00kgm3_4e3x25,A,150.0,1.3321332283276714,0.003542651006707783,0.03118152653307959,0.0001101977841290286,0.009122474310769279,2.982992433496799e-05
dcll_900K_Li90.0_wedgeA_U238_0250.00kgm3_4e3x25,A,250.0,1.3140000560723248,0.0037188862535739295,0.05246612377071004,0.00019361151240718556,0.015001339792687052,4.925561916268688e-05
dcll_900K_Li90.0_wedgeA_U238_0500.00kgm3_4e3x25,A,500.0,1.2853249196206382,0.003876544691059501,0.10990527828774409,0.00040617132661955485,0.029251725873129974,8.727477585039587e-05
dcll_900K_Li90.0_wedgeA_U238_0750.00kgm3_4e3x25,A,750.0,1.2371918385905771,0.004462558511902229,0.17030045892571624,0.0006947472484887515,0.04275349706004199,0.00016568939693906075
dcll_900K_Li90.0_wedgeA_U238_1000.00kgm3_4e3x25,A,1000.0,1.1918952198008779,0.004323251731632959,0.23346019383543642,0.0009143555550572199,0.055554390328585466,0.0001959192326804551
dcll_900K_Li90.0_wedgeC_U238_0000.01kgm3_4e3x25,C,0.01,1.3568784894502404,0.00344541724406512,1.7698934122707657e-06,1.248119905836962e-07,5.282342993042249e-07,7.340073598835167e-08
dcll_900K_Li90.0_wedgeC_U238_0000.10kgm3_4e3x25,C,0.1,1.3505918258992768,0.0030244298141768704,2.442623801182119e-05,4.020958806253027e-06,6.197721833474312e-06,2.482659828064292e-07
dcll_900K_Li90.0_wedgeC_U238_0001.00kgm3_4e3x25,C,1.0,1.3550725441441398,0.003672918633123385,0.000202976463148642,3.4240991536908093e-06,6.297661816389743e-05,8.575061388480375e-07
dcll_900K_Li90.0_wedgeC_U238_0010.00kgm3_4e3x25,C,10.0,1.345294933226782,0.003279829140614297,0.0020289519409913584,1.2739111403180847e-05,0.00061844781808955,3.3844625654090983e-06
dcll_900K_Li90.0_wedgeC_U238_0025.00kgm3_4e3x25,C,25.0,1.3535862112943362,0.004168079828263605,0.005058168806389403,2.4869156296612766e-05,0.0015422058520011851,5.462954372051801e-06
dcll_900K_Li90.0_wedgeC_U238_0050.00kgm3_4e3x25,C,50.0,1.3450199064522967,0.003627660501693123,0.010120275548493445,3.9128997908437994e-05,0.003077510869345646,1.2964457092610127e-05
dcll_900K_Li90.0_wedgeC_U238_0075.00kgm3_4e3x25,C,75.0,1.3416743534047382,0.004152996787676324,0.01526812687295975,6.550646202881404e-05,0.004597361875536703,1.6194303572552852e-05
dcll_900K_Li90.0_wedgeC_U238_0100.00kgm3_4e3x25,C,100.0,1.3440882671094379,0.004113036240132136,0.020521255472498133,8.422513954519819e-05,0.006098614488112603,2.1429767103965863e-05
dcll_900K_Li90.0_wedgeC_U238_0150.00kgm3_4e3x25,C,150.0,1.3296419992704593,0.0038977321533194623,0.030780025281007997,0.00011235595734143241,0.009080796161977458,2.685282172642937e-05
dcll_900K_Li90.0_wedgeC_U238_0250.00kgm3_4e3x25,C,250.0,1.321599815160123,0.004513376841400261,0.052506336035673076,0.00020599590355561162,0.01505329856890265,5.312927555191845e-05
dcll_900K_Li90.0_wedgeC_U238_0500.00kgm3_4e3x25,C,500.0,1.2875109511743914,0.004205226864048056,0.1095085611316212,0.0004220713383794664,0.028981670101314604,9.708116645456636e-05
dcll_900K_Li90.0_wedgeC_U238_0750.00kgm3_4e3x25,C,750.0,1.2432395016398199,0.003995132143963353,0.16961060760865732,0.0005807978790338896,0.04249342124403207,0.00015114091043969886
dcll_900K_Li90.0_wedgeC_U238_1000.00kgm3_4e3x25,C,1000.0,1.1932074339062388,0.004513393045589287,0.2322398658746579,0.0009583092601611257,0.05554624524901062,0.00022510891320020937
