cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,heat_eV_src,heat_eV_src_stdev
11,3.0990374810328625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450062.58601894276,44.22172274984449
21,6.1968605554285645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587654.1031738587,54.34601746364834
12,30.932458184233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490272.88322609593,44.112815779542366
22,6.209956273225334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541221.7205848503,43.07778135573732
31,270.98965692727614,0.8226835117030596,8.105121078298274e-05,0.0017902727023589263,1.7786263276968044e-07,0.8244737844054185,8.122907341575242e-05,0.0,0.0,0.0,0.0,0.0,0.0,9147610.947870873,571.1281551752096
23,27.417944816098416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401393.5237095356,84.5406198895267
32,120.1008706645058,0.43399339073935733,5.77580403431751e-05,0.000179281957943808,7.544030717120059e-08,0.43417267269730114,5.78334806503463e-05,0.0,0.0,0.0,0.0,0.0,0.0,2946902.2565803383,332.91978236313213
24,10.954438779391147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71411.1016601399,41.45802906866347
41,1.731275709996794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24643.678571594708,18.47766869663778
42,12.536301726926443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140642.92636333982,100.44147981689342
25,7.568159863489301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61433.98235824954,31.281959009377463
33,31.334968975807968,0.1289423224222081,3.753414853419273e-05,1.5194298993129297e-05,2.204353658942713e-08,0.12895751672120123,3.7556192070782155e-05,0.0,0.0,0.0,0.0,0.0,0.0,750696.8825750041,209.07644531510041
26,7.362218019188543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42403.824598587584,32.517000241800325
43,0.7243645255977129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9326.325142975866,11.700460150245467
44,7.181240948102828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70873.33616935642,60.790246986499426
total,544.339753450301,1.385619224864625,0.00017634339966035058,0.001984748959295864,2.7534647653030813e-07,1.3876039738239208,0.00017661874613688087,0.0,0.0,0.0,0.0,0.0,0.0,15736550.07860374,1680.0901840618587
