cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,heat_eV_src,heat_eV_src_stdev
11,3.099099629493549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450101.8903495137,43.81427027663401
21,6.1966584229212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587670.9528176897,53.6301728978296
12,30.931009273636004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490269.707290048,41.68850383243457
22,6.209836781194829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541230.438981478,42.712350749933975
31,270.9794840719785,0.822667642065367,9.124253124749438e-05,0.0017902724537273561,1.7946013305558474e-07,0.8244579145190943,9.142199138054996e-05,0.0,0.0,0.0,0.0,0.0,0.0,9147483.841552034,629.4623735656075
23,27.417952902205016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401390.9066733021,85.9752204346198
32,120.10343881753006,0.4340446772742609,5.764019702434301e-05,0.0001792806459165783,7.531557346907232e-08,0.4342239579201775,5.771551259781208e-05,0.0,0.0,0.0,0.0,0.0,0.0,2947130.9233792443,344.3444379896847
24,10.958161199483097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71417.75299348513,47.643077420916285
41,1.7316511840744666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24649.497735264664,22.915840913040295
42,12.537589590266705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140634.59434537307,103.56690297345226
25,7.568269076184138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61425.11790225991,29.958496150784455
33,31.329652886728137,0.12889327432249975,3.687115422163231e-05,1.5194595335727185e-05,2.1831476002165345e-08,0.12890846891783547,3.6892985697634475e-05,0.0,0.0,0.0,0.0,0.0,0.0,750432.0075985508,206.6569769085846
26,7.360537349860412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42392.37498880574,34.08589356471167
43,0.7243817243311743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9313.391748363352,12.997847932219582
44,7.1796944043177815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70801.58254480945,61.97007972029296
total,544.3274173142049,1.3856055936621277,0.00018575388249346972,0.0019847476949796617,2.7660718252682245e-07,1.3875903413571073,0.00018603048967599653,0.0,0.0,0.0,0.0,0.0,0.0,15736344.98090022,1761.422445330746
