fertile_kg/m3,energy low [eV],energy high [eV],energy mid [eV],"U235(n,g)","U235(n,g)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","U235(n,fis)","U235(n,fis)_sd","U238(n,fis)","U238(n,fis)_sd","Th232(n,fis)","Th232(n,fis)_sd","U235(n,nufis)","U235(n,nufis)_sd","U238(n,nufis)","U238(n,nufis)_sd","Th232(n,nufis)","Th232(n,nufis)_sd","Li6(n,t)","Li6(n,t)_sd","Li7(n,t)","Li7(n,t)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U235(n,2n)","U235(n,2n)_sd","U238(n,2n)","U238(n,2n)_sd","Th232(n,2n)","Th232(n,2n)_sd","U235(n,inel)","U235(n,inel)_sd","U238(n,inel)","U238(n,inel)_sd","Th232(n,inel)","Th232(n,inel)_sd","U235(n,el)","U235(n,el)_sd","U238(n,el)","U238(n,el)_sd","Th232(n,el)","Th232(n,el)_sd","Li6(n,el)","Li6(n,el)_sd","Li7(n,el)","Li7(n,el)_sd","Be9(n,el)","Be9(n,el)_sd","Pb(n,el)","Pb(n,el)_sd"
1,836046.8913674038,855503.7865299142,845775.338948659,5.473075856785302e-10,6.702176627003264e-13,7.96840787470758e-08,9.762285160251967e-11,0.0,0.0,5.2633591039297656e-09,6.4481277171154366e-12,4.439566749700323e-09,5.475746949779384e-12,0.0,0.0,1.3230090030533856e-08,1.6208513096396542e-11,1.117511705798093e-08,1.3783774134272982e-11,0.0,0.0,0.0005059633584271404,6.196117098442551e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7838369946655833e-08,3.409314538146088e-11,4.670463830373497e-06,5.720198932765049e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,855503.7865299142,875413.49214274,865458.6393363271,5.030837112119584e-10,7.71295010711393e-13,7.492538724703302e-08,1.1474397991491688e-10,0.0,0.0,4.927822300317795e-09,7.548595695436609e-12,5.523473137547774e-09,8.383648999055087e-12,0.0,0.0,1.2395934704736467e-08,1.8987914974876268e-11,1.391474211584806e-08,2.1119757888753865e-11,0.0,0.0,0.00046621541343454687,7.146777904197692e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5675003323903236e-08,3.935741675115783e-11,4.318384696451723e-06,6.618900273448563e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,875413.49214274,895786.5462337699,885600.019188255,5.070376706044627e-10,8.986210028741706e-13,7.757424708906866e-08,1.3740107037488665e-10,0.0,0.0,5.070335476729764e-09,8.981906178192927e-12,7.440886079961319e-09,1.3128204744906372e-11,0.0,0.0,1.2763880350582569e-08,2.2610358112875867e-11,1.875967915760525e-08,3.309809037457336e-11,0.0,0.0,0.00047136359492347895,8.353344628223692e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5969496829730187e-08,4.602180324525114e-11,4.3807537858032464e-06,7.762817442276713e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,895786.5462337699,916633.7320770797,906210.1391554248,4.783800440301489e-10,7.144457649500144e-13,7.460895294396868e-08,1.1143626404068229e-10,0.0,0.0,4.886531525371651e-09,7.303780419168946e-12,8.587047993844792e-09,1.2890596663868462e-11,0.0,0.0,1.2310923616479022e-08,1.8401471504988137e-11,2.166250157719131e-08,3.252023661999096e-11,0.0,0.0,0.00044593824082539153,6.660345288809809e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4568237178017875e-08,3.6692794551744405e-11,4.15724472081591e-06,6.209605860055371e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,916633.7320770797,937966.0839004021,927299.9079887408,4.663526691805306e-10,8.423108960834488e-13,7.29483253477956e-08,1.3174760747506782e-10,0.0,0.0,4.873114875760905e-09,8.795913351464497e-12,9.436064950823858e-09,1.6990872541026892e-11,0.0,0.0,1.2288481184720388e-08,2.2179982247133036e-11,2.3822206491688133e-08,4.289412974132076e-11,0.0,0.0,0.0004354921427875873,7.865318428410239e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.396863793995667e-08,4.329049424158979e-11,4.066112733518425e-06,7.3433938416382055e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,937966.0839004021,959794.8927254571,948880.4883129296,4.688144906280941e-10,6.96944907532122e-13,7.614794499831582e-08,1.1280948392733306e-10,0.0,0.0,5.032580941216719e-09,7.471825659097105e-12,9.798630002251174e-09,1.4626035999233237e-11,0.0,0.0,1.2702558517540852e-08,1.885868460457935e-11,2.475650888243886e-08,3.695174165835918e-11,0.0,0.0,0.0004386456355991098,6.520279142401783e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.411291831086283e-08,3.5845023585550067e-11,4.109836701189567e-06,6.1088370370034255e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,959794.8927254571,982131.7123441853,970963.3025348212,4.146114509166451e-10,5.899780939387148e-13,6.97566524733644e-08,9.934235236650516e-11,0.0,0.0,4.571589550932933e-09,6.498948395192998e-12,8.4596272564531e-09,1.2019150486738038e-11,0.0,0.0,1.155010191844302e-08,1.6418832588541808e-11,2.1388548548853354e-08,3.038732574194806e-11,0.0,0.0,0.00038963865772338215,5.54294552238936e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1417615542745665e-08,3.046642794300706e-11,3.659645173287465e-06,5.205837188762675e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,982131.7123441853,1004988.3654340616,993560.0388891235,3.9670675633467896e-10,6.554368415742135e-13,6.559950687294457e-08,1.0822533031097638e-10,0.0,0.0,4.436066544456996e-09,7.335198900482637e-12,7.879806448693096e-09,1.304317146722939e-11,0.0,0.0,1.1218637398503393e-08,1.8551974414932144e-11,1.99343555144959e-08,3.2998529086529884e-11,0.0,0.0,0.0003749625151396864,6.198294651368522e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0638772583888382e-08,3.412024226903996e-11,3.5354500566673747e-06,5.8461685756835906e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1004988.3654340616,1028376.9498157481,1016682.6576249049,4.045632158177444e-10,5.222887854659186e-13,6.590576635743186e-08,8.506559873673056e-11,0.0,0.0,4.573871351414982e-09,5.906013834101715e-12,8.864744963055775e-09,1.1375617877499704e-11,0.0,0.0,1.1578257112589752e-08,1.495067740970966e-11,2.244368219656367e-08,2.8801000711384134e-11,0.0,0.0,0.00038520794865741015,4.973683052951739e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1207271925654644e-08,2.7382004772232016e-11,3.6421096798128402e-06,4.702904534200231e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1028376.9498157481,1052309.8448563376,1040343.397336043,3.916880431549918e-10,6.552136290974211e-13,6.296476422180496e-08,1.0532083055600715e-10,0.0,0.0,4.48164037067189e-09,7.498677997985462e-12,9.732246592158586e-09,1.645400820174122e-11,0.0,0.0,1.1355301733763244e-08,1.899990145196144e-11,2.4661456642257814e-08,4.169561805095886e-11,0.0,0.0,0.0003760730635994294,6.29216706842274e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0706162539013213e-08,3.4647647183418043e-11,3.5625832901338297e-06,5.960926692643676e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
