cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","U238(n,fis)","U238(n,fis)_stdev",heat_eV_src,heat_eV_src_stdev
11,3.1010697596154864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450724.2867734699,129.98463113854856
21,6.200697336552597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587587.4547715428,129.87632866804873
12,30.949873306794302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490248.9072874121,113.25084991922111
22,6.213357015365807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541391.3730000638,140.12212662667403
31,271.1306228813625,0.8235624065607526,0.00023880246795602645,0.0011757705540536957,5.521292589689926e-07,5.21926888056524,0.0024509127647831925,0.8217773344180159,0.0002381864916430599,0.0017850721427367044,6.159763129665467e-07,0.0005347374452630234,1.5719925750142718e-07,9264184.103945442,1885.5266333032355
23,27.431820818170976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402154.0330686271,270.0335449055307
32,120.12992552365337,0.43330414510760146,0.0001674048973610092,0.0006868470226195226,5.217047448617042e-07,3.0489275977422112,0.0023158577413868193,0.4331246847211274,0.00016719385001373425,0.00017946038647402243,2.1104734727493068e-07,8.433707977546216e-05,6.400638849909138e-08,2969666.024390983,1058.8410007994394
24,10.959638156739997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71557.87762032777,134.0369201178854
41,1.7307407925962135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24688.93159388288,67.5533183711899
42,12.51322336394604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140691.71177031688,329.4615078086428
25,7.575511299732387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61609.826595770086,54.604392571426494
33,31.364324625434435,0.12880994109357569,0.00011661787880968496,0.00022202496687192278,3.4699128334015505e-07,0.9855732449736394,0.0015403012098923166,0.12879460459741549,0.0001165576587327332,1.5336496160190265e-05,6.022007695176463e-08,9.907654473317294e-06,1.637128549906348e-08,755123.8544037312,606.9036731571312
26,7.358845899027177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42646.661607225265,81.19091211382263
43,0.7238015661203202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9434.208516694658,32.80401585331886
44,7.1804013343566115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71104.4408296441,210.93708446273376
total,544.5638536794683,1.3856764927619298,0.0005228252441267206,0.002084642543545141,1.4208252871708516e-06,9.253769723281092,0.006307071716062328,1.3836966237365589,0.0005219380003895274,0.0019798690253709167,8.87243737193242e-07,0.0006289821795118028,2.3757693149958204e-07,15882813.696175132,5245.126939816849
