cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev","Th232(n,g)","Th232(n,g)_stdev","U235(n,inel)","U235(n,inel)_stdev","U238(n,inel)","U238(n,inel)_stdev","Th232(n,inel)","Th232(n,inel)_stdev","U235(n,el)","U235(n,el)_stdev","U238(n,el)","U238(n,el)_stdev","Th232(n,el)","Th232(n,el)_stdev","Li6(n,el)","Li6(n,el)_stdev","Li7(n,el)","Li7(n,el)_stdev","Be9(n,el)","Be9(n,el)_stdev","Pb(n,el)","Pb(n,el)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","Pb(n,2n)","Pb(n,2n)_stdev","tot(n,fis)","tot(n,fis)_stdev","tot(n,nufis)","tot(n,nufis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.095716722818105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.735116989810262,0.0028329764986731103,0.0,0.0
21,6.190408389134075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38883896961091,0.002520730876388569,0.0,0.0
12,30.902761191071622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.844530589166297,0.0022838644008566006,0.0,0.0
22,6.203823428708019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.753909370839764,0.002629688382080339,0.0,0.0
31,269.72629535905645,0.8202852679942343,5.990191800614278e-05,0.01175152313726268,1.2287504139204635e-06,0.0,0.0,0.0003596091271011139,1.0352555513079405e-08,0.06710003219895094,3.265859840736221e-06,0.0,0.0,0.0028808172489813567,2.1879273457379106e-07,0.4668657473557716,3.5681658786716476e-05,0.0,0.0,1.6055967340138464,0.00010470382038495069,0.1685065986639637,1.0756882253781054e-05,0.0,0.0,0.0,0.0,52.175586613194774,0.005455528861975215,0.0,0.0,0.8185319739564539,5.97427401038169e-05,0.0017532940377803635,1.591779023258768e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.7970477760041,0.03020881167308761,63.20073770109739,0.004594525135618764
23,27.049729422534032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.58895983633812,0.003797036707822177,0.0,0.0
32,116.73559900770726,0.4210253788189025,4.260999466666672e-05,0.006624269612954168,1.0664980293192232e-06,0.0,0.0,0.00012701379655713594,5.660318591826766e-09,0.0232319986796967,1.591819996042619e-06,0.0,0.0,0.0013986392225807589,1.2592598595726905e-07,0.23087437433993258,2.149425050210876e-05,0.0,0.0,0.6795580096147886,5.600162587865316e-05,0.07129591438819313,5.538198399679934e-06,0.0,0.0,0.0,0.0,29.41109411118872,0.004735144512893184,0.0,0.0,0.42085061076170205,4.2518369054397985e-05,0.00017476805720045098,9.162561226873115e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.5303006768623,0.020433583882815628,12.1419253362249,0.002415551901377293
24,9.735157836401013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6990331160596464,0.0024246320647858554,0.0,0.0
41,1.592409292478307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.92819492116911,0.0020630615139744348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142853918019871,2.9581165482942345e-05,0.00584014786828063,4.0295181433663906e-07,0.019959353946948838,1.3163860149862897e-06,1.2913237627634466,0.0012138066248121204,0.0,0.0
42,13.058991398201922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8245848254342,0.0011558196480437831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04492029536625014,1.4423234490124708e-05,0.0011076500026087318,2.1014050010867164e-07,0.0032720756299286988,6.894801322304066e-07,8.191217505068437,0.005862951011302827,0.0,0.0
