cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev","Th232(n,g)","Th232(n,g)_stdev","U235(n,inel)","U235(n,inel)_stdev","U238(n,inel)","U238(n,inel)_stdev","Th232(n,inel)","Th232(n,inel)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","Pb(n,2n)","Pb(n,2n)_stdev","tot(n,fis)","tot(n,fis)_stdev","tot(n,nufis)","tot(n,nufis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,1.9554654298622822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.458532732784956,0.004641038311549733,0.0,0.0
21,23.864416085009864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.06688769430735,0.013398230258577979,0.0,0.0
31,62.13291992295763,0.4597017555804131,9.743637859162393e-05,0.0,0.0,0.02182720380030033,6.360760375797328e-06,0.0,0.0,0.0,0.0,0.014853865258652978,1.5239975273561741e-06,0.0,0.0,94.47315027385378,0.027530831541070198,0.455173946186056,9.588844580993321e-05,0.0045278093943571,1.5479327816907143e-06,0.15485400478851183,4.5170657861844606e-05,0.0,0.0,0.0,0.0,0.0,0.0,276.07173693728964,0.0477894111541257,7.560773351295561,0.0022524698214089157
22,0.5459122278910352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6624295485915472,0.0033326379320103255,0.0,0.0
32,119.43496658664702,0.8625989890666469,0.0001304573635978446,0.0,0.0,0.04081073023283219,1.287139524574988e-05,0.0,0.0,0.0,0.0,0.029728401842220673,2.073867599129884e-06,0.0,0.0,176.638211900464,0.05571035430883566,0.8527528458471088,0.0001285776553116502,0.009846143219538145,1.8797082861943794e-06,0.3349976036196684,6.566346223553729e-05,0.0,0.0,0.0007393178463096526,2.211763954622279e-07,0.0024680368646137034,7.623629431301348e-07,552.2605442308582,0.07401067845961438,16.23421789761729,0.00276612197878208
23,0.07356032272707165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015881486414725053,2.705855289868196e-07,0.005319436613971643,9.111273639672554e-07,0.362998000652661,0.0007379624925559655,0.0,0.0
total,208.0072405750949,1.32230074464706,0.00022789374218946853,0.0,0.0,0.06263793403313252,1.923215562154721e-05,0.0,0.0,0.0,0.0,0.04458226710087365,3.5978651264860582e-06,0.0,0.0,271.1113621743178,0.08324118584990586,1.3079267920331648,0.00022446610112158343,0.014373952613895244,3.4276410678850935e-06,0.4898516084081802,0.0001108341200973819,0.0,0.0,0.002327466487782158,4.917619244490475e-07,0.007787473478585346,1.6734903070973902e-06,1039.8831291444842,0.14390995860843409,23.79499124891285,0.005018591800190996
