cell,flux,tbr,tbr_stdev,"Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Th232(n,fis)","Th232(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.0729401639847516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.352019823067312,0.2640426823672462,0.0,0.0
21,6.1334858620326385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.96718245131856,0.2701510071534617,0.0,0.0
12,30.588898293247194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.48848603661659,0.25159808730536276,0.0,0.0
22,6.137291316832475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.724260708193583,0.26834250115873226,0.0,0.0
31,269.6692038334524,0.8163885658105436,0.006745725702058566,0.0,0.0,0.0,0.0,0.814580205904757,0.006725788683111069,0.0018083599057867018,1.9937018947496498e-05,0.0,0.0,519.7030272668524,2.7684132393604335,0.0,0.0
23,27.50104630211635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.063707862613267,0.6271847383230672,0.0,0.0
32,118.979229184991,0.42715570828724825,0.005108837968116548,0.0,0.0,0.0,0.0,0.4269625301083408,0.005100978474011351,0.0001931781789074693,7.859494105197064e-06,0.0,0.0,167.27303809981166,1.9658592550403027,0.0,0.0
24,9.786194278167352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5784182587902267,0.10981080969897213,0.0,0.0
41,1.586992233534032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4723447888497363,0.10440680175424279,0.0,0.0
42,13.01690770615692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.453668053360644,0.6427377656356825,0.0,0.0
25,7.450715487665833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.575073669545394,0.18421933860556952,0.0,0.0
33,30.904327864556294,0.1267996827069301,0.003356316967640453,0.0,0.0,0.0,0.0,0.12678397842364386,0.003354056010956383,1.57042832862265e-05,2.2609566840697947e-06,0.0,0.0,42.20170060360655,1.0126934038687305,0.0,0.0
26,6.741018087324301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0802410309363855,0.11241678392802756,0.0,0.0
43,1.0657981642365806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8714410217161621,0.15529581783691984,0.0,0.0
44,8.068376937832703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5564559344319004,0.3553500826450812,0.0,0.0
total,540.7024257161307,1.3703439568047222,0.015210880637815567,0.0,0.0,0.0,0.0,1.3683267144367415,0.015180823168078804,0.0020172423679803977,3.0057469736763356e-05,0.0,0.0,894.3610656097103,9.092522314681835,0.0,0.0
