Th-232(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0875000 3.83224
0.0906250 3.76016
0.0937500 3.69163
0.0968750 3.62638
0.100000 3.56414
0.103125 3.50469
0.106250 3.44782
0.109375 3.39335
0.112500 3.34111
0.115625 3.29095
0.118750 3.24273
0.121875 3.19633
0.125000 3.15164
0.128125 3.10855
0.131250 3.06697
0.134375 3.02681
0.137500 2.98801
0.140625 2.95049
0.143750 2.91419
0.150000 2.84488
0.156250 2.77959
0.162500 2.71796
0.168750 2.65969
0.175000 2.60446
0.181250 2.55203
0.187500 2.50216
0.193750 2.45464
0.200000 2.40927
0.204688 2.37658
0.209375 2.34497
0.214063 2.31440
0.218750 2.28481
0.228125 2.22826
0.237500 2.17491
0.246875 2.12451
0.256250 2.07680
0.265625 2.03155
0.275000 1.98855
0.284375 1.94763
0.293750 1.90860
0.303125 1.87134
0.312500 1.83571
0.321875 1.80160
0.331250 1.76889
0.340625 1.73749
0.350000 1.70732
0.359375 1.67830
0.368750 1.65036
0.378125 1.62342
0.387500 1.59744
0.396875 1.57235
0.406250 1.54811
0.415625 1.52467
0.425000 1.50198
0.434375 1.48001
0.443750 1.45872
0.453125 1.43809
0.462500 1.41811
0.500000 1.34371
0.531250 1.28765
0.562500 1.23610
0.593750 1.18861
0.625000 1.14468
0.656250 1.10390
0.687500 1.06590
0.718750 1.03041
0.750000 0.997163
0.812500 0.936557
0.875000 0.882770
0.937500 0.834573
1.00000 0.790996
1.06250 0.751483
1.12500 0.715477
1.18750 0.682525
1.25000 0.652249
1.31250 0.624335
1.37500 0.598516
1.43750 0.574567
1.50000 0.552292
1.56250 0.531526
1.62500 0.512122
1.68750 0.493954
1.75000 0.476911
1.81250 0.460893
1.87500 0.445868
2.00000 0.418252
2.09375 0.399440
2.18750 0.382119
2.28125 0.366106
2.37500 0.351266
2.46875 0.337482
2.56250 0.324651
2.65625 0.312683
2.75000 0.301501
2.84375 0.291034
2.93750 0.281221
3.03125 0.272007
3.12500 0.263369
3.31250 0.247542
3.50000 0.233412
3.68750 0.220766
3.87500 0.209401
4.06250 0.199149
4.25000 0.189872
4.43750 0.181451
4.62500 0.173785
4.81250 0.166791
5.00000 0.160398
5.28757 0.151641
5.57513 0.143914
5.86269 0.137110
6.15026 0.131133
6.43782 0.125823
6.72539 0.121159
7.01295 0.117066
7.30051 0.113513
7.50965 0.111334
7.71879 0.109631
7.82336 0.109115
7.91486 0.109045
7.96060 0.109241
8.00635 0.109729
8.05210 0.110698
8.07498 0.111478
8.09785 0.112568
8.12073 0.114119
8.13216 0.115144
8.14360 0.116403
8.15504 0.117977
8.16647 0.119990
8.17791 0.122646
8.18363 0.124315
8.18935 0.126288
8.19425 0.128282
8.19915 0.130622
8.20405 0.133390
8.20896 0.136682
8.21386 0.140621
8.21876 0.145349
8.22366 0.151041
8.22856 0.157898
8.23101 0.161837
8.23346 0.166158
8.23591 0.170895
8.23837 0.176084
8.24082 0.181763
8.24327 0.187970
8.24572 0.194747
8.24817 0.202131
8.25062 0.210171
8.25307 0.218905
8.25552 0.228375
8.25797 0.238620
8.26042 0.249686
8.26287 0.261607
8.26532 0.274419
8.26777 0.288148
8.26982 0.300321
8.27186 0.313162
8.27390 0.326692
8.27594 0.340907
8.28003 0.371430
8.28411 0.404709
8.28820 0.440675
8.29228 0.479159
8.29637 0.519911
8.30045 0.562585
8.30944 0.661051
8.31843 0.760669
8.32455 0.825444
8.32762 0.855921
8.33068 0.884674
8.33517 0.923085
8.33967 0.956173
8.34408 0.982661
8.34849 1.00252
8.35097 1.01057
8.35344 1.01630
8.35592 1.01967
8.35840 1.02063
8.36088 1.01919
8.36336 1.01536
8.36584 1.00918
8.36831 1.00069
8.37264 0.980565
8.37697 0.954153
8.38134 0.921692
8.38572 0.884258
8.39169 0.826787
8.39765 0.764069
8.41516 0.571761
8.41913 0.530026
8.42311 0.490020
8.42709 0.452068
8.43107 0.416413
8.43505 0.383227
8.43902 0.352606
8.44300 0.324585
8.44499 0.311545
8.44698 0.299142
8.44897 0.287362
8.45096 0.276204
8.45295 0.265647
8.45494 0.255675
8.45693 0.246271
8.45891 0.237415
8.46090 0.229088
8.46289 0.221268
8.46488 0.213934
8.46687 0.207065
8.47085 0.194633
8.47483 0.183795
8.47880 0.174381
8.48278 0.166227
8.48676 0.159180
8.49074 0.153096
8.49472 0.147849
8.49869 0.143321
8.50267 0.139409
8.50665 0.136025
8.51063 0.133088
8.51481 0.130412
8.51898 0.128089
8.52734 0.124283
8.53569 0.121321
8.54404 0.118960
8.55240 0.117036
8.56075 0.115434
8.57746 0.112913
8.59417 0.111008
8.61087 0.109511
8.64429 0.107304
8.67771 0.105751
8.71112 0.104591
8.77795 0.102954
8.87979 0.101331
8.98163 0.100208
9.23622 0.0983069
9.49081 0.0969851
10.0000 0.0952375
10.3883 0.0944865
10.7766 0.0941860
11.2135 0.0943814
11.6503 0.0951684
12.0872 0.0965778
12.3056 0.0976566
12.5240 0.0991791
12.6302 0.100271
12.6833 0.101002
12.7364 0.101946
12.7895 0.103285
