cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr
11,1.936238929027572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,23.60245974910244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,60.870416823315864,0.4718963344641323,0.00026957089576198223,0.004896074851443319,4.027567538693877e-06,0.47679240931557565,0.0002735984633006761,0.004896074851443319,0.0002741596674203417,0.00854581791125513,1.1458941631163785e-05,36.98093094433611
22,0.5323800670229574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,117.14000221591292,0.8847475668794113,0.0002666190449713048,0.010643649381686876,4.979676318556589e-06,0.8953912162610981,0.0002715987212898614,0.010643649381686876,0.0005886915056061229,0.01597867224132602,1.3298380158612093e-05,69.14565473720364
23,0.07110934615806395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,204.15260713053982,1.3566439013435436,0.000536189940733287,0.015539724233130195,9.007243857250467e-06,1.3721836255766737,0.0005451971845905375,0.015539724233130195,0.0008628511730264646,0.024524490152581152,2.4757321789775877e-05,106.12658568153975
