x_position(cm),flux_mean,flux_std
-1.866260000000000141e-01,2.607882712392383534e-03,1.319336642411109931e-05
-1.858779999999999877e-01,2.604777180652735353e-03,1.278570015068918767e-05
-1.851300000000000168e-01,2.602782401053978754e-03,1.236113998505824601e-05
-1.843819999999999903e-01,2.604330868230734890e-03,1.206141127651090664e-05
-1.836340000000000194e-01,2.598441584760963555e-03,1.248000904140804968e-05
-1.828859999999999930e-01,2.590160030729167246e-03,1.176710548110020764e-05
-1.821380000000000221e-01,2.594639190932186874e-03,1.164963274051613359e-05
-1.813899999999999957e-01,2.598970558490991227e-03,8.637732841131466632e-06
-1.806420000000000248e-01,2.594173248817338660e-03,9.378934418839961302e-06
-1.798939999999999984e-01,2.582373552454776157e-03,1.145085438952814829e-05
-1.791459999999999997e-01,2.589346389828635700e-03,9.423549879228416680e-06
-1.783980000000000010e-01,2.594788820988326149e-03,1.261902798940664400e-05
-1.776499999999999746e-01,2.591835253663585595e-03,1.129278630497154084e-05
-1.769020000000000037e-01,2.599533137549336296e-03,7.428872026442080147e-06
-1.761539999999999773e-01,2.595113832911890520e-03,1.106983046125332187e-05
-1.754060000000000064e-01,2.602060546692967595e-03,1.174486851736627825e-05
-1.746579999999999799e-01,2.600279165743870063e-03,1.177708386959484340e-05
-1.739100000000000090e-01,2.598513746724498853e-03,1.303209110155852753e-05
-1.731619999999999826e-01,2.598472804774343628e-03,1.066856733653587784e-05
-1.724140000000000117e-01,2.599920904532236794e-03,1.078397094801488710e-05
-1.716659999999999853e-01,2.599978199843902896e-03,1.323676735458429519e-05
-1.709180000000000144e-01,2.599769917137325324e-03,9.338636472228006020e-06
-1.701699999999999879e-01,2.608601110517176028e-03,7.952142031162167169e-06
-1.694220000000000170e-01,2.614360558212653653e-03,1.138373194057148909e-05
-1.686739999999999906e-01,2.617236770187282222e-03,1.389727657377563691e-05
-1.679260000000000197e-01,2.609197677799361507e-03,1.445587484081025917e-05
-1.671779999999999933e-01,2.607796107480307105e-03,1.600724913958203983e-05
-1.664300000000000224e-01,2.609140053301573035e-03,1.114172036274175474e-05
-1.656819999999999959e-01,2.614212025665575007e-03,1.257381391793626129e-05
-1.649340000000000250e-01,2.615017588593879228e-03,1.576373343211414922e-05
-1.641859999999999986e-01,2.613394501717111219e-03,1.526839009316436480e-05
-1.634379999999999999e-01,2.611485374431403179e-03,1.351414825510379896e-05
-1.626900000000000013e-01,2.615673277768308571e-03,1.544292343508615466e-05
-1.619420000000000026e-01,2.620798845987026664e-03,1.553363331711845954e-05
-1.611940000000000039e-01,2.618669122800878525e-03,1.402143112741115071e-05
-1.604459999999999775e-01,2.629050316639784234e-03,1.513754175777963292e-05
-1.596980000000000066e-01,2.622170196759447333e-03,1.440846760665609542e-05
-1.589499999999999802e-01,2.613431473564954872e-03,1.166900347310810406e-05
-1.582020000000000093e-01,2.601187781267908037e-03,1.214931026069885325e-05
-1.574539999999999829e-01,2.600839677754423519e-03,1.069885670226899397e-05
-1.567060000000000120e-01,2.595980139473198951e-03,1.115128135584698688e-05
-1.559579999999999855e-01,2.591672032435133732e-03,1.124475590098707546e-05
-1.552100000000000146e-01,2.602816181896487873e-03,1.248115339207810189e-05
-1.544619999999999882e-01,2.590931893531510377e-03,9.394603742897420434e-06
-1.537140000000000173e-01,2.590373381523682420e-03,8.189279210677923097e-06
-1.529659999999999909e-01,2.596118903637722498e-03,7.627865936985636706e-06
-1.522180000000000200e-01,2.591302418805508691e-03,8.946958961508946260e-06
