cell,flux,tbr,tbr_stdev,"Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","Th232(n,fis)","Th232(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,1.9422929270481106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.483429116631683,0.009926214558121232,0.0,0.0
21,23.703695143953787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.3014442090524,0.021191890899442872,0.0,0.0
31,61.42974900161636,0.48755052432460344,0.00019896241179338534,0.0,0.0,0.0,0.0,0.4827027006087107,0.0001962866616776762,0.004847823715892785,2.675750115709155e-06,0.16572022879758352,8.521907108503133e-05,0.0,0.0,271.0191635054878,0.08108846687887869,0.0,0.0
22,0.5407913079670461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7111676344750504,0.007192939501502005,0.0,0.0
32,118.37418059647507,0.9168201893643493,0.0006114808159278297,0.0,0.0,0.0,0.0,0.9062704832440429,0.0006069286461245012,0.010549706120306365,4.552169803328561e-06,0.35888297826498994,0.0001739685405342379,0.0,0.0,541.6508976134395,0.27040704380837327,0.0,0.0
23,0.0732185239375754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37036356125904335,0.001296970202680467,0.0,0.0
total,206.06392750099795,1.4043707136889527,0.000810443227721215,0.0,0.0,0.0,0.0,1.3889731838527535,0.0008032153078021773,0.01539752983619915,7.227919919037716e-06,0.5246032070625735,0.00025918761161926925,0.0,0.0,1024.5364656403453,0.39110352584899855,0.0,0.0
