cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr
11,3.1017333990280544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.202473861726807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.967467531450893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.214270928441152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,270.9888876022649,0.8225726033046235,0.0006150599341661975,0.0017880312767267138,1.39310804726405e-06,0.8243606345813501,0.0006164530422134616,0.0017880312767267138,7.406078474176928e-06,7.645428816430768e-05,7.354651447772261e-08,0.3308461261828338
23,27.39758752604454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,120.04988652313868,0.4339031012478457,0.0004136566208927544,0.00017930747623832896,4.0371914077658804e-07,0.43408240872408405,0.000414060340033531,0.00017930747623832896,1.070096187986519e-06,4.390561021857663e-05,6.354003291731569e-08,0.18999589698999927
24,10.95031626114696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.729215158247964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.491275627344448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.561057254840844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.238532248250447,0.12851942596878607,0.00020944322146964047,1.5374077325891142e-05,1.2832597433572507e-07,0.12853480004611195,0.0002095715474439762,1.5374077325891142e-05,1.1930283632656954e-07,1.39048508856626e-05,4.982145893341835e-08,0.06017145880404752
26,7.341848145880604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.7239664968410882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.195057901317187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,544.1535764659645,1.3849951305212553,0.0012381597765285923,0.001982712830290934,1.925153162376363e-06,1.386977843351546,0.0012400849296909688,0.001982712830290934,8.595477498490016e-06,0.0001342647492685469,1.8690800632845666e-07,0.5810134819768806
