cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr
11,3.196994068452166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.394345730949592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,31.94008283086664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.418830924621109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,272.4293344994855,0.903671202302621,0.0002851559634798118,0.0017375039022684586,6.613477643930851e-07,0.9054087062048894,0.0002858173112442049,0.0017375039022684586,0.010034818102233055,0.018287067975033888,6.68289644123389e-06,81.17665854941687
23,26.502223696765025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,108.10280144022158,0.40435718653151004,0.00020239327239964747,0.0001442992883453319,1.1091471460759118e-07,0.40450148581985534,0.00020250418711425508,0.0001442992883453319,0.001449552974486467,0.008689082996912168,6.227663035774848e-06,38.57101228643385
24,5.7027334497050175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,6.709404790001626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,23.7239642494857,0.09509649744964102,7.161141175401587e-05,1.0288959241241818e-05,5.242303112869913e-08,0.09510678640888226,7.166383478514457e-05,1.0288959241241818e-05,0.00015446776035684388,0.002125132967048165,1.9651224293661986e-06,9.433507518739258
26,2.587947739766474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,493.7086634203204,1.4031248862837722,0.0005591606476334751,0.0018920921498550322,8.246855101293755e-07,1.4050169784336273,0.0005599853331436045,0.0018920921498550322,0.011638838837076365,0.02910128393899422,1.4875681906374936e-05,129.18117835458997
