folder,case,loading_kg_m3,tbr,tbr_std,u238_gamma,u238_gamma_std,u238_fis,u238_fis_std
hcpb_Li60.0_wedgeA_U238_000.10kgm3_4e6x25,A,0.1,1.3891095589010394,0.00010249431446054423,3.4601339198647804e-05,1.2288373236837546e-08,3.182378366732028e-06,4.115988628740238e-10
hcpb_Li60.0_wedgeA_U238_000.50kgm3_4e6x25,A,0.5,1.3890767301008333,0.00015270749575036621,0.00017267075850168083,7.373040511422799e-08,1.6000871976086476e-05,1.807703546006686e-09
hcpb_Li60.0_wedgeA_U238_001.00kgm3_4e6x25,A,1.0,1.3889139640202905,0.00018201886596701244,0.00034444202449192745,1.0270185934089285e-07,3.2035093398018365e-05,3.630132671290423e-09
hcpb_Li60.0_wedgeA_U238_010.00kgm3_4e5x25,A,10.0,1.3860756701450798,0.00038958612319318583,0.0033305446702772234,3.1023196230951257e-06,0.00032041283539142775,1.0308980014147584e-07
hcpb_Li60.0_wedgeA_U238_025.00kgm3_8e4x25,A,25.0,1.3794718668990404,0.000886091661857925,0.007900710813622496,2.1579374269995863e-05,0.0007983285209079284,6.438082845959248e-07
hcpb_Li60.0_wedgeA_U238_050.00kgm3_8e4x25,A,50.0,1.372319005593782,0.0009813589223759056,0.014809969003568488,3.561938460824182e-05,0.001586399062195691,6.987204948316446e-07
hcpb_Li60.0_wedgeA_U238_075.00kgm3_8e4x25,A,75.0,1.3652125452841486,0.0009368912078491029,0.02106013070273901,3.0830038687911484e-05,0.002369463337435799,2.0409182758839336e-06
hcpb_Li60.0_wedgeA_U238_100.00kgm3_8e4x25,A,100.0,1.359965586939214,0.0008226971377888909,0.026760075529241752,6.13011383304099e-05,0.003141086251460697,3.2751352693327655e-06
hcpb_Li60.0_wedgeA_U238_150.00kgm3_8e3x25,A,150.0,1.3471169036955362,0.003419247300707069,0.036782709718710026,0.00019748958015157928,0.004644571684682078,9.646621756429986e-06
hcpb_Li60.0_wedgeA_U238_250.00kgm3_8e3x25,A,250.0,1.330170410924696,0.002670133330103236,0.05630975010440074,0.0002516878277819589,0.007561046220264942,1.5708156541331465e-05
hcpb_Li60.0_wedgeA_U238_500.00kgm3_8e3x25,A,500.0,1.2881810524951078,0.002828176155673893,0.09438436510479369,0.00037802904257795635,0.01441507047264048,3.928013841560616e-05
hcpb_Li60.0_wedgeA_U238_750.00kgm3_8e3x25,A,750.0,1.2499921452980485,0.002363200171597789,0.12681392305883554,0.0003711756057661992,0.020534104630709562,5.1678598638391166e-05
hcpb_Li60.0_wedgeA_U238_999.99kgm3_8e3x25,A,999.99,1.2159170927577252,0.0031109769949112494,0.15510900896549867,0.0005785179706708553,0.026037643908025754,7.167624075589178e-05
hcpb_Li60.0_wedgeC_U238_000.10kgm3_4e6x25,C,0.1,1.389335893704497,0.00011377551521665311,2.3188386654290005e-05,2.571321334571906e-07,3.4389546303583606e-06,7.275492479535297e-09
hcpb_Li60.0_wedgeC_U238_000.50kgm3_4e6x25,C,0.5,1.389167056373286,0.00016878154642812742,0.00011637911347118602,4.96858269025636e-07,1.7406241259005872e-05,1.656002734235787e-08
hcpb_Li60.0_wedgeC_U238_001.00kgm3_4e6x25,C,1.0,1.3888589124812294,0.000154337152453701,0.00023166537995217244,6.923288619497991e-07,3.490594580377367e-05,3.012855277827826e-08
hcpb_Li60.0_wedgeC_U238_010.00kgm3_4e5x25,C,10.0,1.3868055893142222,0.0004094432760791485,0.002327494908502391,7.357681045754696e-06,0.0003517535566839564,3.2416303192665663e-07
hcpb_Li60.0_wedgeC_U238_025.00kgm3_8e4x25,C,25.0,1.3820193582140428,0.001178985433650873,0.005786868335233659,2.2153397083295755e-05,0.000874677690002683,1.0312583648073555e-06
hcpb_Li60.0_wedgeC_U238_050.00kgm3_8e4x25,C,50.0,1.3754575654543542,0.000719293292538245,0.0113579722861102,3.9960656049596535e-05,0.0017451813935783808,2.1527059282461893e-06
hcpb_Li60.0_wedgeC_U238_075.00kgm3_8e4x25,C,75.0,1.3704038454569711,0.001104376363364591,0.01672431308405702,4.677331227554191e-05,0.002603555189914609,1.6983656138381783e-06
hcpb_Li60.0_wedgeC_U238_100.00kgm3_8e4x25,C,100.0,1.3649754350071854,0.0010934621564654403,0.022149757308928427,5.1020148947823845e-05,0.003446694442300345,3.2445791725811303e-06
hcpb_Li60.0_wedgeC_U238_150.00kgm3_8e3x25,C,150.0,1.3504410190458886,0.0036209913911154955,0.032103137598192326,0.0002088313336466517,0.005110280852136133,1.212321304749806e-05
hcpb_Li60.0_wedgeC_U238_250.00kgm3_8e3x25,C,250.0,1.3309639224463945,0.0026466416072152407,0.05111473473602544,0.0002883383451414629,0.00835585662196517,2.396674275913429e-05
hcpb_Li60.0_wedgeC_U238_500.00kgm3_8e3x25,C,500.0,1.290150758221216,0.0036382982434454403,0.0914452226195054,0.0004490682844795402,0.01576325751582393,4.655683661597361e-05
hcpb_Li60.0_wedgeC_U238_750.00kgm3_8e3x25,C,750.0,1.2537253487050246,0.0035797440463882753,0.12725844081883056,0.00039277512684765303,0.0223393057358535,5.782669667015828e-05
hcpb_Li60.0_wedgeC_U238_999.99kgm3_8e3x25,C,999.99,1.2163442531022495,0.0031842423880561843,0.15758386875971497,0.0005870005177919173,0.028423944908042946,6.804583163309297e-05
