cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev
11,3.0952013734625474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.1891375668863455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.89238730920428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.201727966933168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,270.755235100192,0.8188744226565552,8.302329148683186e-05,0.0017821008062543996,1.79525180308769e-07,0.8206565234628096,8.320281666714063e-05,0.0002215016537202474,1.882109289867492e-08,0.00229291657340473,2.988787799399704e-07,9.922302387291367,0.0012933595866968502
23,27.40636101219314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,119.98811248055874,0.4317730661973998,5.891598275851328e-05,0.0001795894597190377,7.90930057649389e-08,0.4319526556571188,5.899507576427822e-05,3.211848329976596e-05,9.903716863563384e-09,0.0013127133955684006,2.6481406809972573e-07,5.680598853771986,0.0011459489152684699
24,10.938511226042987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.7275918129621917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.47621018511831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.527574364680061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,30.72805530670679,0.12457535859803218,3.9016772866415635e-05,1.5308929620055684e-05,2.1388496262343688e-08,0.12459066752765223,3.903816136267798e-05,3.5656962259811163e-06,2.762031689958882e-09,0.000401880651980494,1.732196619337736e-07,1.7390869771729833,0.0007495858702696486
26,6.709871872106682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.0828253924380125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.914620428501531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,543.6334233979868,1.3752228474519872,0.00018095604711176075,0.001976999195593493,2.800066823360516e-07,1.3771998466475806,0.00018123605379409682,0.0002571858332459945,3.148684145219719e-08,0.004007510620953624,7.369125099734697e-07,17.341988218236338,0.003188894372234969
