folder,case,loading_kg_m3,tbr,tbr_std,u238_gamma,u238_gamma_std,u238_fis,u238_fis_std
dcll_Li90.0_wedgeA_U238_000.10kgm3_4e6x25,A,0.1,1.353490355411828,9.655317490156721e-05,2.0290990203204263e-05,2.2474317486022266e-09,6.137705934190136e-06,6.501185345975453e-10
dcll_Li90.0_wedgeA_U238_000.50kgm3_4e6x25,A,0.5,1.333283102585302,0.00011155132408639874,9.97753046930638e-05,1.1276245175033616e-08,3.198292244862544e-05,2.6566200546188404e-09
dcll_Li90.0_wedgeA_U238_001.00kgm3_4e6x25,A,1.0,1.3327302748802055,0.00012633176524829985,0.00019944496071793103,4.151036776108286e-08,6.395323473134752e-05,4.17505626462575e-09
dcll_Li90.0_wedgeA_U238_010.00kgm3_4e5x25,A,10.0,1.33005922862899,0.000403859775717181,0.0019882830224247404,8.840255973550382e-07,0.0006377025863590559,1.7008235462208055e-07
dcll_Li90.0_wedgeA_U238_025.00kgm3_8e4x25,A,25.0,1.3280313268428525,0.0009335106537681099,0.004961891855798241,4.730582749408806e-06,0.0015853696245317584,8.230588370145019e-07
dcll_Li90.0_wedgeA_U238_050.00kgm3_8e4x25,A,50.0,1.3263580595663285,0.0006963945566431159,0.009910822141849676,7.779999337392748e-06,0.003147702448758526,1.7047132545189931e-06
dcll_Li90.0_wedgeA_U238_075.00kgm3_8e4x25,A,75.0,1.3241746057403194,0.0007538526054433899,0.014852325171312393,1.0926773969422196e-05,0.004682141287773085,2.9980531833076015e-06
dcll_Li90.0_wedgeA_U238_100.00kgm3_8e4x25,A,100.0,1.320166973291679,0.0008119801121800112,0.019731630447550618,1.6356103473517038e-05,0.006189915445329616,4.049071718138767e-06
dcll_Li90.0_wedgeA_U238_150.00kgm3_8e3x25,A,150.0,1.3167958235947852,0.0029975536579085658,0.02957760751535532,9.61152598370087e-05,0.009120674722192738,1.7153160423373624e-05
dcll_Li90.0_wedgeA_U238_250.00kgm3_8e3x25,A,250.0,1.3044437019138795,0.0018132333400680595,0.049063116103833675,0.00011030869096124357,0.014729958741156264,2.836345539439668e-05
dcll_Li90.0_wedgeA_U238_500.00kgm3_8e3x25,A,500.0,1.272662924071244,0.002716625295184117,0.09630777204884008,0.00029970899011049504,0.027456267527901992,5.994855399557186e-05
dcll_Li90.0_wedgeA_U238_750.00kgm3_8e3x25,A,750.0,1.2423089205787596,0.0023272403104410994,0.1417172895256176,0.0003439486733733569,0.038497051854447066,6.848269446416087e-05
dcll_Li90.0_wedgeA_U238_999.99kgm3_4e4x25,A,999.99,1.2257628483481668,0.0012327349655357367,0.18763840375172772,0.00024256100773273765,0.04642247404750683,4.32521322929446e-05
dcll_Li90.0_wedgeC_U238_000.10kgm3_4e6x25,C,0.1,1.353466656993835,0.00011033718593569905,2.057621966303177e-05,3.5531142886299206e-08,6.3252030232185045e-06,9.62227659832198e-09
dcll_Li90.0_wedgeC_U238_000.50kgm3_4e6x25,C,0.5,1.3335516984153504,9.857145231672652e-05,0.00010358084463641713,6.139631752354667e-08,3.4767174950012865e-05,1.187517566803306e-07
dcll_Li90.0_wedgeC_U238_001.00kgm3_4e6x25,C,1.0,1.3328097681710636,0.00011031815704469199,0.00020769359643265015,8.969239025520538e-08,6.91864098190587e-05,1.5688061721789073e-07
dcll_Li90.0_wedgeC_U238_010.00kgm3_4e5x25,C,10.0,1.3300673567643373,0.0004346250663163505,0.0020882330769847676,1.5267636606574943e-06,0.0006842465969076586,1.263568668594948e-06
dcll_Li90.0_wedgeC_U238_025.00kgm3_8e4x25,C,25.0,1.3287963876510935,0.0010451282524601216,0.005226702843901275,5.8392478108713355e-06,0.0017016842312575435,4.5751138691945955e-06
dcll_Li90.0_wedgeC_U238_050.00kgm3_8e4x25,C,50.0,1.3259381685022245,0.0009750215931173487,0.010445732439982487,1.096658176320215e-05,0.003369066658367545,7.063622787624649e-06
dcll_Li90.0_wedgeC_U238_075.00kgm3_8e4x25,C,75.0,1.3217627299053971,0.0009129852682273457,0.01567337305912976,1.435282447814443e-05,0.005010296537942961,7.418742860544887e-06
dcll_Li90.0_wedgeC_U238_100.00kgm3_8e4x25,C,100.0,1.320302099189245,0.001316401840040614,0.020925446553624594,2.4994452644818215e-05,0.006619360552550592,8.719812810407451e-06
dcll_Li90.0_wedgeC_U238_150.00kgm3_8e3x25,C,150.0,1.3176491118575537,0.002461163161741993,0.03137287013147076,9.65336956701858e-05,0.009757404276568292,5.0763712104761546e-05
dcll_Li90.0_wedgeC_U238_250.00kgm3_8e3x25,C,250.0,1.3079779433234069,0.0036195996594348486,0.05233111697122907,0.00016222654660195975,0.015695987941924058,6.566972369370651e-05
dcll_Li90.0_wedgeC_U238_500.00kgm3_8e3x25,C,500.0,1.2729237405448792,0.0028623503684927177,0.10339723755425814,0.0002907875011598501,0.028912613800000864,9.101216769493867e-05
dcll_Li90.0_wedgeC_U238_750.00kgm3_8e3x25,C,750.0,1.2408887816069205,0.0021771529295006448,0.15239311365009736,0.00034464571027870383,0.040528418631172874,0.00012503969593389845
dcll_Li90.0_wedgeC_U238_999.99kgm3_4e4x25,C,999.99,1.2248369746380499,0.0011081569319058853,0.1954569307108976,0.00022828736692647144,0.04824607933661608,4.9195732418165416e-05
