
========================================================================
  HCPB  |  0.1 kg/m³
========================================================================

  Total (n,gamma) rate:  A = 3.473363e-05   C = 2.307272e-05   C/A = 0.6643
  Flux mode energy:     A = 1.4000e+07 eV   C = 1.4000e+07 eV
  (n,gamma) mode energy: A = 3.6326e+01 eV   C = 6.6073e+01 eV
  Bins where C > A:  597 / 1231

   Bin      E_lo [eV]      E_hi [eV]         Rate A         Rate C          C - A        C/A
   664     4.3168e+01     4.4173e+01     1.3709e-09     1.6954e-09     3.2457e-10     1.2368
   665     4.4173e+01     4.5201e+01     1.3608e-09     1.4983e-09     1.3748e-10     1.1010
   667     4.6253e+01     4.7330e+01     7.6672e-10     8.1021e-10     4.3493e-11     1.0567
   669     4.8431e+01     4.9558e+01     6.7564e-10     6.9763e-10     2.1994e-11     1.0326
   670     4.9558e+01     5.0712e+01     7.8307e-10     8.3961e-10     5.6540e-11     1.0722
   671     5.0712e+01     5.1892e+01     4.8759e-10     5.2734e-10     3.9750e-11     1.0815
   672     5.1892e+01     5.3100e+01     4.8108e-10     5.0226e-10     2.1177e-11     1.0440
   673     5.3100e+01     5.4336e+01     4.9141e-10     5.1505e-10     2.3635e-11     1.0481
   674     5.4336e+01     5.5601e+01     5.2157e-10     5.3482e-10     1.3247e-11     1.0254
   675     5.5601e+01     5.6895e+01     5.8049e-10     6.1683e-10     3.6339e-11     1.0626
   676     5.6895e+01     5.8219e+01     7.9513e-10     8.5510e-10     5.9975e-11     1.0754
   677     5.8219e+01     5.9574e+01     9.2887e-10     9.3146e-10     2.5935e-12     1.0028
   678     5.9574e+01     6.0961e+01     1.2287e-09     1.2753e-09     4.6586e-11     1.0379
   679     6.0961e+01     6.2380e+01     2.0316e-09     2.2810e-09     2.4936e-10     1.1227
   680     6.2380e+01     6.3832e+01     7.1524e-09     8.2769e-09     1.1245e-09     1.1572
   681     6.3832e+01     6.5318e+01     2.7072e-08     3.4413e-08     7.3417e-09     1.2712
   683     6.6838e+01     6.8394e+01     2.1320e-08     2.2919e-08     1.5993e-09     1.0750
   684     6.8394e+01     6.9986e+01     4.0598e-09     4.6182e-09     5.5831e-10     1.1375
   685     6.9986e+01     7.1615e+01     1.8494e-09     2.1480e-09     2.9866e-10     1.1615
   686     7.1615e+01     7.3281e+01     1.5344e-09     1.7906e-09     2.5614e-10     1.1669
   687     7.3281e+01     7.4987e+01     8.3421e-10     9.2912e-10     9.4916e-11     1.1138
   688     7.4987e+01     7.6733e+01     7.2049e-10     8.0186e-10     8.1370e-11     1.1129
   689     7.6733e+01     7.8519e+01     8.1325e-10     8.2819e-10     1.4938e-11     1.0184
   690     7.8519e+01     8.0346e+01     1.8322e-08     2.4012e-08     5.6908e-09     1.3106
   692     8.2216e+01     8.4130e+01     3.1655e-09     3.3393e-09     1.7384e-10     1.0549
   693     8.4130e+01     8.6088e+01     7.7115e-10     8.2914e-10     5.7999e-11     1.0752
   694     8.6088e+01     8.8092e+01     6.9567e-10     7.0716e-10     1.1496e-11     1.0165
   696     9.0142e+01     9.2240e+01     1.0142e-09     1.1095e-09     9.5334e-11     1.0940
   697     9.2240e+01     9.4387e+01     2.4644e-09     2.8002e-09     3.3579e-10     1.1363
   698     9.4387e+01     9.6584e+01     2.1913e-09     2.3892e-09     1.9788e-10     1.0903
   699     9.6584e+01     9.8832e+01     5.2871e-09     5.5680e-09     2.8083e-10     1.0531
   700     9.8832e+01     1.0113e+02     1.9524e-08     2.3118e-08     3.5947e-09     1.1841
   702     1.0349e+02     1.0590e+02     3.8341e-08     4.3127e-08     4.7860e-09     1.1248
   703     1.0590e+02     1.0836e+02     5.7117e-09     6.2854e-09     5.7367e-10     1.1004
   704     1.0836e+02     1.1088e+02     2.9368e-09     3.0077e-09     7.0921e-11     1.0241
   705     1.1088e+02     1.1346e+02     3.7507e-09     4.1295e-09     3.7885e-10     1.1010
   706     1.1346e+02     1.1610e+02     1.7839e-08     1.8238e-08     3.9958e-10     1.0224
   708     1.1881e+02     1.2157e+02     4.9457e-09     5.4422e-09     4.9649e-10     1.1004
   709     1.2157e+02     1.2440e+02     1.3259e-09     1.4885e-09     1.6260e-10     1.1226
   710     1.2440e+02     1.2730e+02     2.9836e-09     3.1386e-09     1.5495e-10     1.0519
   711     1.2730e+02     1.3026e+02     4.9576e-10     5.4580e-10     5.0041e-11     1.1009
   713     1.3329e+02     1.3639e+02     1.0370e-09     1.1591e-09     1.2208e-10     1.1177
   714     1.3639e+02     1.3957e+02     3.3291e-10     3.5902e-10     2.6110e-11     1.0784
   715     1.3957e+02     1.4282e+02     3.2715e-10     3.5069e-10     2.3543e-11     1.0720
   716     1.4282e+02     1.4614e+02     8.6221e-08     8.9336e-08     3.1153e-09     1.0361
   718     1.4954e+02     1.5302e+02     5.7564e-09     6.2553e-09     4.9892e-10     1.0867
   719     1.5302e+02     1.5659e+02     5.6454e-10     5.8428e-10     1.9740e-11     1.0350
   720     1.5659e+02     1.6023e+02     1.9424e-09     2.2668e-09     3.2443e-10     1.1670
   721     1.6023e+02     1.6396e+02     1.0233e-09     1.1803e-09     1.5707e-10     1.1535
   724     1.7168e+02     1.7568e+02     5.2069e-09     5.3296e-09     1.2264e-10     1.0236
   725     1.7568e+02     1.7977e+02     1.4865e-09     1.5949e-09     1.0845e-10     1.0730
   726     1.7977e+02     1.8395e+02     3.4752e-09     3.7012e-09     2.2601e-10     1.0650
   727     1.8395e+02     1.8823e+02     2.4006e-08     3.2127e-08     8.1214e-09     1.3383
   729     1.9261e+02     1.9710e+02     9.9478e-09     1.0869e-08     9.2073e-10     1.0926
   730     1.9710e+02     2.0168e+02     6.6644e-09     7.1966e-09     5.3216e-10     1.0799
   731     2.0168e+02     2.0638e+02     7.1720e-09     8.3295e-09     1.1575e-09     1.1614
   733     2.1118e+02     2.1610e+02     7.1814e-09     7.6290e-09     4.4768e-10     1.0623
   734     2.1610e+02     2.2113e+02     2.4352e-09     2.5749e-09     1.3969e-10     1.0574
   735     2.2113e+02     2.2628e+02     6.1760e-10     6.8768e-10     7.0079e-11     1.1135
   736     2.2628e+02     2.3154e+02     1.1035e-09     1.2282e-09     1.2467e-10     1.1130
   740     2.4809e+02     2.5386e+02     2.5552e-09     3.0223e-09     4.6703e-10     1.1828
   742     2.5977e+02     2.6582e+02     1.3235e-08     1.3856e-08     6.2106e-10     1.0469
   743     2.6582e+02     2.7201e+02     2.1965e-09     2.4338e-09     2.3723e-10     1.1080
   745     2.7834e+02     2.8482e+02     5.4784e-09     5.9216e-09     4.4324e-10     1.0809
   747     2.9145e+02     2.9823e+02     6.4662e-08     7.3564e-08     8.9017e-09     1.1377
   748     2.9823e+02     3.0517e+02     2.8900e-10     3.1017e-10     2.1173e-11     1.0733
   749     3.0517e+02     3.1227e+02     3.7433e-08     4.0811e-08     3.3782e-09     1.0902
   750     3.1227e+02     3.1954e+02     1.0039e-09     1.1584e-09     1.5447e-10     1.1539
   751     3.1954e+02     3.2698e+02     1.2926e-09     1.3379e-09     4.5245e-11     1.0350
   752     3.2698e+02     3.3459e+02     1.7493e-09     1.9689e-09     2.1957e-10     1.1255
   753     3.3459e+02     3.4238e+02     3.6372e-09     3.8360e-09     1.9881e-10     1.0547
   755     3.5035e+02     3.5850e+02     8.3143e-09     9.2455e-09     9.3124e-10     1.1120
   756     3.5850e+02     3.6685e+02     3.5940e-10     3.7566e-10     1.6256e-11     1.0452
   758     3.7538e+02     3.8412e+02     2.8139e-08     2.9311e-08     1.1713e-09     1.0416
   759     3.8412e+02     3.9306e+02     6.8060e-10     8.2073e-10     1.4013e-10     1.2059
   761     4.0221e+02     4.1157e+02     2.5126e-07     2.6123e-07     9.9704e-09     1.0397
   762     4.1157e+02     4.2115e+02     3.3022e-09     3.7032e-09     4.0103e-10     1.1214
   763     4.2115e+02     4.3096e+02     3.2565e-10     3.3068e-10     5.0322e-12     1.0155
   764     4.3096e+02     4.4099e+02     1.5368e-07     1.6373e-07     1.0051e-08     1.0654
   765     4.4099e+02     4.5125e+02     1.5007e-09     1.6336e-09     1.3295e-10     1.0886
   766     4.5125e+02     4.6175e+02     9.4539e-09     1.0137e-08     6.8265e-10     1.0722
   767     4.6175e+02     4.7250e+02     8.7498e-08     9.2622e-08     5.1236e-09     1.0586
   768     4.7250e+02     4.8350e+02     6.4184e-08     7.1933e-08     7.7490e-09     1.1207
   769     4.8350e+02     4.9475e+02     1.6878e-08     2.0399e-08     3.5213e-09     1.2086
   770     4.9475e+02     5.0627e+02     2.0762e-09     2.2952e-09     2.1900e-10     1.1055
   771     5.0627e+02     5.1805e+02     7.3587e-08     7.8059e-08     4.4715e-09     1.0608
