
========================================================================
  HCPB  |  0.1 kg/m³
========================================================================

  Total (n,gamma) rate:  A = 3.473363e-05   C = 2.307272e-05   C/A = 0.6643
  Flux mode energy:     A = 1.4000e+07 eV   C = 1.4000e+07 eV
  (n,gamma) mode energy: A = 3.6326e+01 eV   C = 6.6073e+01 eV
  Bins where C > A:  597 / 1231

   Bin      E_lo [eV]      E_hi [eV]         Rate A         Rate C          C - A        C/A
  1169     4.8027e+06     4.9144e+06     4.9299e-11     5.4669e-11     5.3696e-12     1.1089
  1170     4.9144e+06     5.0288e+06     4.5113e-11     5.0820e-11     5.7061e-12     1.1265
  1171     5.0288e+06     5.1459e+06     3.9611e-11     4.2909e-11     3.2984e-12     1.0833
  1172     5.1459e+06     5.2657e+06     3.6017e-11     3.9329e-11     3.3127e-12     1.0920
  1173     5.2657e+06     5.3882e+06     3.2121e-11     3.4507e-11     2.3857e-12     1.0743
  1174     5.3882e+06     5.5136e+06     2.8193e-11     3.1756e-11     3.5640e-12     1.1264
  1175     5.5136e+06     5.6420e+06     2.4820e-11     2.7340e-11     2.5203e-12     1.1015
  1176     5.6420e+06     5.7733e+06     2.2102e-11     2.4551e-11     2.4491e-12     1.1108
  1177     5.7733e+06     5.9077e+06     2.0027e-11     2.0679e-11     6.5177e-13     1.0325
  1178     5.9077e+06     6.0452e+06     1.7763e-11     1.9007e-11     1.2439e-12     1.0700
  1179     6.0452e+06     6.1859e+06     1.6142e-11     1.8233e-11     2.0911e-12     1.1295
  1180     6.1859e+06     6.3299e+06     1.4540e-11     1.6570e-11     2.0296e-12     1.1396
  1181     6.3299e+06     6.4772e+06     1.3207e-11     1.4641e-11     1.4340e-12     1.1086
  1182     6.4772e+06     6.6280e+06     1.2620e-11     1.4386e-11     1.7662e-12     1.1400
  1183     6.6280e+06     6.7822e+06     1.1834e-11     1.2679e-11     8.4499e-13     1.0714
  1184     6.7822e+06     6.9401e+06     1.1286e-11     1.2651e-11     1.3648e-12     1.1209
  1185     6.9401e+06     7.1016e+06     1.0688e-11     1.1407e-11     7.1827e-13     1.0672
  1186     7.1016e+06     7.2669e+06     1.0530e-11     1.1150e-11     6.1961e-13     1.0588
  1187     7.2669e+06     7.4361e+06     1.0585e-11     1.1546e-11     9.6156e-13     1.0908
  1188     7.4361e+06     7.6091e+06     1.0581e-11     1.1775e-11     1.1939e-12     1.1128
  1189     7.6091e+06     7.7863e+06     1.0682e-11     1.1231e-11     5.4872e-13     1.0514
  1190     7.7863e+06     7.9675e+06     1.0647e-11     1.1676e-11     1.0288e-12     1.0966
  1191     7.9675e+06     8.1529e+06     1.1160e-11     1.2208e-11     1.0478e-12     1.0939
  1192     8.1529e+06     8.3427e+06     1.1796e-11     1.2511e-11     7.1529e-13     1.0606
  1193     8.3427e+06     8.5369e+06     1.2469e-11     1.3661e-11     1.1915e-12     1.0956
  1194     8.5369e+06     8.7356e+06     1.3380e-11     1.4603e-11     1.2230e-12     1.0914
  1195     8.7356e+06     8.9389e+06     1.4787e-11     1.6037e-11     1.2493e-12     1.0845
  1196     8.9389e+06     9.1470e+06     1.6423e-11     1.7750e-11     1.3268e-12     1.0808
  1197     9.1470e+06     9.3599e+06     1.7861e-11     1.9027e-11     1.1654e-12     1.0652
  1198     9.3599e+06     9.5777e+06     1.8969e-11     2.0342e-11     1.3732e-12     1.0724
  1199     9.5777e+06     9.8007e+06     1.9856e-11     2.1363e-11     1.5074e-12     1.0759
  1200     9.8007e+06     1.0029e+07     2.1816e-11     2.3008e-11     1.1928e-12     1.0547
  1201     1.0029e+07     1.0262e+07     2.4251e-11     2.7322e-11     3.0712e-12     1.1266
  1202     1.0262e+07     1.0501e+07     2.6718e-11     2.8831e-11     2.1132e-12     1.0791
  1203     1.0501e+07     1.0746e+07     2.8030e-11     2.9796e-11     1.7659e-12     1.0630
  1204     1.0746e+07     1.0996e+07     2.7834e-11     3.1405e-11     3.5713e-12     1.1283
  1205     1.0996e+07     1.1252e+07     3.0485e-11     3.2165e-11     1.6802e-12     1.0551
  1206     1.1252e+07     1.1513e+07     2.7056e-11     2.9604e-11     2.5477e-12     1.0942
  1207     1.1513e+07     1.1781e+07     2.5839e-11     2.8028e-11     2.1891e-12     1.0847
  1208     1.1781e+07     1.2056e+07     2.7163e-11     2.9000e-11     1.8370e-12     1.0676
  1209     1.2056e+07     1.2336e+07     3.4675e-11     3.8667e-11     3.9924e-12     1.1151
  1210     1.2336e+07     1.2623e+07     4.6375e-11     4.9812e-11     3.4371e-12     1.0741
  1211     1.2623e+07     1.2917e+07     6.1265e-11     6.6586e-11     5.3209e-12     1.0869
  1212     1.2917e+07     1.3218e+07     8.7243e-11     9.3380e-11     6.1372e-12     1.0703
  1213     1.3218e+07     1.3526e+07     1.1052e-10     1.1942e-10     8.9038e-12     1.0806
  1214     1.3526e+07     1.3840e+07     1.4974e-10     1.6052e-10     1.0776e-11     1.0720
  1215     1.3840e+07     1.4162e+07     7.0307e-10     7.5008e-10     4.7010e-11     1.0669

========================================================================
  HCPB  |  999.99 kg/m³
========================================================================

  Total (n,gamma) rate:  A = 1.553290e-01   C = 1.577721e-01   C/A = 1.0157
  Flux mode energy:     A = 1.4000e+07 eV   C = 1.4000e+07 eV
  (n,gamma) mode energy: A = 6.6073e+01 eV   C = 6.6073e+01 eV
  Bins where C > A:  675 / 1231

   Bin      E_lo [eV]      E_hi [eV]         Rate A         Rate C          C - A        C/A
  --------------------------------------------------------------------------------
   489     7.6990e-01     7.8782e-01     0.0000e+00     8.9971e-10     8.9971e-10        inf
   492     8.2493e-01     8.4413e-01     3.5312e-10     8.0571e-10     4.5259e-10     2.2817
   495     8.8388e-01     9.0445e-01     4.8852e-10     8.1925e-10     3.3072e-10     1.6770
   502     1.0383e+00     1.0625e+00     0.0000e+00     3.3816e-09     3.3816e-09        inf
   505     1.1126e+00     1.1384e+00     1.0127e-09     3.3293e-09     2.3165e-09     3.2874
   507     1.1649e+00     1.1921e+00     1.2675e-10     4.8228e-09     4.6960e-09    38.0493
   509     1.2198e+00     1.2482e+00     1.8607e-09     3.4958e-09     1.6352e-09     1.8788
   511     1.2773e+00     1.3070e+00     3.6973e-09     5.3376e-09     1.6403e-09     1.4436
   512     1.3070e+00     1.3374e+00     1.1854e-09     1.7847e-09     5.9924e-10     1.5055
   514     1.3685e+00     1.4004e+00     1.8533e-09     2.8804e-09     1.0270e-09     1.5542
   515     1.4004e+00     1.4330e+00     2.2100e-09     2.8037e-09     5.9369e-10     1.2686
   517     1.4663e+00     1.5005e+00     2.3284e-09     3.8441e-09     1.5157e-09     1.6510
   519     1.5354e+00     1.5711e+00     5.0455e-09     1.4560e-08     9.5141e-09     2.8857
   520     1.5711e+00     1.6077e+00     3.5447e-09     1.0525e-08     6.9807e-09     2.9693
   522     1.6451e+00     1.6834e+00     3.0674e-09     3.2411e-09     1.7371e-10     1.0566
   525     1.7627e+00     1.8037e+00     6.7067e-09     7.5457e-09     8.3905e-10     1.1251
   527     1.8457e+00     1.8887e+00     1.8017e-09     2.1896e-09     3.8794e-10     1.2153
   529     1.9326e+00     1.9776e+00     9.9242e-09     1.1640e-08     1.7155e-09     1.1729
   530     1.9776e+00     2.0236e+00     1.1289e-08     1.4837e-08     3.5477e-09     1.3143
   533     2.1189e+00     2.1682e+00     1.5057e-08     2.1548e-08     6.4912e-09     1.4311
   536     2.2704e+00     2.3232e+00     1.4486e-08     1.5208e-08     7.2124e-10     1.0498
   538     2.3773e+00     2.4326e+00     2.6881e-08     2.7113e-08     2.3237e-10     1.0086
   539     2.4326e+00     2.4892e+00     2.6363e-08     2.7475e-08     1.1119e-09     1.0422
   540     2.4892e+00     2.5472e+00     1.9777e-08     3.1638e-08     1.1861e-08     1.5998
   541     2.5472e+00     2.6065e+00     2.2837e-08     3.5329e-08     1.2492e-08     1.5470
   542     2.6065e+00     2.6671e+00     2.8643e-08     3.2853e-08     4.2096e-09     1.1470
   544     2.7292e+00     2.7927e+00     3.2974e-08     4.4230e-08     1.1256e-08     1.3414
   545     2.7927e+00     2.8577e+00     4.0128e-08     5.5693e-08     1.5565e-08     1.3879
   547     2.9242e+00     2.9923e+00     3.8143e-08     6.4859e-08     2.6716e-08     1.7004
   548     2.9923e+00     3.0620e+00     4.4858e-08     6.0973e-08     1.6115e-08     1.3592
   549     3.0620e+00     3.1332e+00     4.6019e-08     5.3406e-08     7.3867e-09     1.1605
   552     3.2808e+00     3.3571e+00     5.9018e-08     1.0715e-07     4.8130e-08     1.8155
   553     3.3571e+00     3.4353e+00     6.1396e-08     8.6653e-08     2.5257e-08     1.4114
   554     3.4353e+00     3.5152e+00     6.3751e-08     8.9714e-08     2.5963e-08     1.4073
   556     3.5971e+00     3.6808e+00     8.6627e-08     1.0625e-07     1.9619e-08     1.2265
   557     3.6808e+00     3.7665e+00     1.2043e-07     1.7879e-07     5.8361e-08     1.4846
   558     3.7665e+00     3.8541e+00     1.2058e-07     2.0738e-07     8.6796e-08     1.7198
   559     3.8541e+00     3.9438e+00     1.2056e-07     1.5725e-07     3.6690e-08     1.3043
   560     3.9438e+00     4.0356e+00     1.5959e-07     1.6734e-07     7.7449e-09     1.0485
   562     4.1296e+00     4.2257e+00     1.5121e-07     1.7162e-07     2.0412e-08     1.1350
   563     4.2257e+00     4.3240e+00     2.4058e-07     2.9456e-07     5.3987e-08     1.2244
   564     4.3240e+00     4.4247e+00     4.1193e-07     5.0258e-07     9.0643e-08     1.2200
   565     4.4247e+00     4.5277e+00     3.2774e-07     5.0914e-07     1.8140e-07     1.5535
   566     4.5277e+00     4.6331e+00     3.0989e-07     4.9871e-07     1.8882e-07     1.6093
   567     4.6331e+00     4.7409e+00     3.7479e-07     4.4501e-07     7.0219e-08     1.1874
   568     4.7409e+00     4.8513e+00     5.1103e-07     6.5608e-07     1.4505e-07     1.2838
   569     4.8513e+00     4.9642e+00     5.3004e-07     6.6151e-07     1.3148e-07     1.2481
   570     4.9642e+00     5.0797e+00     6.0892e-07     6.2857e-07     1.9655e-08     1.0323
   571     5.0797e+00     5.1979e+00     8.6159e-07     9.1978e-07     5.8184e-08     1.0675
   572     5.1979e+00     5.3189e+00     9.0727e-07     1.1284e-06     2.2115e-07     1.2438
   573     5.3189e+00     5.4427e+00     1.0618e-06     1.3900e-06     3.2817e-07     1.3091
   574     5.4427e+00     5.5694e+00     1.5163e-06     1.8912e-06     3.7485e-07     1.2472
   575     5.5694e+00     5.6991e+00     1.9825e-06     2.0407e-06     5.8215e-08     1.0294
   576     5.6991e+00     5.8317e+00     2.3289e-06     3.5867e-06     1.2577e-06     1.5400
   577     5.8317e+00     5.9674e+00     3.8032e-06     4.6510e-06     8.4779e-07     1.2229
   578     5.9674e+00     6.1063e+00     6.3270e-06     7.4496e-06     1.1227e-06     1.1774
   579     6.1063e+00     6.2485e+00     9.4433e-06     1.1422e-05     1.9785e-06     1.2095
   580     6.2485e+00     6.3939e+00     2.5502e-05     2.7785e-05     2.2825e-06     1.0895
   585     7.0103e+00     7.1735e+00     2.4011e-05     2.6196e-05     2.1853e-06     1.0910
   586     7.1735e+00     7.3404e+00     1.2585e-05     1.5024e-05     2.4384e-06     1.1938
   587     7.3404e+00     7.5113e+00     7.2561e-06     9.3178e-06     2.0617e-06     1.2841
   588     7.5113e+00     7.6861e+00     5.5269e-06     5.7957e-06     2.6886e-07     1.0486
   589     7.6861e+00     7.8650e+00     3.8025e-06     4.3924e-06     5.8991e-07     1.1551
   590     7.8650e+00     8.0481e+00     3.0007e-06     3.5727e-06     5.7200e-07     1.1906
   591     8.0481e+00     8.2354e+00     2.7288e-06     2.9168e-06     1.8802e-07     1.0689
   592     8.2354e+00     8.4271e+00     2.2799e-06     2.2879e-06     8.0069e-09     1.0035
   593     8.4271e+00     8.6233e+00     1.8780e-06     1.9628e-06     8.4754e-08     1.0451
   594     8.6233e+00     8.8240e+00     1.5197e-06     1.7907e-06     2.7098e-07     1.1783
   595     8.8240e+00     9.0294e+00     1.3609e-06     1.7789e-06     4.1801e-07     1.3072
   596     9.0294e+00     9.2395e+00     1.2905e-06     1.4483e-06     1.5787e-07     1.1223
   597     9.2395e+00     9.4546e+00     1.1825e-06     1.3894e-06     2.0685e-07     1.1749
   598     9.4546e+00     9.6746e+00     1.0129e-06     1.2251e-06     2.1220e-07     1.2095
   599     9.6746e+00     9.8998e+00     1.0169e-06     1.1548e-06     1.3792e-07     1.1356
   600     9.8998e+00     1.0130e+01     1.7905e-06     2.1427e-06     3.5222e-07     1.1967
   601     1.0130e+01     1.0366e+01     7.0008e-06     7.4298e-06     4.2905e-07     1.0613
   602     1.0366e+01     1.0607e+01     1.5455e-06     1.7196e-06     1.7418e-07     1.1127
   603     1.0607e+01     1.0854e+01     9.6875e-07     1.0452e-06     7.6428e-08     1.0789
   604     1.0854e+01     1.1107e+01     9.7499e-07     1.1094e-06     1.3439e-07     1.1378
   605     1.1107e+01     1.1365e+01     2.2544e-06     2.5231e-06     2.6867e-07     1.1192
   606     1.1365e+01     1.1630e+01     1.3987e-06     1.8022e-06     4.0350e-07     1.2885
   607     1.1630e+01     1.1901e+01     9.7074e-07     1.0790e-06     1.0822e-07     1.1115
   608     1.1901e+01     1.2178e+01     9.5142e-07     1.1051e-06     1.5373e-07     1.1616
   609     1.2178e+01     1.2461e+01     1.0179e-06     1.0850e-06     6.7112e-08     1.0659
   610     1.2461e+01     1.2751e+01     9.9305e-07     1.1780e-06     1.8494e-07     1.1862
   611     1.2751e+01     1.3048e+01     1.0938e-06     1.2299e-06     1.3608e-07     1.1244
   612     1.3048e+01     1.3352e+01     1.1142e-06     1.2412e-06     1.2705e-07     1.1140
   613     1.3352e+01     1.3662e+01     1.2873e-06     1.4042e-06     1.1693e-07     1.0908
   614     1.3662e+01     1.3980e+01     1.3992e-06     1.5990e-06     1.9982e-07     1.1428
   615     1.3980e+01     1.4306e+01     1.4609e-06     1.5259e-06     6.4967e-08     1.0445
   616     1.4306e+01     1.4639e+01     1.5325e-06     1.8499e-06     3.1738e-07     1.2071
   617     1.4639e+01     1.4979e+01     1.7139e-06     2.1534e-06     4.3944e-07     1.2564
   618     1.4979e+01     1.5328e+01     1.9325e-06     2.1623e-06     2.2981e-07     1.1189
   619     1.5328e+01     1.5685e+01     2.1588e-06     2.5958e-06     4.3703e-07     1.2024
   620     1.5685e+01     1.6050e+01     2.6182e-06     2.9715e-06     3.5329e-07     1.1349
   621     1.6050e+01     1.6424e+01     3.0627e-06     3.3300e-06     2.6728e-07     1.0873
   622     1.6424e+01     1.6806e+01     3.4660e-06     4.1405e-06     6.7445e-07     1.1946
   623     1.6806e+01     1.7197e+01     4.3438e-06     5.1034e-06     7.5963e-07     1.1749
   624     1.7197e+01     1.7597e+01     5.3563e-06     6.3236e-06     9.6726e-07     1.1806
   625     1.7597e+01     1.8007e+01     7.4342e-06     8.0365e-06     6.0228e-07     1.0810
   626     1.8007e+01     1.8426e+01     1.0980e-05     1.2300e-05     1.3194e-06     1.1202
   627     1.8426e+01     1.8855e+01     1.0905e-05     1.2435e-05     1.5304e-06     1.1403
   628     1.8855e+01     1.9294e+01     1.4982e-05     1.6479e-05     1.4968e-06     1.0999
   629     1.9294e+01     1.9743e+01     4.0681e-05     4.6254e-05     5.5730e-06     1.1370
   630     1.9743e+01     2.0202e+01     8.9404e-05     1.0664e-04     1.7233e-05     1.1928
   631     2.0202e+01     2.0673e+01     1.0057e-03     1.0097e-03     3.9752e-06     1.0040
   634     2.1646e+01     2.2150e+01     9.5413e-05     1.0298e-04     7.5638e-06     1.0793
   635     2.2150e+01     2.2666e+01     3.9853e-05     4.3857e-05     4.0043e-06     1.1005
   636     2.2666e+01     2.3193e+01     2.3069e-05     2.5802e-05     2.7333e-06     1.1185
   637     2.3193e+01     2.3733e+01     1.5897e-05     1.7912e-05     2.0151e-06     1.1268
   638     2.3733e+01     2.4285e+01     1.1756e-05     1.3155e-05     1.3993e-06     1.1190
   639     2.4285e+01     2.4851e+01     9.2853e-06     9.8538e-06     5.6857e-07     1.0612
   640     2.4851e+01     2.5429e+01     7.6541e-06     8.5536e-06     8.9946e-07     1.1175
   641     2.5429e+01     2.6021e+01     6.7761e-06     7.5103e-06     7.3415e-07     1.1083
   642     2.6021e+01     2.6627e+01     6.0945e-06     6.8586e-06     7.6413e-07     1.1254
   643     2.6627e+01     2.7246e+01     6.4515e-06     7.0015e-06     5.5008e-07     1.0853
   644     2.7246e+01     2.7880e+01     6.2020e-06     6.6268e-06     4.2484e-07     1.0685
   645     2.7880e+01     2.8529e+01     6.2794e-06     6.9147e-06     6.3531e-07     1.1012
   646     2.8529e+01     2.9193e+01     6.6108e-06     7.4169e-06     8.0610e-07     1.1219
   647     2.9193e+01     2.9873e+01     7.7025e-06     8.4988e-06     7.9637e-07     1.1034
   648     2.9873e+01     3.0568e+01     8.8101e-06     9.5964e-06     7.8637e-07     1.0893
   649     3.0568e+01     3.1280e+01     1.0399e-05     1.1812e-05     1.4124e-06     1.1358
   650     3.1280e+01     3.2008e+01     1.3274e-05     1.4815e-05     1.5409e-06     1.1161
   651     3.2008e+01     3.2753e+01     1.8125e-05     2.0259e-05     2.1336e-06     1.1177
   652     3.2753e+01     3.3515e+01     2.6296e-05     2.9654e-05     3.3589e-06     1.1277
   653     3.3515e+01     3.4295e+01     4.2828e-05     4.7672e-05     4.8436e-06     1.1131
   654     3.4295e+01     3.5094e+01     8.3418e-05     9.3789e-05     1.0371e-05     1.1243
   655     3.5094e+01     3.5910e+01     3.0447e-04     3.6352e-04     5.9050e-05     1.1939
   658     3.7602e+01     3.8477e+01     2.2989e-04     2.6000e-04     3.0114e-05     1.1310
   659     3.8477e+01     3.9372e+01     7.9258e-05     8.4519e-05     5.2616e-06     1.0664
   660     3.9372e+01     4.0289e+01     4.0528e-05     4.5143e-05     4.6142e-06     1.1139
   661     4.0289e+01     4.1226e+01     2.4714e-05     2.7681e-05     2.9672e-06     1.1201
   662     4.1226e+01     4.2186e+01     1.6833e-05     1.8546e-05     1.7133e-06     1.1018
   663     4.2186e+01     4.3168e+01     1.2533e-05     1.3871e-05     1.3384e-06     1.1068
   664     4.3168e+01     4.4173e+01     1.0986e-05     1.2066e-05     1.0800e-06     1.0983
   665     4.4173e+01     4.5201e+01     1.1052e-05     1.1636e-05     5.8414e-07     1.0529
   666     4.5201e+01     4.6253e+01     8.8180e-06     1.0109e-05     1.2906e-06     1.1464
   667     4.6253e+01     4.7330e+01     6.1923e-06     6.8219e-06     6.2969e-07     1.1017
   668     4.7330e+01     4.8431e+01     4.8097e-06     5.3044e-06     4.9469e-07     1.1029
   669     4.8431e+01     4.9558e+01     5.4336e-06     6.0060e-06     5.7245e-07     1.1054
   670     4.9558e+01     5.0712e+01     6.3145e-06     7.0277e-06     7.1317e-07     1.1129
   671     5.0712e+01     5.1892e+01     3.8957e-06     4.3531e-06     4.5743e-07     1.1174
   672     5.1892e+01     5.3100e+01     3.8689e-06     4.2627e-06     3.9384e-07     1.1018
   673     5.3100e+01     5.4336e+01     3.9778e-06     4.2879e-06     3.1013e-07     1.0780
   674     5.4336e+01     5.5601e+01     4.1436e-06     4.6417e-06     4.9802e-07     1.1202
   675     5.5601e+01     5.6895e+01     4.6628e-06     5.1614e-06     4.9864e-07     1.1069
   676     5.6895e+01     5.8219e+01     6.3836e-06     7.1827e-06     7.9911e-07     1.1252
   677     5.8219e+01     5.9574e+01     7.4749e-06     8.4576e-06     9.8265e-07     1.1315
   678     5.9574e+01     6.0961e+01     9.8653e-06     1.0899e-05     1.0340e-06     1.1048
   679     6.0961e+01     6.2380e+01     1.6069e-05     1.7808e-05     1.7395e-06     1.1083
   680     6.2380e+01     6.3832e+01     5.6789e-05     6.1418e-05     4.6288e-06     1.0815
   681     6.3832e+01     6.5318e+01     2.5861e-04     2.8713e-04     2.8519e-05     1.1103
   683     6.6838e+01     6.8394e+01     1.6971e-04     1.8938e-04     1.9674e-05     1.1159
   684     6.8394e+01     6.9986e+01     3.3268e-05     3.6915e-05     3.6475e-06     1.1096
   685     6.9986e+01     7.1615e+01     1.5401e-05     1.6692e-05     1.2907e-06     1.0838
   686     7.1615e+01     7.3281e+01     1.2657e-05     1.3895e-05     1.2383e-06     1.0978
   687     7.3281e+01     7.4987e+01     6.7635e-06     7.5095e-06     7.4600e-07     1.1103
   688     7.4987e+01     7.6733e+01     5.7760e-06     6.4248e-06     6.4873e-07     1.1123
   689     7.6733e+01     7.8519e+01     6.6614e-06     7.0982e-06     4.3672e-07     1.0656
   690     7.8519e+01     8.0346e+01     1.4094e-04     1.5401e-04     1.3070e-05     1.0927
   691     8.0346e+01     8.2216e+01     2.3124e-03     2.3163e-03     3.9459e-06     1.0017
   692     8.2216e+01     8.4130e+01     2.6075e-05     2.8710e-05     2.6348e-06     1.1010
   693     8.4130e+01     8.6088e+01     6.4708e-06     7.0155e-06     5.4471e-07     1.0842
   694     8.6088e+01     8.8092e+01     5.7730e-06     6.5276e-06     7.5456e-07     1.1307
   695     8.8092e+01     9.0142e+01     1.6608e-04     1.8008e-04     1.3999e-05     1.0843
   696     9.0142e+01     9.2240e+01     8.3996e-06     9.2561e-06     8.5652e-07     1.1020
   697     9.2240e+01     9.4387e+01     2.0546e-05     2.2883e-05     2.3370e-06     1.1137
   698     9.4387e+01     9.6584e+01     1.8218e-05     2.0165e-05     1.9468e-06     1.1069
   699     9.6584e+01     9.8832e+01     4.3500e-05     4.7841e-05     4.3406e-06     1.0998
   700     9.8832e+01     1.0113e+02     1.9224e-04     2.1256e-04     2.0321e-05     1.1057
   702     1.0349e+02     1.0590e+02     2.9878e-04     3.2560e-04     2.6828e-05     1.0898
   703     1.0590e+02     1.0836e+02     4.8141e-05     5.2681e-05     4.5404e-06     1.0943
   704     1.0836e+02     1.1088e+02     2.4632e-05     2.6724e-05     2.0919e-06     1.0849
   705     1.1088e+02     1.1346e+02     3.1556e-05     3.4137e-05     2.5809e-06     1.0818
   706     1.1346e+02     1.1610e+02     1.7415e-04     2.0154e-04     2.7382e-05     1.1572
   708     1.1881e+02     1.2157e+02     4.2450e-05     4.5938e-05     3.4878e-06     1.0822
   709     1.2157e+02     1.2440e+02     1.1244e-05     1.2484e-05     1.2399e-06     1.1103
   710     1.2440e+02     1.2730e+02     2.5357e-05     2.8101e-05     2.7440e-06     1.1082
   711     1.2730e+02     1.3026e+02     4.2346e-06     4.6316e-06     3.9700e-07     1.0938
   712     1.3026e+02     1.3329e+02     6.7222e-06     7.5349e-06     8.1278e-07     1.1209
   713     1.3329e+02     1.3639e+02     8.9750e-06     9.7774e-06     8.0242e-07     1.0894
   714     1.3639e+02     1.3957e+02     2.8267e-06     3.1471e-06     3.2039e-07     1.1133
   715     1.3957e+02     1.4282e+02     2.8183e-06     3.0639e-06     2.4557e-07     1.0871
   716     1.4282e+02     1.4614e+02     6.8841e-04     7.3952e-04     5.1113e-05     1.0742
   717     1.4614e+02     1.4954e+02     5.8256e-05     6.2906e-05     4.6500e-06     1.0798
   718     1.4954e+02     1.5302e+02     4.8160e-05     5.4598e-05     6.4385e-06     1.1337
   719     1.5302e+02     1.5659e+02     4.8405e-06     5.2202e-06     3.7972e-07     1.0784
   720     1.5659e+02     1.6023e+02     1.6666e-05     1.8622e-05     1.9564e-06     1.1174
   721     1.6023e+02     1.6396e+02     8.8662e-06     9.7383e-06     8.7205e-07     1.0984
   722     1.6396e+02     1.6778e+02     1.9438e-03     1.9978e-03     5.3969e-05     1.0278
   723     1.6778e+02     1.7168e+02     7.3001e-06     8.0550e-06     7.5490e-07     1.1034
   724     1.7168e+02     1.7568e+02     4.4707e-05     4.8956e-05     4.2490e-06     1.0950
   725     1.7568e+02     1.7977e+02     1.2736e-05     1.4131e-05     1.3950e-06     1.1095
   726     1.7977e+02     1.8395e+02     2.9543e-05     3.2797e-05     3.2535e-06     1.1101
   727     1.8395e+02     1.8823e+02     2.9216e-04     3.2889e-04     3.6735e-05     1.1257
   729     1.9261e+02     1.9710e+02     8.5140e-05     9.2198e-05     7.0581e-06     1.0829
   730     1.9710e+02     2.0168e+02     5.5762e-05     6.2599e-05     6.8374e-06     1.1226
   731     2.0168e+02     2.0638e+02     6.5490e-05     7.3948e-05     8.4577e-06     1.1291
   733     2.1118e+02     2.1610e+02     6.2041e-05     6.9119e-05     7.0785e-06     1.1141
   734     2.1610e+02     2.2113e+02     2.1076e-05     2.2991e-05     1.9142e-06     1.0908
   735     2.2113e+02     2.2628e+02     5.3255e-06     5.8703e-06     5.4479e-07     1.1023
   736     2.2628e+02     2.3154e+02     9.6447e-06     1.0673e-05     1.0282e-06     1.1066
   737     2.3154e+02     2.3693e+02     6.6588e-04     7.0469e-04     3.8816e-05     1.0583
   739     2.4245e+02     2.4809e+02     7.5683e-05     8.4769e-05     9.0866e-06     1.1201
   740     2.4809e+02     2.5386e+02     2.2436e-05     2.4966e-05     2.5309e-06     1.1128
   741     2.5386e+02     2.5977e+02     3.7361e-05     4.0670e-05     3.3093e-06     1.0886
   742     2.5977e+02     2.6582e+02     1.1383e-04     1.2638e-04     1.2550e-05     1.1103
   743     2.6582e+02     2.7201e+02     2.0308e-05     2.2645e-05     2.3370e-06     1.1151
   745     2.7834e+02     2.8482e+02     4.8029e-05     5.2304e-05     4.2757e-06     1.0890
   746     2.8482e+02     2.9145e+02     2.0491e-03     2.1036e-03     5.4418e-05     1.0266
   747     2.9145e+02     2.9823e+02     4.8778e-04     5.2771e-04     3.9935e-05     1.0819
   748     2.9823e+02     3.0517e+02     2.5509e-06     2.8112e-06     2.6031e-07     1.1020
   749     3.0517e+02     3.1227e+02     3.2237e-04     3.4852e-04     2.6150e-05     1.0811
   750     3.1227e+02     3.1954e+02     8.9628e-06     9.8265e-06     8.6371e-07     1.0964
   751     3.1954e+02     3.2698e+02     1.1346e-05     1.2654e-05     1.3073e-06     1.1152
   752     3.2698e+02     3.3459e+02     1.5169e-05     1.6740e-05     1.5710e-06     1.1036
   753     3.3459e+02     3.4238e+02     3.1626e-05     3.4895e-05     3.2684e-06     1.1033
   755     3.5035e+02     3.5850e+02     7.2067e-05     8.0051e-05     7.9843e-06     1.1108
   756     3.5850e+02     3.6685e+02     3.1734e-06     3.4635e-06     2.9008e-07     1.0914
   757     3.6685e+02     3.7538e+02     1.6030e-05     1.7563e-05     1.5327e-06     1.0956
   758     3.7538e+02     3.8412e+02     2.4691e-04     2.6234e-04     1.5431e-05     1.0625
   759     3.8412e+02     3.9306e+02     5.9522e-06     6.6290e-06     6.7674e-07     1.1137
   760     3.9306e+02     4.0221e+02     9.7249e-04     1.0507e-03     7.8252e-05     1.0805
   761     4.0221e+02     4.1157e+02     1.8297e-03     1.8739e-03     4.4147e-05     1.0241
   762     4.1157e+02     4.2115e+02     2.8692e-05     3.2069e-05     3.3770e-06     1.1177
   763     4.2115e+02     4.3096e+02     2.8688e-06     3.2149e-06     3.4610e-07     1.1206
   764     4.3096e+02     4.4099e+02     1.2307e-03     1.2918e-03     6.1132e-05     1.0497
   765     4.4099e+02     4.5125e+02     1.3394e-05     1.4665e-05     1.2717e-06     1.0949
   766     4.5125e+02     4.6175e+02     8.2436e-05     9.0391e-05     7.9544e-06     1.0965
   767     4.6175e+02     4.7250e+02     7.4606e-04     7.6723e-04     2.1165e-05     1.0284
   768     4.7250e+02     4.8350e+02     5.4929e-04     5.7535e-04     2.6060e-05     1.0474
   769     4.8350e+02     4.9475e+02     1.4825e-04     1.6532e-04     1.7078e-05     1.1152
   770     4.9475e+02     5.0627e+02     1.8450e-05     2.0348e-05     1.8981e-06     1.1029
   771     5.0627e+02     5.1805e+02     5.3981e-04     5.5438e-04     1.4571e-05     1.0270
   772     5.1805e+02     5.3011e+02     1.0984e-03     1.1290e-03     3.0623e-05     1.0279
