folder,case,loading_kg_m3,tbr,tbr_std,th232_gamma,th232_gamma_std,th232_fis,th232_fis_std
dcll_Li90.0_wedgeA_Th232_000.10kgm3_4e6x25,A,0.1,1.3352318967644796,9.735648169286102e-05,2.4422213998529313e-05,3.254000478824044e-09,1.6592058395195576e-06,1.4150510227589995e-10
dcll_Li90.0_wedgeA_Th232_000.50kgm3_4e6x25,A,0.5,1.3332806085038278,0.00011174463694280101,0.0001219078440187415,1.4083493973091947e-08,8.293922253595661e-06,6.513764297313378e-10
dcll_Li90.0_wedgeA_Th232_001.00kgm3_4e6x25,A,1.0,1.3325160160176062,0.0001299036194433717,0.0002436437620371359,3.639968561369084e-08,1.658471748723045e-05,9.582741250958162e-10
dcll_Li90.0_wedgeA_Th232_010.00kgm3_4e5x25,A,10.0,1.328755911995137,0.0003665638681286009,0.002428869633102985,9.79647086966519e-07,0.00016534741824207868,4.4169022911434725e-08
dcll_Li90.0_wedgeA_Th232_025.00kgm3_8e4x25,A,25.0,1.3245110745965332,0.0006375314597263299,0.0060546834237900984,3.796862105774817e-06,0.0004108520399046961,2.469139915886903e-07
dcll_Li90.0_wedgeA_Th232_050.00kgm3_8e4x25,A,50.0,1.319787102602406,0.0008831213837432936,0.012060840353320198,1.0824002755722208e-05,0.0008156858092475922,4.4132856865932175e-07
dcll_Li90.0_wedgeA_Th232_075.00kgm3_8e4x25,A,75.0,1.3148659341425122,0.0008917705624458298,0.01804121545300478,1.7714094968001128e-05,0.0012129709663452593,6.570722006954817e-07
dcll_Li90.0_wedgeA_Th232_100.00kgm3_8e4x25,A,100.0,1.3080554428553537,0.0010524506481407597,0.023942727421137292,2.4101192222088204e-05,0.0016025253128139421,8.436013123903773e-07
dcll_Li90.0_wedgeA_Th232_150.00kgm3_8e3x25,A,150.0,1.2992314592619139,0.0026598085552900354,0.03569461061941234,8.252496151802722e-05,0.002362484973649952,4.7793189465346625e-06
dcll_Li90.0_wedgeA_Th232_250.00kgm3_8e3x25,A,250.0,1.2754633925346825,0.002567075063004234,0.05850328553906543,0.00013565230700754864,0.0038066986683040756,7.119944528749365e-06
dcll_Li90.0_wedgeA_Th232_500.00kgm3_8e3x25,A,500.0,1.2143376184828987,0.0017830503745044721,0.11184900459723317,0.000193990711698076,0.007079246998711772,1.4039153971000894e-05
dcll_Li90.0_wedgeA_Th232_750.00kgm3_8e3x25,A,750.0,1.1689315405416651,0.0025299483816998043,0.16223272595004695,0.0004292740740547264,0.009859155979863851,1.7895363701457623e-05
dcll_Li90.0_wedgeA_Th232_999.99kgm3_8e3x25,A,999.99,1.1280813456035472,0.002450331898951903,0.20895360326476753,0.0005312944382880739,0.012137719583413644,2.378582581586896e-05
dcll_Li90.0_wedgeC_Th232_000.10kgm3_4e6x25,C,0.1,1.3353466214812701,0.0001250560166570709,2.5452415896808986e-05,3.451167791222904e-08,1.8483734702828256e-06,1.555131750460485e-08
dcll_Li90.0_wedgeC_Th232_000.50kgm3_4e6x25,C,0.5,1.3334965482189853,9.938802292704601e-05,0.00012762141090626473,7.982016537398719e-08,9.05848448345303e-06,3.498600867539068e-08
dcll_Li90.0_wedgeC_Th232_001.00kgm3_4e6x25,C,1.0,1.332668984573084,0.00010526827110579493,0.0002556095970070429,1.2775665836178365e-07,1.801595862972734e-05,4.706709119641064e-08
dcll_Li90.0_wedgeC_Th232_010.00kgm3_4e5x25,C,10.0,1.3283935226396577,0.0004605043245643557,0.002562029079112836,1.8500769093580106e-06,0.00017808774168493157,3.786018317441153e-07
dcll_Li90.0_wedgeC_Th232_025.00kgm3_8e4x25,C,25.0,1.3257854235396505,0.0010645660109259774,0.006413712202812346,5.420095141111171e-06,0.0004422822078361326,1.3967531099453844e-06
dcll_Li90.0_wedgeC_Th232_050.00kgm3_8e4x25,C,50.0,1.319335709499924,0.0009586268756102339,0.012783902770127229,1.14752038724967e-05,0.0008759932225874172,2.124896516779273e-06
dcll_Li90.0_wedgeC_Th232_075.00kgm3_8e4x25,C,75.0,1.3112975324460845,0.0007815029627942546,0.019051467947753708,1.142979600052834e-05,0.0013016696026088212,2.2955550158877037e-06
dcll_Li90.0_wedgeC_Th232_100.00kgm3_8e4x25,C,100.0,1.3068009236891927,0.0011966142360113044,0.02540407527383343,2.687158182263888e-05,0.0017192967813367951,2.5653488738575357e-06
dcll_Li90.0_wedgeC_Th232_150.00kgm3_8e3x25,C,150.0,1.299035208341685,0.0023388362534294323,0.03796197392661336,0.00010290537234383356,0.0025326367860936476,1.5294938977708348e-05
dcll_Li90.0_wedgeC_Th232_250.00kgm3_8e3x25,C,250.0,1.2750840133112193,0.003166843725588295,0.06244453383196631,0.00018469627006352635,0.00406594125013788,1.923327196388721e-05
dcll_Li90.0_wedgeC_Th232_500.00kgm3_8e3x25,C,500.0,1.2162928747352872,0.0017844257198032726,0.12022833300143758,0.0002566132659186059,0.007454520736925756,2.748364298133615e-05
dcll_Li90.0_wedgeC_Th232_750.00kgm3_8e3x25,C,750.0,1.162301699965639,0.002353706360570727,0.17320049362348086,0.00034421587306751416,0.01038666200553352,3.504591015234924e-05
dcll_Li90.0_wedgeC_Th232_999.99kgm3_8e3x25,C,999.99,1.1159074766764696,0.0023868755353182937,0.22322425262535592,0.0005654598280159695,0.01290187353212669,3.981856238763891e-05
