cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","U238(n,fis)","U238(n,fis)_stdev"
11,3.050474350954271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.120632446768126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.551566868645438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.102270882636671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,268.34931605093453,0.8135383628535574,0.008837189368274222,0.0,0.0,0.0,0.0,0.811730285984096,0.008817225899220618,0.0018080768694613834,1.996346905360385e-05,0.0,0.0
23,27.553676843058742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,120.13335373436479,0.4372694710430099,0.00497219940059522,0.0,0.0,0.0,0.0,0.43707611974000543,0.004964647746489439,0.00019335130300446966,7.5516541057810515e-06,0.0,0.0
24,10.712488680655433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.6511514590314895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.641198695165325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.652839869998444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.124174875922016,0.1281025783602354,0.004561033658422013,0.0,0.0,0.0,0.0,0.12808687725113269,0.004558781448945096,1.5701109102707094e-05,2.2522094769167784e-06,0.0,0.0
26,7.308196715223173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.7172322607500378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.568277169547087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,541.2368509036555,1.3789104122568028,0.018370422427291457,0.0,0.0,0.0,0.0,1.3768932829752343,0.018340655094655153,0.0020171292815685605,2.976733263630168e-05,0.0,0.0
