cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr
11,3.085412541765165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.168514353988217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.795378227438572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.183233588863795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,268.87963707344534,0.8097431676870761,0.0002713326340466314,0.0017916126690722977,5.68698257136293e-07,0.8115347803561485,0.0002719013323037677,0.0017916126690722977,0.0001621933588889905,0.0003488148678686115,1.789441914158506e-07,1.548396137893055
23,26.86929321231448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,112.71722984314196,0.39069684961339207,0.00017596142955784194,0.000181456274864386,1.8842389432799427e-07,0.39087830588825645,0.00017614985345216992,0.000181456274864386,2.5707634015548785e-05,0.00018066635367520523,9.364346282143326e-08,0.8019815381931473
24,6.03556021145425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.150108326930413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,25.79548067593574,0.09756728893755715,8.728401713990932e-05,1.5439211294026403e-05,7.95609875513215e-08,0.09758272814885117,8.736357812746064e-05,1.5439211294026403e-05,2.969998841155479e-06,4.750156637492338e-05,5.439544134832556e-08,0.21086039814824237
26,2.8679261148901998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,496.54777417016817,1.2980073062380253,0.0005345780807443827,0.00198850815523071,8.366831390156088e-07,1.2999958143932562,0.0005354147638833983,0.00198850815523071,0.00019087099174569476,0.0005769827879187401,3.2698309558560945e-07,2.5612380742344447
