cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr
11,3.165628133748929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,10.660013912155767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,20.97046719499695,0.07353492547863415,0.00017711446359887836,0.019296768367336972,2.3697168002373207e-05,0.09283169384597112,0.00020081163160125156,0.019296768367336972,0.0004375687590556604,0.003004359801495855,1.561145442075228e-05,13.336412928446556
22,28.927235396784397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,171.53401779038867,0.9530343479580236,0.0013875035930978525,0.08498430633062745,9.296063416631601e-05,1.038018654288651,0.0014804642272641686,0.08498430633062745,0.0019535928998224766,0.04235875050547012,0.00018020738283413957,188.03133619106674
23,0.015593464903072429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,235.2729558929778,1.0265692734366576,0.001564618056696731,0.10428107469796442,0.00011665780216868921,1.1308503481346222,0.00168127585886542,0.10428107469796442,0.002391161658878137,0.04536311030696597,0.00019581883725489186,201.3677491195133
