cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,heat_eV_src,heat_eV_src_stdev
11,3.0660435987922385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451315.58937088103,46.81477859367065
21,6.131341393617768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586444.5369875885,52.19206060100181
12,30.603328659416853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488886.31564353575,43.568954998555945
22,6.143403189324875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539946.0331103245,46.27546630705699
31,269.2791838470747,0.7898574308359256,7.821075332986126e-05,0.0017173251517349055,1.8438601315951022e-07,0.7915747559876606,7.839513934302078e-05,0.0019409151486891956,1.7183804833131235e-07,0.02052018335248289,2.426109417441833e-06,88.79846158714042,0.010498677336859233,9452047.465156289,599.4860556629682
23,27.369494081228005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413217.2029058103,91.6450478122528
32,120.17314670820423,0.4202281321748959,6.348754777930707e-05,0.00018183292556098272,8.403039618415637e-08,0.4204099651004569,6.357157817549123e-05,0.0002884797173240349,9.29721512903011e-08,0.011800058336989357,2.3477413042002114e-06,51.063239005434184,0.010159549378117052,3010777.2284462694,426.14061001461715
24,10.94059761940499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74061.10343978228,43.88246192317178
41,1.726879310988182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25532.6113446661,20.91033045616542
42,12.46317915570354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144942.8092680533,94.89368559490401
25,7.559417277224332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63870.68592686857,32.696393716420275
33,30.9196243899655,0.12216209187955225,3.608650211182603e-05,1.6225787275167554e-05,2.2138576138774074e-08,0.12217831766682742,3.61086406879648e-05,3.277133465376737e-05,2.5069447518360997e-08,0.0036266568800140436,1.548078047786262e-06,15.693892501730467,0.0066991091989249,743543.9994321263,212.10812436267457
26,6.763873634041098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40486.77172587939,32.47212747064992
43,1.09038520146302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14761.824399482917,18.086437538455396
44,7.9307045872320465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90300.46126853554,69.26896010005244
total,542.1606026536815,1.332247654890374,0.00017778480322099436,0.0019153838645710557,2.9055498548244063e-07,1.3341630387549448,0.00017807535820647677,0.0022621662006669977,2.8987964713997446e-07,0.035946898569486296,6.321928769428306e-06,155.55559309430507,0.027357335913901184,16140134.63842609,1830.441495152617
