cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","U238(n,fis)","U238(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.0639619638467956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.912023423290634,0.12390288345331633,0.0,0.0
21,6.134051544433812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.24215406157876,0.1378752263347541,0.0,0.0
12,30.64287497791258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.72458823941574,0.08755400905359292,0.0,0.0
22,6.168768111827495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.82683729901743,0.09088047564282403,0.0,0.0
31,277.19329160835133,0.6802059322454426,0.0026304130196454366,0.09965331461373302,0.0005284974666069582,442.45074337928804,2.3464758586373695,0.6788100870015897,0.0026259255287395017,0.0013958452438527856,4.487490905934789e-06,0.038063822595697905,0.0001172602919413235,980.568701040465,2.3776534631722903,465.88805607658065,1.3217686728965046
23,28.936534676398793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.862683510132868,0.1457220991220548,0.0,0.0
32,128.87361021037006,0.3783577413110183,0.002018259651487467,0.06005696906206166,0.00034943161898380213,266.646932012377,1.5514414164634862,0.37817244161182634,0.002016361740347439,0.00018529969919197652,1.8979111400279475e-06,0.00701904340085561,5.101510767461169e-05,282.3432308141847,1.123749205082162,105.8579224398026,0.5728683720839489
24,11.028743438149935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.197394539410874,0.10709259951699567,0.0,0.0
41,1.8106110133288797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8134676004837629,0.04565459791273328,0.0,0.0
42,14.293865394027305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.696859900922744,0.19638443387619794,0.0,0.0
25,8.385301745855692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8270913469046315,0.059669559287610634,0.0,0.0
33,35.091643503212445,0.11756609861006989,0.0010631330230307955,0.019609313103452427,0.00020769913601175927,87.06338763953264,0.9221633769417505,0.11754481783063904,0.0010623766051503286,2.1280779430857153e-05,7.564178804669733e-07,0.0010118526981288203,1.8467021449457544e-05,66.69628934755195,0.47648250897260525,20.086694371455057,0.19980530338131774
26,7.767301898309078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.228269927100517,0.06026938691778526,0.0,0.0
43,1.2703512677754072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2063782833437695,0.0331494757843924,0.0,0.0
44,9.079429725273561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.026607188879207,0.1449851087990867,0.0,0.0
total,569.7403410790732,1.1761297721665307,0.005711805694163699,0.1793195967792471,0.0010856282216025197,796.1610630311976,4.820080652042606,1.174527346444055,0.005704663874237269,0.0016024257224756192,7.14181992642971e-06,0.04609471869468233,0.00018674242106539273,1510.1725765226827,5.211025032928401,591.8326728878384,2.0944423483617713
