 ====================>     TALLY 1: REACTION_RATES     <====================

 Cell 2
   Total Material
     (n,2n)                               0.000144847 +/- 4.87994e-11
     (n,3n)                               0 +/- 0
     (n,elastic)                          0.00465257 +/- 9.49238e-09
     Absorption Rate                      4.67302e-05 +/- 1.21448e-11
     (n,gamma)                            1.89496e-08 +/- 4.12078e-14
     (n,Xt)                               0.00138234 +/- 1.46513e-09
     Fission Rate                         0 +/- 0
     (n,n1)                               0.000307744 +/- 1.0247e-09
     (n,n2)                               2.10886e-06 +/- 5.88409e-11
     (n,n3)                               5.99997e-06 +/- 1.1839e-10
     (n,n4)                               1.0686e-05 +/- 1.54115e-10
     (n,n5)                               1.50032e-05 +/- 1.73219e-10
     (n,n6)                               0.000511854 +/- 6.38226e-10
     (n,n7)                               2.17961e-05 +/- 1.28204e-10
     (n,n8)                               2.69012e-05 +/- 8.28732e-11
     (n,n9)                               3.5088e-05 +/- 8.73318e-11
     (n,n10)                              4.04983e-05 +/- 9.42708e-11
     (n,n11)                              4.75843e-05 +/- 9.68419e-11
     (n,n12)                              5.18816e-05 +/- 9.01522e-11
     (n,n13)                              5.25749e-05 +/- 7.40747e-11
     (n,n14)                              5.09933e-05 +/- 4.99493e-11
     (n,n15)                              5.40386e-05 +/- 3.11351e-11
     (n,n16)                              6.02639e-05 +/- 2.33883e-11
     (n,n17)                              6.74463e-05 +/- 2.28722e-11
     (n,n18)                              7.54094e-05 +/- 2.31714e-11
     (n,n19)                              8.24957e-05 +/- 2.48683e-11
     (n,n20)                              8.71515e-05 +/- 2.76804e-11
     (n,n21)                              7.25627e-05 +/- 2.84375e-11
     (n,n22)                              1.00059e-05 +/- 4.61992e-12
     (n,n23)                              0 +/- 0
     (n,n24)                              0 +/- 0
     (n,n25)                              0 +/- 0
     (n,n26)                              0 +/- 0
     (n,n27)                              0 +/- 0
     (n,n28)                              0 +/- 0
     (n,n29)                              0 +/- 0
     (n,n30)                              0 +/- 0
     (n,n31)                              0 +/- 0
     (n,n32)                              0 +/- 0
     (n,n33)                              0 +/- 0
     (n,n34)                              0 +/- 0
     (n,n35)                              0 +/- 0
     (n,n36)                              0 +/- 0
     (n,n37)                              0 +/- 0
