fertile_kg/m3,energy low [eV],energy high [eV],energy mid [eV],U235_ng,U235_ng_stdev,U238_ng,U238_ng_stdev,Th232_ng,Th232_ng_stdev,U235_fis,U235_fis_stdev,U238_fis,U238_fis_stdev,Th232_fis,Th232_fis_stdev,Li6_nt,Li6_nt_stdev,Li7_nt,Li7_nt_stdev,Be9_n2n,Be9_n2n_stdev,Pb_n2n,Pb_n2n_stdev
100,0.009510395652077312,0.009957763817635065,0.00973407973485619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.009957763817635065,0.010426176141908838,0.010191969979771951,1.7145093671863065e-12,1.7145093671863063e-12,5.860860910627176e-12,5.860860910627177e-12,0.0,0.0,9.51826413646644e-12,9.51826413646644e-12,4.045507674020805e-17,4.045507674020805e-17,0.0,0.0,1.428412472041529e-08,1.428412472041529e-08,0.0,0.0,0.0,0.0,0.0,0.0
100,0.010426176141908838,0.01091662254025284,0.010671399341080839,4.9467827462354974e-12,3.478449969511457e-12,1.6936980995721335e-11,1.1912243880969814e-11,0.0,0.0,2.7494094825653387e-11,1.933617507837448e-11,1.169080742441361e-16,8.22245785884474e-17,0.0,0.0,4.1277721677142074e-08,2.9031640664100968e-08,0.0,0.0,0.0,0.0,0.0,0.0
100,0.01091662254025284,0.011430139493551475,0.011173381016902156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.011430139493551475,0.011967812238657767,0.01169897586610462,2.4699304055145756e-12,1.7026227833713213e-12,8.517631529310254e-12,5.8710721339997905e-12,0.0,0.0,1.3799864426555523e-11,9.512238574119707e-12,5.879138007450599e-17,4.052400656614627e-17,0.0,0.0,2.0755927920552976e-08,1.4306762394467734e-08,0.0,0.0,0.0,0.0,0.0,0.0
100,0.011967812238657767,0.012530777061869775,0.01224929465026377,2.6342930385646785e-13,2.634293038564678e-13,9.098855904110373e-13,9.098855904110373e-13,0.0,0.0,1.4735364078815226e-12,1.4735364078815226e-12,6.280273104408929e-18,6.28027310440893e-18,0.0,0.0,2.217161881951659e-09,2.217161881951659e-09,0.0,0.0,0.0,0.0,0.0,0.0
100,0.012530777061869775,0.01312022370029195,0.012825500381080861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.01312022370029195,0.013737397856156318,0.013428810778224134,7.967645460189214e-13,7.967645460189214e-13,2.7795324151921354e-12,2.7795324151921354e-12,0.0,0.0,4.48983053759916e-12,4.489830537599159e-12,1.9184228380401444e-17,1.9184228380401444e-17,0.0,0.0,6.771775218209395e-09,6.771775218209396e-09,0.0,0.0,0.0,0.0,0.0,0.0
100,0.013737397856156318,0.014383603829417092,0.014060500842786705,3.2513382483236013e-12,2.131358902474362e-12,1.1374223821402076e-11,7.459140672134406e-12,0.0,0.0,1.8358377590956055e-11,1.2038043238207774e-11,7.850352697207325e-17,5.148200331215349e-17,0.0,0.0,2.770964147080481e-08,1.8171666786021348e-08,0.0,0.0,0.0,0.0,0.0,0.0
100,0.014383603829417092,0.015060207274182318,0.014721905551799705,7.608171298196041e-13,7.608171298196042e-13,2.668586240160982e-12,2.668586240160982e-12,0.0,0.0,4.304673398458576e-12,4.304673398458575e-12,1.841803356224406e-17,1.841803356224406e-17,0.0,0.0,6.500819104947242e-09,6.500819104947242e-09,0.0,0.0,0.0,0.0,0.0,0.0
