cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,heat_eV_src,heat_eV_src_stdev
11,3.0989977966834332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450051.9286611732,45.25830028906892
21,6.196790626430512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587649.7403459476,54.34271392436419
12,30.93211435129391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490270.6123295672,43.87495474659482
22,6.209877581161671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541220.327719818,43.09012791616061
31,270.9874511479049,0.8226449280202333,8.128945351889572e-05,0.0017902309505856509,1.7766671190248037e-07,0.8244351589708189,8.14671202307982e-05,5.371706437170225e-06,4.4543156832112015e-10,1.1764985191486311e-05,1.5252416419936147e-09,0.05222500332104007,6.770577992409861e-06,9148686.437756944,568.4939169850368
23,27.41777825245687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401402.1321059853,84.74787114826903
32,120.10167674380752,0.433983938713031,5.660579733426344e-05,0.00017928643308266244,7.572592318669777e-08,0.43416322514611366,5.6681523257450134e-05,8.456300825707451e-07,2.365763066235019e-10,6.905144527263855e-06,1.995838627027713e-09,0.030652073929474954,8.85956737116932e-06,2947130.0532425465,326.3990200548578
24,10.954476497617783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71414.53213219231,42.29112544507104
41,1.7312434309094522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24647.438680379604,18.062180764676246
42,12.535748838361284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140643.19652980522,101.19018593067945
25,7.568561606993085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61436.401625508675,31.13609364178133
33,31.336332985941464,0.1289441519970463,3.8149239284430354e-05,1.5194996905862892e-05,2.205919177008939e-08,0.12895934699395217,3.8171298476200445e-05,9.895423932940306e-08,7.251298754425645e-11,2.235888929450777e-06,1.5159855726322713e-09,0.009925155439255737,6.729490116371926e-06,750761.3499775078,212.87096802783947
26,7.361939861053936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42405.86773965072,32.282902468841954
43,0.7243020761823267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9322.089421741146,11.692457271719523
44,7.181006407704518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70863.85714285148,59.5317543777244
total,544.3382982045026,1.3855730187303106,0.00017604449013758952,0.0019847123805741764,2.754518268592675e-07,1.3875577311108849,0.00017631994196444877,6.316290759070373e-06,7.545208624888785e-10,2.0906018648200943e-05,5.037065841653599e-09,0.09280223268977075,2.2359635479951105e-05,15737905.96541162,1675.2645729926855
