energy_eV,"Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","Be9(n,elastic)","Be9(n,absorption)","C12(n,elastic)","C12(n,absorption)","C13(n,elastic)","C13(n,absorption)","O16(n,elastic)","O16(n,absorption)","O17(n,elastic)","O17(n,absorption)","O18(n,elastic)","O18(n,absorption)","Si28(n,elastic)","Si28(n,absorption)","Si29(n,elastic)","Si29(n,absorption)","Si30(n,elastic)","Si30(n,absorption)","Fe54(n,elastic)","Fe54(n,inelastic)","Fe54(n,absorption)","Fe56(n,elastic)","Fe56(n,inelastic)","Fe56(n,absorption)","Fe57(n,elastic)","Fe57(n,inelastic)","Fe57(n,absorption)","Fe58(n,elastic)","Fe58(n,inelastic)","Fe58(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)"
1,0.00240658119,0,0.477252313,0.00210069944,0,0,0.239120704,5.22286763e-05,0.0100447168,1.29541252e-06,0.000135836042,5.64424604e-09,0.0283019496,2.02142856e-07,1.05977325e-05,1.07430024e-07,4.65540286e-05,3.81115785e-10,0.00597432369,9.32584692e-05,0.000435832741,3.02693753e-06,0.000258506921,1.80194719e-06,0.00109650874,0,0.000185234416,0.0981577663,0,0.00332206029,0.00011308545,0,7.39078328e-05,0.000186436314,0,5.21012757e-06,9.64203739e-05,0,0,8.78014215e-05,0.000533473647,0.00958736155,0,0,0.000524372701,3.39482718e-09
1.574562,0.0024008068,0,0.380517076,0.00210007341,0,0,0.238744422,4.17156892e-05,0.0100328681,1.03373722e-06,0.000135688965,4.50544376e-09,0.0282768881,1.62485521e-07,1.05888807e-05,8.56694406e-08,4.65179663e-05,3.05540913e-10,0.00597126029,7.43336093e-05,0.000435618832,2.41357187e-06,0.000258384075,1.43678192e-06,0.00109597898,0,0.000147694151,0.0981139651,0,0.00264745677,0.000113006604,0,5.89131647e-05,0.000186363662,0,4.1529166e-06,9.50729046e-05,0,0,3.07204399e-05,0.000113346106,0.00948247383,0,0,0.000473730682,2.86844079e-09
2.100626,0.00239824236,0,0.329489577,0.00210071875,0,0,0.238579848,3.61631008e-05,0.0100276289,8.94482909e-07,0.000135624529,3.90443488e-09,0.0282659207,1.41489892e-07,1.0585005e-05,7.41645871e-08,4.65014947e-05,2.63767081e-10,0.00596991655,6.43766199e-05,0.000435524833,2.08863309e-06,0.00025833,1.24337736e-06,0.00109563302,0,0.000127906933,0.098085863,0,0.00229170358,0.000112947965,0,5.10075071e-05,0.000186319064,0,3.59550213e-06,9.39377588e-05,0,0,0.000146623876,0.000124857936,0.0093736813,0,0,0.000471732916,2.63426722e-09
2.718416,0.00239646657,0,0.289489572,0.00210238653,0,0,0.238467095,3.1805692e-05,0.0100240761,7.86014564e-07,0.000135579797,3.42711013e-09,0.0282582809,1.24742014e-07,1.0582357e-05,6.51629304e-08,4.64904763e-05,2.31983076e-10,0.00596898636,5.65753326e-05,0.000435461028,1.83603936e-06,0.000258293296,1.09300084e-06,0.00109528764,0,0.000112392071,0.0980582133,0,0.00201262516,0.000112885167,0,4.48071323e-05,0.000186276507,0,3.15830607e-06,8.94516525e-05,0,0,2.74464133e-05,7.02960123e-05,0.00922307782,0,0,0.000507945577,2.50846892e-09
3.335704,0.00239532609,0,0.261298521,0.00210451857,0,0,0.23839634,2.87320096e-05,0.0100218743,7.10337817e-07,0.000135552682,3.09757635e-09,0.0282536292,1.13129073e-07,1.05807014e-05,5.88320168e-08,4.64837544e-05,2.1012564e-10,0.00596839364,5.10592111e-05,0.000435421176,1.65825935e-06,0.000258270278,9.87170599e-07,0.00109497537,0,0.00010145942,0.0980334246,0,0.00181586181,0.000112825605,0,4.04366796e-05,0.000186239106,0,2.85012759e-06,8.83051827e-05,0,0,5.04699735e-05,0.000140392509,0.00903590404,0,0,0.000592208089,2.49380212e-09
3.754884,0.00239475924,0,0.24644433,0.00210611498,0,0,0.238362088,2.71112348e-05,0.0100207862,6.69891771e-07,0.000135539329,2.92145137e-09,0.0282513297,1.06907127e-07,1.05798998e-05,5.54843828e-08,4.64799512e-05,1.96870473e-10,0.00596809537,4.81237157e-05,0.000435401086,1.5619684e-06,0.000258258685,9.29843096e-07,0.00109477374,0,9.56983667e-05,0.098017437,0,0.00171212637,0.000112786222,0,3.81330611e-05,0.000186215384,0,2.68768364e-06,9.12762564e-05,0,0,9.17911119e-05,9.15759576e-05,0.00887666136,0,0,0.000691974342,2.54637333e-09
4.396236,0.0023940698,0,0.227700031,0.00210870681,0,0,0.238321463,2.50649657e-05,0.0100194875,6.18472597e-07,0.000135523678,2.70007083e-09,0.0282486216,9.90684549e-08,1.05789493e-05,5.12729529e-08,4.64761333e-05,1.82228849e-10,0.00596774954,4.45097918e-05,0.000435378115,1.44347247e-06,0.000258245336,8.59300318e-07,0.00109447476,0,8.84285359e-05,0.0979938476,0,0.00158116675,0.000112726855,0,3.52254348e-05,0.000186180549,0,2.48264057e-06,8.51144092e-05,0,0,2.03783786e-05,2.43444065e-05,0.008547506,0,0,0.00165553928,2.76362209e-09
4.794886,0.00239372628,0,0.218012855,0.00211037526,0,0,0.238301696,2.40069954e-05,0.0100188648,5.92128602e-07,0.000135516208,2.58634967e-09,0.0282473203,9.50323154e-08,1.05784872e-05,4.90929917e-08,4.64740841e-05,1.74159876e-10,0.0059675751,4.261272e-05,0.000435366931,1.3827003e-06,0.00025823884,8.23127948e-07,0.00109429281,0,8.46719262e-05,0.0979795228,0,0.00151346283,0.000112690371,0,3.37225607e-05,0.000186159576,0,2.37665522e-06,8.10539755e-05,0,0,0.000657222834,0.000113311675,0.00825170401,0,0,0.00131594447,3.04354398e-09
5.331995,0.00239333887,0,0.206643852,0.0021126731,0,0,0.238280118,2.27923417e-05,0.0100181866,5.62005418e-07,0.000135508179,2.45712273e-09,0.0282459115,9.0438319e-08,1.05779763e-05,4.65511631e-08,4.64721504e-05,1.66043838e-10,0.00596737787,4.03973884e-05,0.0004353544,1.31073765e-06,0.000258231474,7.80288691e-07,0.00109405118,0,8.02666647e-05,0.0979605764,0,0.00143403857,0.000112641581,0,3.19598193e-05,0.000186131844,0,2.25233959e-06,8.28090292e-05,0,0,2.93889466e-05,8.30028364e-05,0.00762453404,0,0,0.00233319609,3.8336e-09
6.13634,0.00239288573,0,0.192643934,0.00211619968,0,0,0.23825401,2.12429459e-05,0.0100173667,5.23517106e-07,0.000135498041,2.28579719e-09,0.0282441206,8.43394611e-08,1.05773729e-05,4.33803774e-08,4.64696501e-05,1.55237617e-10,0.00596714037,3.7655453e-05,0.000435339802,1.22198213e-06,0.00025822293,7.27449869e-07,0.00109369597,0,7.48370235e-05,0.097932707,0,0.0013360869,0.000112569094,0,2.97865019e-05,0.000186091259,0,2.09906192e-06,7.37851168e-05,0,0,0.000157346245,0.000339722472,0.00484860827,0,0,0.0134183257,1.06741665e-08
