energy_eV,"F19(n,elastic)","F19(n,absorption)","Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","Be9(n,elastic)","Be9(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)"
1,0.173432601,7.23695268e-05,0.00134050085,0,0.265836503,0.0216472246,0,0,0.0734133638,1.60349261e-05,2.29661886e-08,0,0,2.09132565e-08,1.27067091e-07,2.27927782e-06,0,0,1.24663189e-07,8.07078594e-13
1.544202,0.173307641,5.82357315e-05,0.0013373956,0,0.214021251,0.0216408117,0,0,0.0733017953,1.29312339e-05,2.26983883e-08,0,0,7.57880375e-09,2.76872395e-08,2.25573614e-06,0,0,1.12895911e-07,6.86378853e-13
2.09734,0.173246008,4.99837896e-05,0.00133586277,0,0.183674982,0.0216473551,0,0,0.0732475522,1.11112454e-05,2.23796522e-08,0,0,3.71883301e-08,3.04624427e-08,2.22864922e-06,0,0,1.12131713e-07,6.26521286e-13
2.792513,0.173204657,4.33422067e-05,0.00133477714,0,0.159102015,0.0216670604,0,0,0.0732095949,9.63578879e-06,2.11935853e-08,0,0,7.10328704e-09,2.61997204e-08,2.18791506e-06,0,0,1.22419985e-07,5.94510159e-13
3.417528,0.173181181,3.91867978e-05,0.00133416457,0,0.14381487,0.02168973,0,0,0.0731887243,8.71696234e-06,2.07125322e-08,0,0,1.41196142e-08,3.95283888e-08,2.14145084e-06,0,0,1.44509559e-07,5.94148797e-13
3.80687,0.173168779,3.71037792e-05,0.0013338789,0,0.136294931,0.0217051538,0,0,0.0731792348,8.26469174e-06,2.1466515e-08,0,0,1.23165979e-08,1.03272801e-08,2.10506302e-06,0,0,1.68251596e-07,6.07851264e-13
4.493651,0.173156083,3.41647369e-05,0.00133348206,0,0.125445433,0.0217339018,0,0,0.0731664028,7.61180941e-06,2.00880961e-08,0,0,5.95210586e-09,6.23481774e-09,2.01692285e-06,0,0,3.044447e-07,6.69952833e-13
4.879702,0.173149195,3.28121379e-05,0.00133330328,0,0.120368342,0.0217506343,0,0,0.073160743,7.30619217e-06,2.09361282e-08,0,0,1.92158838e-07,2.88954114e-08,1.94348548e-06,0,0,3.3693994e-07,7.43262046e-13
5.509013,0.173139957,3.08627072e-05,0.00133306433,0,0.113262581,0.0217785444,0,0,0.0731532735,6.88162288e-06,1.94765302e-08,0,0,7.24451212e-09,2.81088067e-08,1.73769492e-06,0,0,7.15926521e-07,1.02791915e-12
6.174128,0.173134449,2.9158527e-05,0.00133286161,0,0.106971177,0.0218086742,0,0,0.0731469312,6.50090714e-06,1.74117193e-08,0,0,5.22534809e-08,9.10193031e-08,1.08012412e-06,0,0,3.70221025e-06,2.82347766e-12
