energy_eV,"Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","C12(n,elastic)","C12(n,absorption)","C13(n,elastic)","C13(n,absorption)","O16(n,elastic)","O16(n,absorption)","O17(n,elastic)","O17(n,absorption)","O18(n,elastic)","O18(n,absorption)","Si28(n,elastic)","Si28(n,absorption)","Si29(n,elastic)","Si29(n,absorption)","Si30(n,elastic)","Si30(n,absorption)","Fe54(n,elastic)","Fe54(n,inelastic)","Fe54(n,absorption)","Fe56(n,elastic)","Fe56(n,inelastic)","Fe56(n,absorption)","Fe57(n,elastic)","Fe57(n,inelastic)","Fe57(n,absorption)","Fe58(n,elastic)","Fe58(n,inelastic)","Fe58(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)","Pb204(n,elastic)","Pb204(n,inelastic)","Pb204(n,2n)","Pb204(n,absorption)","Pb206(n,elastic)","Pb206(n,inelastic)","Pb206(n,2n)","Pb206(n,absorption)","Pb207(n,elastic)","Pb207(n,inelastic)","Pb207(n,2n)","Pb207(n,absorption)","Pb208(n,elastic)","Pb208(n,inelastic)","Pb208(n,2n)","Pb208(n,absorption)"
6.36919,0.00302772132,0,0.239334346,0.000446510807,0,0,0.0172098762,8.82735674e-07,0.000232786627,3.85331312e-09,1.5490421e-06,4.54168732e-12,5.80114557e-10,2.33605914e-12,2.5486161e-09,8.34252689e-15,0.00639452823,3.96028242e-05,0.000466521262,1.28553179e-06,0.000276718324,7.6528109e-07,0.000176385298,0,1.18515524e-05,0.0157942413,0,0.000211546309,1.81528554e-05,0,4.71661772e-06,3.00127131e-05,0,3.3237597e-07,1.72382898e-08,0,0,4.08447653e-07,1.44802334e-07,4.37368393e-07,0,0,8.87721501e-06,5.33403459e-12,0.00344133044,0,0,1.282225e-05,0.0573263126,0,0,8.84473296e-06,0.0521475133,0,0,0.000217849654,0.130020673,0,0,1.85054633e-07
6.532832,0.00302762828,0,0.236388911,0.000446665012,0,0,0.01720966,8.71900937e-07,0.000232784305,3.80913124e-09,1.54902874e-06,4.49130799e-12,5.80109482e-10,2.30733162e-12,2.5485882e-09,8.2219489e-15,0.00639448673,3.91079809e-05,0.00046651875,1.26944182e-06,0.000276716826,7.55703515e-07,0.000176373756,0,1.1706015e-05,0.0157933405,0,0.000208918878,1.81504927e-05,0,4.65834029e-06,3.00114068e-05,0,3.28265644e-07,1.87902189e-08,0,0,9.15405608e-08,3.34369435e-08,6.6577351e-06,0,0,0.000146717731,6.70061676e-11,0.00344131435,0,0,1.26579882e-05,0.0573262295,0,0,8.73583892e-06,0.0521474498,0,0,0.000215170512,0.130020553,0,0,1.83343132e-07
6.759896,0.00302749917,0,0.232301927,0.00044687898,0,0,0.0172093599,8.56867028e-07,0.000232781084,3.74782597e-09,1.54901021e-06,4.42140336e-12,5.80102441e-10,2.26747029e-12,2.54856356e-09,8.09633877e-15,0.0063944305,3.84368288e-05,0.000466515354,1.24751944e-06,0.000276714796,7.42654065e-07,0.000176357741,0,1.15040723e-05,0.0157920907,0,0.000205273146,1.81472144e-05,0,4.57747652e-06,3.00095941e-05,0,3.22562298e-07,1.61811285e-08,0,0,1.26456185e-08,1.09453745e-08,3.69709304e-05,0,0,0.000449289646,1.92357045e-10,0.00344129007,0,0,1.24465262e-05,0.0573261141,0,0,8.58474131e-06,0.0521473616,0,0,0.000211453027,0.130020385,0,0,1.80968313e-07
6.949413,0.00302739715,0,0.229062066,0.000447058274,0,0,0.0172091258,8.44949568e-07,0.000232778395,3.69665807e-09,1.54899474e-06,4.36305806e-12,5.80096933e-10,2.2358429e-12,2.54854343e-09,7.99278767e-15,0.00639438695,3.79157921e-05,0.00046651286,1.23074392e-06,0.000276713289,7.32667806e-07,0.000176344424,0,1.13439895e-05,0.0157910506,0,0.000202382553,1.81444829e-05,0,4.51336816e-06,3.00080865e-05,0,3.18040608e-07,1.50431307e-08,0,0,4.13957745e-08,4.28118648e-08,4.81953383e-06,0,0,1.13600789e-05,3.86407709e-12,0.00344127029,0,0,1.22779573e-05,0.0573260116,0,0,8.46495634e-06,0.052147288,0,0,0.00020850599,0.130020246,0,0,1.7898619e-07
7.29169,0.00302722891,0,0.223689282,0.000447384061,0,0,0.0172087489,8.25187333e-07,0.000232773539,3.60424632e-09,1.5489668e-06,4.2576836e-12,5.80088017e-10,2.1833109e-12,2.54850707e-09,7.80576932e-15,0.00639431215,3.70130349e-05,0.00046650847,1.2011747e-06,0.000276710642,7.15065656e-07,0.000176320511,0,1.10785255e-05,0.0157891809,0,0.000197587434,1.81395626e-05,0,4.40703864e-06,3.00053784e-05,0,3.10540664e-07,1.64585832e-08,0,0,1.56910155e-08,1.10467546e-08,2.88754199e-06,0,0,1.78939533e-06,4.78926466e-13,0.00344123663,0,0,1.19898871e-05,0.0573258087,0,0,8.26629514e-06,0.0521471552,0,0,0.000203618551,0.130019994,0,0,1.7540638e-07
7.964758,0.00302692487,0,0.213986459,0.000448027822,0,0,0.0172080817,7.89091571e-07,0.000232765491,3.44311949e-09,1.54891982e-06,4.07365929e-12,5.80072444e-10,2.08844862e-12,2.54843558e-09,7.4380085e-15,0.00639417997,3.54049672e-05,0.000466500987,1.14963879e-06,0.000276706196,6.84382899e-07,0.000176273674,0,1.05989892e-05,0.0157855139,0,0.000188922572,1.8129903e-05,0,4.21492636e-06,3.00000889e-05,0,2.96989908e-07,1.43684238e-08,0,0,6.19322251e-09,6.69351496e-09,2.28464657e-06,0,0,4.01889827e-07,1.72750477e-13,0.00344117042,0,0,1.14665645e-05,0.0573254885,0,0,7.90739807e-06,0.05214693,0,0,0.000194789257,0.130019584,0,0,1.69610743e-07
8.602458,0.00302667044,0,0.205893134,0.000448642204,0,0,0.0172075567,7.59613697e-07,0.000232759531,3.31468979e-09,1.54888444e-06,3.92676879e-12,5.80059943e-10,2.00970955e-12,2.54838694e-09,7.17039997e-15,0.00639407114,3.40850756e-05,0.000466494954,1.10609439e-06,0.000276702594,6.58460738e-07,0.00017622944,0,1.01990668e-05,0.0157820737,0,0.000181691906,1.81207784e-05,0,4.05465388e-06,2.9995111e-05,0,2.85684272e-07,1.07589609e-08,0,0,1.05002347e-07,2.74349773e-07,2.10625779e-06,0,0,1.8807458e-07,1.69583656e-13,0.00344110473,0,0,1.10349886e-05,0.0573252185,0,0,7.60779773e-06,0.0521466948,0,0,0.000187419148,0.130019232,0,0,1.64647868e-07
9.209013,0.00302645308,0,0.199002487,0.000449216108,0,0,0.017207137,7.3501645e-07,0.000232754798,3.2074925e-09,1.5488561e-06,3.80462026e-12,5.8004976e-10,1.9425615e-12,2.54834475e-09,6.93315684e-15,0.00639397362,3.29246203e-05,0.000466489969,1.06901546e-06,0.000276699554,6.36389843e-07,0.000176187571,0,9.85868446e-06,0.0157788206,0,0.000175534323,1.81121171e-05,0,3.9182018e-06,2.99904028e-05,0,2.7605841e-07,1.83068893e-08,0,0,5.346569e-08,1.39194286e-07,2.01382162e-06,0,0,1.18121563e-07,1.83935926e-13,0.00344104802,0,0,1.06701438e-05,0.0573249618,0,0,7.35270663e-06,0.0521465307,0,0,0.000181144258,0.130018897,0,0,1.60749672e-07
9.97289,0.00302620929,0,0.191172434,0.000449806911,0,0,0.0172066388,7.05352441e-07,0.000232749193,3.07819856e-09,1.54882243e-06,3.65750485e-12,5.80038628e-10,1.86581967e-12,2.54829163e-09,6.63438002e-15,0.00639387005,3.16392078e-05,0.000466484387,1.02695942e-06,0.000276696259,6.11350564e-07,0.000176134917,0,9.47182007e-06,0.0157747278,0,0.000168534138,1.81012341e-05,0,3.76307431e-06,2.9984501e-05,0,2.65114957e-07,1.64010658e-08,0,0,1.16212185e-08,2.68057639e-08,1.93666969e-06,0,0,9.39055829e-08,2.03439854e-13,0.00344097288,0,0,1.02524751e-05,0.0573246384,0,0,7.06303091e-06,0.0521463063,0,0,0.000174019076,0.130018475,0,0,1.5617327e-07
10.34876,0.003026106,0,0.187715274,0.000449944568,0,0,0.0172064433,6.93103789e-07,0.000232747069,3.02852736e-09,1.5488103e-06,3.60459202e-12,5.80033976e-10,1.8327595e-12,2.54827449e-09,6.53299511e-15,0.00639382103,3.10749852e-05,0.00046648209,1.00841155e-06,0.000276694759,6.00309863e-07,0.000176109147,0,9.30110439e-06,0.0157727212,0,0.000165451913,1.80958852e-05,0,3.69459887e-06,2.99816108e-05,0,2.60284189e-07,1.62399246e-08,0,0,8.86633052e-09,2.97824538e-08,1.9065988e-06,0,0,3.47217874e-07,2.12763073e-13,0.00344093705,0,0,1.00708371e-05,0.0573244793,0,0,6.93521853e-06,0.0521462167,0,0,0.000170875494,0.130018331,0,0,1.54382413e-07
