energy_eV,"Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","C12(n,elastic)","C12(n,absorption)","C13(n,elastic)","C13(n,absorption)","O16(n,elastic)","O16(n,absorption)","O17(n,elastic)","O17(n,absorption)","O18(n,elastic)","O18(n,absorption)","Si28(n,elastic)","Si28(n,absorption)","Si29(n,elastic)","Si29(n,absorption)","Si30(n,elastic)","Si30(n,absorption)","Fe54(n,elastic)","Fe54(n,inelastic)","Fe54(n,absorption)","Fe56(n,elastic)","Fe56(n,inelastic)","Fe56(n,absorption)","Fe57(n,elastic)","Fe57(n,inelastic)","Fe57(n,absorption)","Fe58(n,elastic)","Fe58(n,inelastic)","Fe58(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)","Pb204(n,elastic)","Pb204(n,inelastic)","Pb204(n,2n)","Pb204(n,absorption)","Pb206(n,elastic)","Pb206(n,inelastic)","Pb206(n,2n)","Pb206(n,absorption)","Pb207(n,elastic)","Pb207(n,inelastic)","Pb207(n,2n)","Pb207(n,absorption)","Pb208(n,elastic)","Pb208(n,inelastic)","Pb208(n,2n)","Pb208(n,absorption)"
1,0.00209639262,0,0.415738406,0.00030498942,0,0,0.0273625654,3.52880132e-06,0.000370027614,1.53753515e-08,0.0106860236,7.63234816e-08,4.00140702e-06,4.05625687e-08,1.75774975e-05,1.43898648e-10,0.0101568853,0.00015854775,0.000740954691,5.14606488e-06,0.000439484917,3.06347159e-06,0.000147438409,0,2.49069312e-05,0.0131984584,0,0.000446689815,1.52056599e-05,0,9.93777153e-06,2.50685404e-05,0,7.00562518e-07,0.000127598833,0,0,0.000116192859,0.000705977505,0.0126875275,0,0,0.00069393368,4.49257735e-09,0.00236981597,0,0,2.22460032e-05,0.0394724269,0,0,1.53675058e-05,0.035906143,0,0,0.000378335251,0.0895247922,0,0,3.00250028e-07
1.531759,0.00209160762,0,0.336030473,0.000304899289,0,0,0.0273317962,2.85364152e-06,0.000369645713,1.24371031e-08,0.0106770026,6.21421955e-08,3.998226e-06,3.27912247e-08,1.7564429e-05,1.16729605e-10,0.0101519332,0.000128128356,0.00074060862,4.15972668e-06,0.000439286192,2.47625538e-06,0.000147371459,0,2.01323329e-05,0.0131929198,0,0.000360891001,1.51957471e-05,0,8.03067726e-06,2.50593384e-05,0,5.66101424e-07,0.000126234839,0,0,4.28085346e-05,0.000155595398,0.012559664,0,0,0.0006290526,3.83084049e-09,0.00236962525,0,0,1.79802723e-05,0.0394697022,0,0,1.24201937e-05,0.0359037198,0,0,0.000305788718,0.089518868,0,0,2.44230672e-07
2.090769,0.00208916039,0,0.28769885,0.000304989329,0,0,0.0273162191,2.44243331e-06,0.000369453773,1.06598349e-08,0.0106724753,5.35385081e-08,3.99662237e-06,2.80688825e-08,1.75577381e-05,9.98061976e-11,0.0101494255,0.000109706144,0.000740433553,3.55945408e-06,0.000439185477,2.11896832e-06,0.000147321455,0,1.72392021e-05,0.0131888538,0,0.000308876811,1.51873135e-05,0,6.87478662e-06,2.50528749e-05,0,4.84601742e-07,0.000124371054,0,0,0.000233355936,0.000177787771,0.0124076115,0,0,0.00062398826,3.4903661e-09,0.00236952287,0,0,1.539992e-05,0.0394682798,0,0,1.06340186e-05,0.0359024899,0,0,0.000261825038,0.0895158616,0,0,2.11020075e-07
2.668064,0.0020876842,0,0.254594232,0.000305211778,0,0,0.0273069638,2.16104759e-06,0.000369337155,9.42224804e-09,0.010669714,4.75206163e-08,3.99566528e-06,2.48331244e-08,1.75537645e-05,8.83793767e-11,0.0101479089,9.70604606e-05,0.000740329853,3.15098131e-06,0.000439125842,1.87579038e-06,0.000147277819,0,1.5256937e-05,0.0131853593,0,0.000273221029,1.51793997e-05,0,6.08260191e-06,2.50474899e-05,0,4.28743939e-07,0.000118907685,0,0,3.14413613e-05,8.32855511e-05,0.0122233766,0,0,0.000666000951,3.32680065e-09,0.00236943025,0,0,1.36287517e-05,0.0394673859,0,0,9.41003502e-06,0.0359016874,0,0,0.000231700217,0.0895139716,0,0,1.87920991e-07
3.283151,0.00208665963,0,0.22944512,0.000305515907,0,0,0.027300769,1.95041175e-06,0.000369260986,8.50507601e-09,0.0106679048,4.30422172e-08,3.99502098e-06,2.23914789e-08,1.75511439e-05,7.99650112e-11,0.0101468771,8.75093158e-05,0.000740260014,2.8423637e-06,0.000439085513,1.69207319e-06,0.000147235709,0,1.37517417e-05,0.0131820143,0,0.00024613214,1.5171392e-05,0,5.48089841e-06,2.50424355e-05,0,3.86315501e-07,0.000117927444,0,0,8.29456308e-05,0.000219480475,0.0119815334,0,0,0.000770747843,3.29611785e-09,0.00236936547,0,0,1.22868058e-05,0.0394667361,0,0,8.48043557e-06,0.0359011249,0,0,0.000208821939,0.0895127461,0,0,1.70797356e-07
3.719477,0.00208613378,0,0.215721556,0.000305755788,0,0,0.0272976025,1.83345381e-06,0.000369222111,7.99578504e-09,0.010666977,4.05490993e-08,3.99469785e-06,2.10511604e-08,1.75496492e-05,7.47555174e-11,0.0101463359,8.22100793e-05,0.000740223387,2.66826959e-06,0.000439064386,1.58842747e-06,0.000147207388,0,1.29301323e-05,0.0131797686,0,0.00023133854,1.51658708e-05,0,5.15237616e-06,2.50391002e-05,0,3.6314921e-07,0.00012190663,0,0,0.000196784767,0.000228925157,0.011766405,0,0,0.000902339743,3.36121119e-09,0.00236931727,0,0,1.15433291e-05,0.0394663913,0,0,7.97311703e-06,0.0359008617,0,0,0.000196336997,0.0895120787,0,0,1.61113725e-07
4.285078,0.00208558264,0,0.200826144,0.000306085038,0,0,0.0272943447,1.70581317e-06,0.000369182386,7.44157562e-09,0.0106660254,3.78304018e-08,3.9943669e-06,1.9599559e-08,1.75483311e-05,6.97482847e-11,0.0101457997,7.66358952e-05,0.000740187599,2.48560831e-06,0.00043904358,1.47968394e-06,0.000147171775,0,1.20384457e-05,0.0131769574,0,0.000215276869,1.51588139e-05,0,4.79575422e-06,2.50349416e-05,0,3.38000733e-07,0.000113647265,0,0,2.42501176e-05,3.03721667e-05,0.0114005228,0,0,0.00132301099,3.58626317e-09,0.00236926682,0,0,1.07547217e-05,0.039465995,0,0,7.42244131e-06,0.0359005486,0,0,0.000182785573,0.089511373,0,0,1.50831439e-07
4.713394,0.00208525049,0,0.19151756,0.000306344077,0,0,0.0272924571,1.62664891e-06,0.000369160521,7.10873761e-09,0.0106654975,3.61930633e-08,3.99417299e-06,1.86937138e-08,1.7547448e-05,6.63062899e-11,0.0101454674,7.30626422e-05,0.000740166435,2.37099306e-06,0.000439031306,1.41146069e-06,0.000147145418,0,1.148113e-05,0.0131748825,0,0.000205233282,1.51535362e-05,0,4.5728027e-06,2.50319008e-05,0,3.22277869e-07,0.000107002225,0,0,0.000224235268,6.77145493e-05,0.0110111107,0,0,0.00162859684,3.93356528e-09,0.00236923126,0,0,1.02614543e-05,0.0394657453,0,0,7.0781582e-06,0.0359003579,0,0,0.000174313583,0.0895109659,0,0,1.44887161e-07
5.144638,0.00208496765,0,0.183306051,0.000306610679,0,0,0.0272908909,1.55787025e-06,0.000369140925,6.80209729e-09,0.0106650227,3.46833606e-08,3.99401035e-06,1.78941991e-08,1.75468024e-05,6.36438916e-11,0.0101451875,6.99279285e-05,0.000740148556,2.26920204e-06,0.000439020767,1.35086999e-06,0.000147119237,0,1.09899661e-05,0.0131728259,0,0.000196378669,1.51482589e-05,0,4.37627523e-06,2.50288935e-05,0,3.08418082e-07,0.00011189209,0,0,4.68192309e-05,6.09614761e-05,0.0104368111,0,0,0.00245689657,4.59647067e-09,0.00236919752,0,0,9.82268504e-06,0.0394655277,0,0,6.77454467e-06,0.0359001684,0,0,0.000166842639,0.0895105927,0,0,1.39445283e-07
6.019194,0.00208451409,0,0.169434487,0.000307164554,0,0,0.0272883599,1.4404729e-06,0.000369110897,6.29465521e-09,0.0106642874,3.21795957e-08,3.99374889e-06,1.65370156e-08,1.7545776e-05,5.92076125e-11,0.010144726,6.46400197e-05,0.000740119811,2.09753654e-06,0.00043900392,1.24867136e-06,0.000147067127,0,1.01596996e-05,0.0131687361,0,0.000181402649,1.5137644e-05,0,4.04397017e-06,2.50229315e-05,0,2.84981833e-07,0.000100575433,0,0,9.50501468e-05,0.000255717303,0.00742281579,0,0,0.0119615642,1.07857314e-08,0.00236913053,0,0,9.07641598e-06,0.0394651395,0,0,6.26160481e-06,0.0358998699,0,0,0.000154221508,0.0895099831,0,0,1.30591451e-07
6.36919,0.00208436557,0,0.164764262,0.000307390164,0,0,0.0272875225,1.39964224e-06,0.000369100291,6.10971092e-09,0.0106640264,3.12662087e-08,3.99366613e-06,1.60820654e-08,1.75453652e-05,5.74322203e-11,0.0101445723,6.28277329e-05,0.000740110683,2.03942647e-06,0.000438998615,1.21407695e-06,0.000147046471,0,9.88023928e-06,0.013167126,0,0.000176359019,1.5133423e-05,0,3.93208504e-06,2.50205861e-05,0,2.7709063e-07,0.000118673067,0,0,0.00281186455,0.000996858586,0.00301096278,0,0,0.0611131586,3.67209424e-08,0.00236910532,0,0,8.82718505e-06,0.0394649902,0,0,6.08895432e-06,0.0358997641,0,0,0.000149973617,0.0895097618,0,0,1.27396634e-07
6.532832,0.00208430151,0,0.162736545,0.000307496322,0,0,0.0272871796,1.38246296e-06,0.00036909661,6.0396573e-09,0.0106639345,3.09193837e-08,3.99363119e-06,1.58842974e-08,1.75451732e-05,5.66021287e-11,0.0101445064,6.20426908e-05,0.000740106697,2.0139006e-06,0.000438996238,1.19888264e-06,0.000147036849,0,9.75890968e-06,0.0131663751,0,0.000174168619,1.51314533e-05,0,3.88350111e-06,2.50194971e-05,0,2.7366399e-07,0.000129356969,0,0,0.000630190076,0.000230188998,0.0458336562,0,0,1.0100447,4.61288652e-07,0.00236909424,0,0,8.71410279e-06,0.0394649329,0,0,6.01398871e-06,0.0358997203,0,0,0.000148129223,0.0895096788,0,0,1.2621839e-07
6.759896,0.00208421263,0,0.159922954,0.000307643624,0,0,0.0272867039,1.3586256e-06,0.000369091502,5.9424533e-09,0.0106638069,3.04381412e-08,3.99358271e-06,1.56098812e-08,1.75450036e-05,5.57373944e-11,0.0101444172,6.09779445e-05,0.00074010131,1.97912194e-06,0.000438993018,1.1781804e-06,0.000147023498,0,9.5905569e-06,0.0131653331,0,0.000171129295,1.51287203e-05,0,3.81608772e-06,2.5017986e-05,0,2.68909303e-07,0.000111395282,0,0,8.70558713e-05,7.53509302e-05,0.254517924,0,0,3.09303192,1.32423812e-06,0.00236907752,0,0,8.56852662e-06,0.0394648535,0,0,5.90996902e-06,0.0358996597,0,0,0.000145570005,0.0895095637,0,0,1.245835e-07
6.949413,0.0020841424,0,0.157692546,0.000307767054,0,0,0.0272863327,1.33972959e-06,0.000369087239,5.86132283e-09,0.0106637004,3.00364764e-08,3.9935448e-06,1.53921496e-08,1.7544865e-05,5.50245206e-11,0.0101443481,6.0151348e-05,0.000740097353,1.95250848e-06,0.000438990627,1.16233774e-06,0.000147012396,0,9.45710126e-06,0.013164466,0,0.000168719505,1.51264431e-05,0,3.76264273e-06,2.50167291e-05,0,2.65139723e-07,0.000103560996,0,0,0.000284979752,0.000294728502,0.0331789795,0,0,0.078205868,2.66013559e-08,0.00236906391,0,0,8.45247921e-06,0.0394647829,0,0,5.82750579e-06,0.035899609,0,0,0.000143541185,0.0895094677,0,0,1.23218953e-07
7.29169,0.00208402658,0,0.153993775,0.000307991335,0,0,0.027285735,1.30839511e-06,0.00036907954,5.71479721e-09,0.010663508,2.93110499e-08,3.99348342e-06,1.50305051e-08,1.75446147e-05,5.37370354e-11,0.0101442295,5.87191726e-05,0.000740090388,1.90559853e-06,0.000438986428,1.13441289e-06,0.00014699246,0,9.23579288e-06,0.0131629073,0,0.000164721976,1.51223413e-05,0,3.6739994e-06,2.50144715e-05,0,2.58887272e-07,0.000113305356,0,0,0.000108021211,7.60488581e-05,0.0198786231,0,0,0.0123186833,3.29705983e-09,0.00236904073,0,0,8.25416381e-06,0.0394646432,0,0,5.69074203e-06,0.0358995175,0,0,0.000140176539,0.0895092942,0,0,1.20754515e-07
