energy_eV,"Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","Be9(n,elastic)","Be9(n,absorption)","C12(n,elastic)","C12(n,absorption)","C13(n,elastic)","C13(n,absorption)","O16(n,elastic)","O16(n,absorption)","O17(n,elastic)","O17(n,absorption)","O18(n,elastic)","O18(n,absorption)","Si28(n,elastic)","Si28(n,absorption)","Si29(n,elastic)","Si29(n,absorption)","Si30(n,elastic)","Si30(n,absorption)","Fe54(n,elastic)","Fe54(n,inelastic)","Fe54(n,absorption)","Fe56(n,elastic)","Fe56(n,inelastic)","Fe56(n,absorption)","Fe57(n,elastic)","Fe57(n,inelastic)","Fe57(n,absorption)","Fe58(n,elastic)","Fe58(n,inelastic)","Fe58(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)"
6.420525,0.00289755596,0,0.228163006,0.00256419112,0,0,0.288509874,2.51545912e-05,0.000238851434,1.22041366e-08,3.23078818e-06,5.32869898e-11,0.0244448618,7.14214854e-08,9.15457339e-06,3.67223729e-08,4.02187408e-05,1.3105378e-10,0.00282100623,1.74027107e-05,0.000205810311,5.64898842e-07,0.000122076931,3.36286161e-07,0.00109357142,0,7.31968963e-05,0.0979229936,0,0.00130648287,0.000112543625,0,2.91298163e-05,0.000186077134,0,2.05274602e-06,1.23041806e-08,0,0,2.40148607e-07,7.9903933e-08,2.2061335e-07,0,0,9.3214452e-06,5.1625314e-12
6.562801,0.00289747854,0,0.225712215,0.00256496097,0,0,0.288505661,2.48865768e-05,0.000238848824,1.2073397e-08,3.23076017e-06,5.27538601e-11,0.0244446785,7.07302677e-08,9.15450376e-06,3.63282237e-08,4.02183802e-05,1.29465127e-10,0.00282099032,1.72129086e-05,0.000205809348,5.58727372e-07,0.000122076356,3.32612586e-07,0.0010935092,0,7.24123744e-05,0.097918138,0,0.00129231965,0.000112530889,0,2.88156707e-05,0.000186070093,0,2.03058923e-06,1.14409618e-08,0,0,3.49285901e-08,1.41517428e-08,9.45754386e-06,0,0,0.000179380991,8.03115486e-11
6.816665,0.0028973404,0,0.221339251,0.00256633461,0,0,0.288498144,2.44083569e-05,0.000238844168,1.18401175e-08,3.23071018e-06,5.18025931e-11,0.0244443515,6.94969234e-08,9.15437953e-06,3.56249408e-08,4.02179547e-05,1.27276191e-10,0.00282096311,1.68879491e-05,0.000205807723,5.48139201e-07,0.000122075383,3.26309827e-07,0.00109339819,0,7.10125467e-05,0.0979094741,0,0.00126704813,0.000112508164,0,2.82551387e-05,0.000186057528,0,1.99105473e-06,9.98012531e-09,0,0,8.27007449e-09,8.15372384e-09,1.00518024e-05,0,0,8.98086043e-05,3.74396882e-11
7.021619,0.00289723968,0,0.218131813,0.0025674516,0,0,0.28849279,2.40575032e-05,0.000238840857,1.16690227e-08,3.23066983e-06,5.10345993e-11,0.0244440875,6.85011979e-08,9.15429071e-06,3.51082252e-08,4.02176112e-05,1.25508979e-10,0.00282094233,1.66393652e-05,0.000205806533,5.40135687e-07,0.000122074664,3.21545436e-07,0.00109330917,0,6.99858456e-05,0.0979025175,0,0.00124850584,0.000112489875,0,2.78439379e-05,0.000186047448,0,1.96205131e-06,9.62807319e-09,0,0,5.76214141e-08,5.56010245e-08,2.49959307e-06,0,0,3.94503121e-06,1.23225611e-12
7.39535,0.00289706388,0,0.212517444,0.00256949422,0,0,0.288483544,2.34432866e-05,0.000238835144,1.13695417e-08,3.23059624e-06,4.96341725e-11,0.024443606,6.66855053e-08,9.15413708e-06,3.42030536e-08,4.02169847e-05,1.22286492e-10,0.00282090723,1.62137385e-05,0.000205804464,5.26182257e-07,0.000122073419,3.13239163e-07,0.00109314729,0,6.81887105e-05,0.0978898598,0,0.0012160439,0.000112456566,0,2.71241096e-05,0.000186029115,0,1.91127827e-06,1.0040314e-08,0,0,5.05329694e-09,3.91596087e-09,1.71015205e-06,0,0,8.17039879e-07,2.18935678e-13
8.198643,0.00289672783,0,0.201798984,0.00257391744,0,0,0.28846646,2.22701508e-05,0.000238824758,1.07997689e-08,3.23047409e-06,4.71246581e-11,0.0244427901,6.34246211e-08,9.15385682e-06,3.24760652e-08,4.02157058e-05,1.15646221e-10,0.00282084024,1.53980578e-05,0.000205800664,4.99766987e-07,0.000122071165,2.9751209e-07,0.00109280113,0,6.47567049e-05,0.0978627728,0,0.00115402113,0.000112385138,0,2.57490612e-05,0.000185990061,0,1.8142875e-06,8.48417714e-09,0,0,6.2644726e-09,9.95583115e-09,1.38756028e-06,0,0,1.83262321e-07,1.04618889e-13
8.798086,0.00289650743,0,0.194797095,0.00257722823,0,0,0.288455789,2.15064161e-05,0.000238818076,1.0422618e-08,3.23039839e-06,4.54814565e-11,0.0244422785,6.12883629e-08,9.15368053e-06,3.13544825e-08,4.02150479e-05,1.11946262e-10,0.00282079643,1.48716867e-05,0.000205798295,4.82390912e-07,0.000122069742,2.87168759e-07,0.00109254357,0,6.25155188e-05,0.0978427879,0,0.00111349192,0.000112332007,0,2.48507847e-05,0.000185961099,0,1.75092138e-06,1.55354395e-08,0,0,1.83609772e-07,5.25149937e-07,1.30500645e-06,0,0,9.98034209e-08,1.09448353e-13
9.456692,0.00289629041,0,0.187908726,0.00258068495,0,0,0.288446063,2.07787627e-05,0.000238812116,1.00676544e-08,3.23033132e-06,4.39343071e-11,0.0244418203,5.9286723e-08,9.15351549e-06,3.02454966e-08,4.02143251e-05,1.07881129e-10,0.00282075249,1.43411679e-05,0.000205796015,4.65311404e-07,0.00012206835,2.77002114e-07,0.0010922621,0,6.03111605e-05,0.0978209092,0,0.00107360843,0.00011227374,0,2.39670129e-05,0.000185929464,0,1.68857595e-06,1.16752957e-08,0,0,1.31814498e-08,4.77522432e-08,1.25087618e-06,0,0,6.46752653e-08,1.19893156e-13
10.07135,0.00289611021,0,0.182071675,0.00258309167,0,0,0.288437211,2.01130586e-05,0.000238806694,9.74304292e-09,3.23027053e-06,4.25300023e-11,0.0244414071,5.74815277e-08,9.15338047e-06,2.9303672e-08,4.02136796e-05,1.04234572e-10,0.0028207159,1.38910312e-05,0.000205794116,4.50867658e-07,0.000122067229,2.68402245e-07,0.00109199959,0,5.84427783e-05,0.0978004997,0,0.00103980833,0.000112219478,0,2.32177506e-05,0.000185900061,0,1.63571905e-06,1.0136218e-08,0,0,1.30948094e-08,2.27581778e-08,1.21484244e-06,0,0,1.12433317e-07,1.29708152e-13
10.43682,0.00289601508,0,0.17887719,0.00258380138,0,0,0.288432964,1.97778794e-05,0.000238804107,9.58021271e-09,3.23024254e-06,4.18743322e-11,0.0244412263,5.66928611e-08,9.15330989e-06,2.880108e-08,4.02134274e-05,1.02733343e-10,0.00282069494,1.36512822e-05,0.000205793144,4.42967628e-07,0.000122066588,2.63699831e-07,0.00109184431,0,5.74208872e-05,0.0977884064,0,0.0010213619,0.000112187234,0,2.28078533e-05,0.000185882643,0,1.60680175e-06,1.00663408e-08,0,0,3.35230964e-09,1.42653101e-08,1.19693476e-06,0,0,7.85884973e-08,1.35396681e-13
11.20724,0.00289583005,0,0.17257363,0.00258468403,0,0,0.288424013,1.90713132e-05,0.000238798653,9.2369625e-09,3.23018352e-06,4.04921631e-11,0.0244408452,5.50303318e-08,9.15316954e-06,2.77874211e-08,4.02128957e-05,9.95687126e-11,0.00282065413,1.3172595e-05,0.000205791164,4.27371868e-07,0.000122065376,2.54415139e-07,0.00109151696,0,5.54046078e-05,0.0977630643,0,0.000984970408,0.000112119367,0,2.19989349e-05,0.000185845995,0,1.54973102e-06,8.70857099e-09,0,0,5.08239155e-09,1.1674851e-08,1.16379894e-06,0,0,7.76078548e-08,1.4735656e-13
11.52543,0.00289576066,0,0.170204295,0.00258493027,0,0,0.288420935,1.88183579e-05,0.000238796777,9.11404192e-09,3.23015915e-06,3.99213155e-11,0.0244406878,5.43436931e-08,9.15311805e-06,2.74038957e-08,4.02126761e-05,9.82616936e-11,0.00282063874,1.29864354e-05,0.000205790472,4.21401822e-07,0.000122064926,2.5086147e-07,0.00109138222,0,5.46467842e-05,0.097752618,0,0.000971290874,0.000112091368,0,2.16947987e-05,0.000185830913,0,1.52827283e-06,7.85663016e-09,0,0,1.12959781e-07,3.23437866e-08,1.15117711e-06,0,0,4.20248233e-08,1.52432661e-13
