energy_eV,"F19(n,elastic)","F19(n,absorption)","Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","Be9(n,elastic)","Be9(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)"
12.06144,0.176781328,2.13419677e-05,0.00107656396,0,0.0618518044,0.0177820995,0,0,0.0591023454,3.77103044e-06,0.000166826675,0,0,0.000422521455,0.000497093628,0.0221951957,0,0,0.000669452406,3.16868718e-09
12.64372,0.176780941,2.08367616e-05,0.00107652114,0,0.060417599,0.0177851729,0,0,0.0591012737,3.68162252e-06,0.000294296254,0,0,0.000745700947,0.000602577239,0.0217599582,0,0,0.000661547763,3.3785548e-09
13.58242,0.176779209,2.01148524e-05,0.00107645669,0,0.0582921775,0.017790187,0,0,0.059099774,3.5531686e-06,0.000194615132,0,0,0.000163969807,0.000667442328,0.0210337318,0,0,0.000694716389,3.77989533e-09
14.67442,0.176776314,1.93540844e-05,0.00107638799,0,0.0560873339,0.0177961097,0,0,0.0590982709,3.41987326e-06,0.000213674468,0,0,0.000360626408,0.000312440721,0.0200851805,0,0,0.000804703183,4.41377227e-09
15.44651,0.176773888,1.88597746e-05,0.00107634259,0,0.0546667172,0.0178003475,0,0,0.0590973213,3.33396247e-06,0.000199396323,0,0,0.000626468247,0.000926736113,0.0192917654,0,0,0.000945668939,5.04925063e-09
16.07277,0.176771771,1.85016505e-05,0.00107630716,0,0.0535759268,0.0178038053,0,0,0.0590965998,3.26798444e-06,0.000201103045,0,0,0.00162719863,0.00105960309,0.0185299292,0,0,0.00112085243,5.75706054e-09
16.71824,0.17676959,1.81325413e-05,0.00107627254,0,0.0525427379,0.0178073882,0,0,0.0590959281,3.20548256e-06,0.000198391972,0,0,0.000337364874,0.00112176585,0.0175802328,0,0,0.00139491144,6.78317187e-09
17.71044,0.176768368,1.76324162e-05,0.00107622111,0,0.0510405489,0.017812939,0,0,0.0590949722,3.11540297e-06,0.000164695848,0,0,9.49124362e-05,0.000215037817,0.0155812913,0,0,0.00219295688,9.52533447e-09
18.65006,0.176768337,1.71771319e-05,0.00107617489,0,0.0497341357,0.0178182128,0,0,0.0590941891,3.0399359e-06,0.00014955137,0,0,0.000151744584,0.00036526093,0.012504746,0,0,0.00413725451,1.5620168e-08
19.27531,0.176770218,1.68937662e-05,0.00107614667,0,0.0489313658,0.0178217445,0,0,0.0590936681,2.98971795e-06,0.000578040538,0,0,0.00583586974,0.00972399898,0.00907296282,0,0,0.00805913043,2.61539056e-08
19.88321,0.176770556,1.66383206e-05,0.00107611971,0,0.0481631825,0.0178251823,0,0,0.0590931615,2.94089349e-06,0.000244618893,0,0,0.000173778783,0.000416900481,0.00360613534,0,0,0.0201197893,5.99182493e-08
20.3627,0.176770218,1.6446823e-05,0.00107610152,0,0.0476075444,0.0178279076,0,0,0.0590928153,2.9068102e-06,0.000200492343,0,0,0.000196445234,0.000293369722,0.00471753185,0,0,0.0878245395,2.33725771e-07
20.60272,0.17677002,1.63521799e-05,0.00107609291,0,0.0473375107,0.017829274,0,0,0.0590926506,2.89046269e-06,0.000185259805,0,0,0.00051482833,0.000551827644,0.421280276,0,0,1.17640734,2.87164691e-06
21.03903,0.176769661,1.6180137e-05,0.00107607726,0,0.0468466415,0.0178317579,0,0,0.0590923512,2.86074607e-06,0.000299637245,0,0,0.00375254214,0.00283379163,2.08668656,0,0,4.31297286,1.02910057e-05
21.33218,0.176769389,1.60658169e-05,0.00107606675,0,0.0465168341,0.0178334274,0,0,0.0590921501,2.84077992e-06,0.000284985591,0,0,0.000667684064,0.000490274724,0.137199772,0,0,0.117019838,2.57035302e-07
21.96566,0.176768346,1.58382638e-05,0.00107604437,0,0.0458165926,0.0178370425,0,0,0.0590917238,2.79838639e-06,0.000206291692,0,0,4.79676942e-05,5.27423206e-05,0.0535308597,0,0,0.0155661048,2.85667388e-08
22.84309,0.176766241,1.55283027e-05,0.00107601627,0,0.0449499674,0.0178420611,0,0,0.0590912026,2.74590482e-06,0.00017084545,0,0,0.000699579773,0.00093242249,0.0371481522,0,0,0.0047846358,7.05823305e-09
23.67679,0.176763444,1.52564805e-05,0.00107598957,0,0.0441265336,0.0178468534,0,0,0.0590907074,2.69603886e-06,0.000246314863,0,0,0.000866557083,0.00200912599,0.0316248149,0,0,0.0024762397,3.09743936e-09
24.38283,0.17676252,1.50406676e-05,0.00107596822,0,0.043499204,0.0178509118,0,0,0.0590903529,2.65982272e-06,0.00022592915,0,0,0.000545535005,0.00102184854,0.0289644385,0,0,0.00176009441,1.94816083e-09
25.70588,0.176761714,1.46541387e-05,0.00107592862,0,0.0423463927,0.017858533,0,0,0.0590897025,2.593261e-06,0.000213044266,0,0,0.000114077088,0.00118897479,0.0257969408,0,0,0.00108439689,1.25472127e-09
26.82429,0.176761098,1.43462603e-05,0.00107589683,0,0.0414700974,0.0178649935,0,0,0.0590891527,2.53699457e-06,0.000205827192,0,0,8.99133874e-05,0.000533437053,0.0238662664,0,0,0.000978063171,1.1530251e-09
27.63624,0.176760706,1.41388949e-05,0.00107587391,0,0.0408442903,0.0178696874,0,0,0.0590887665,2.49741565e-06,0.000180446662,0,0,0.000400740477,0.000867970208,0.0226211923,0,0,0.000867909245,1.18548249e-09
