cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,heat_eV_src,heat_eV_src_stdev
11,3.097867373454954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450985.73498948035,48.006763081342996
21,6.194613034846929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587666.2179376624,53.74081121126189
12,30.922297808752433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490206.6002545411,44.81371292736975
22,6.208232900210414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541221.9114492444,47.51858124949485
31,271.25123741553244,0.818024208251387,8.148078632416045e-05,0.0017751956340475322,1.8205454711710296e-07,0.8197994038854345,8.166284087127755e-05,0.001601346083083494,1.3968124373772229e-07,0.003536256290511414,4.98180904542371e-07,15.697512024889855,0.0022114349462191876,9489507.459903238,625.1464983608872
23,27.484648427765542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404625.0641712509,81.36861227420378
32,120.46585659959375,0.4325203383414826,4.4095400203329044e-05,0.00018004066313826865,8.078327282250091e-08,0.4327003790046209,4.417618347615155e-05,0.0002537134093050798,7.002032521499261e-08,0.0020662261305404344,4.124512097766484e-07,9.172018899571729,0.0018308791256226988,3022438.934073625,295.11668224537937
24,10.96103499301182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72010.3417670041,37.34042218797179
41,1.7316998899103107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24842.426540451866,19.257331174340543
42,12.528607832303221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141659.49383913848,83.49539257783444
25,7.596155630387671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62152.39265677337,33.11730031844253
33,31.452761746464518,0.12864701775868903,3.529678597032647e-05,1.5439215323337284e-05,2.1493981753032517e-08,0.12866245697401238,3.53182799520795e-05,2.9885466802645013e-05,2.253481810666495e-08,0.0006666900776584299,3.214727342759024e-07,2.9594505180518036,0.0014270238629226727,764460.3308406051,203.05364840750633
26,7.385245311149775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42929.039229943846,36.028880924064836
43,0.7263887953761167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9441.646821160479,11.172163430004572
44,7.141834980307924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71244.82947998577,65.0320480112036
total,545.1484827390678,1.3791915643515589,0.00016087297249781595,0.001970675512509138,2.843318016926364e-07,1.3811622398640677,0.0001611573042995086,0.001884944959191219,2.3223638705937986e-07,0.006269172498710279,1.2321048485949217e-06,27.82898144251339,0.0054693379347645595,16175392.423954103,1684.2088483813086
