cell,flux,tbr,tbr_stdev,"Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Th232(n,fis)","Th232(n,fis)_stdev"
11,2.409007375131957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,12.154541902854751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,11.595154054545942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,21.91476958431609,0.0983789433138636,5.595677271305624e-05,0.056223683863239546,5.518162653595782e-05,243.3007807999588,0.23879141136798304,0.08347796117185716,5.068642980608642e-05,0.014900982142006438,5.2703429069698194e-06,0.00277949382421935,9.531458340083753e-07
22,29.419407118363296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,156.98896322063928,0.692059132136252,0.0003142958014469122,0.40694660592271764,0.00016605458593693705,1761.0092431105506,0.71857992286923,0.6329265456626042,0.00028449656562934026,0.05913258647364787,2.9799235817571966e-05,0.011089395868114577,5.008687832585252e-06
23,0.008115890961268349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,234.4899591468126,0.7904380754501157,0.00037025257415996844,0.4631702897859572,0.00022123621247289486,2004.3100239105095,0.957371334237213,0.7164045068344613,0.0003351829954354267,0.07403356861565431,3.5069578724541785e-05,0.013868889692333927,5.961833666593628e-06
