cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr
11,1.9417285839207143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,23.674510507561592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,61.13434768323958,0.47415116179920763,0.00029512904679892784,0.0049015314334688,3.919268349732047e-06,0.4790526932326764,0.0002990483151486599,0.0049015314334688,0.0009421040427762222,0.008314788395101096,9.240500441805337e-06,36.90951110266898
22,0.5344248449386928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,117.6416149042443,0.8884892427718881,0.00035570149769121386,0.010656005141007814,4.751227523789659e-06,0.899145247912896,0.00036045272521500354,0.010656005141007814,0.0020154275073728752,0.015500310701231904,1.7580169324010346e-05,68.80618757045131
23,0.07152794837721592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,204.9981544722821,1.3626404045710958,0.0006508305444901417,0.015557536574476614,8.670495873521705e-06,1.3781979411455723,0.0006595010403636634,0.015557536574476614,0.0029575315501490975,0.023815099096333,2.6820669765815682e-05,105.7156986731203
