cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev
11,3.095118643699329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.1893786179991785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.895773594163117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.203053120028824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,271.7031124475648,0.8081824305804343,8.393533947866401e-05,0.0017451011299426892,1.8445901045080119e-07,0.8099275317103769,8.411979848911482e-05,0.004744662548358472,4.360469207490828e-07,0.010644723530116309,1.4947996197462566e-06,47.25213951940778,0.006635445250031407
23,27.59295084918204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,121.08809660808498,0.42890580065406886,5.235813557567314e-05,0.0001814412347597798,8.04055731162195e-08,0.42908724188882863,5.243854114878936e-05,0.0007614927663307787,2.0966053121104607e-07,0.006208116008438274,1.0467303679987186e-06,27.55795046752041,0.004646456927504258
24,11.025836007742758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.7411599552521568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.574869472040161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.614661429704155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.13457597989632,0.12447316458192309,3.69403898129516e-05,1.5909611539835372e-05,2.1547943773741172e-08,0.12448907419346293,3.696193775672534e-05,9.061996520251381e-05,6.254714619857816e-08,0.001929657286221622,8.314690781131033e-07,8.565787082700266,0.0036909077792313914
26,6.808450532006617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.097814026679329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.9968218077301705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,546.7616730917739,1.361561395816426,0.00017323386486728875,0.0019424519762423044,2.864125273407619e-07,1.3635038477926686,0.00017352027739462952,0.005596775279891764,7.08254598158707e-07,0.018782496824776205,3.3729990658580787e-06,83.37587706962846,0.014972809956767056
